Time,Block,NR/2024/18691/A/7378,NR/2024/18741/C,WR/2024/21675/A/7338,WR/2024/21710/A/7384,WR/2024/21740/A/7382,NER/2024/2023/A/7334,SR/2024/12140/C,NR/2024/18388/A/7088,Total
,,MANIKARAN,NVVNL,APPCPL,MANIKARAN,MANIKARAN,APPCPL,HPXL,ITCLH,Total

,,DELHI,NA,DELHI,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,
,,BRPL,SOLAPUR_SOLAR,BRPL,BRPL,BYPL,BRPL,BYPL,ITCWIND,
,,HIMACHAL PRADESH,DELHI,GOA,GOA,MAHARASHTRA,MANIPUR,TAMIL NADU,DELHI,
,,HP,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,AEML,Manipur_Ben,TANGEDCO,ITCLH,
,,North-North,West-North,North-West,North-West,North-West,North-East-North East,North-East-South,South-West-North,
1,00:00-00:15,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

2,00:15-00:30,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

3,00:30-00:45,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

4,00:45-01:00,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

5,01:00-01:15,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

6,01:15-01:30,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

7,01:30-01:45,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

8,01:45-02:00,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

9,02:00-02:15,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

10,02:15-02:30,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

11,02:30-02:45,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

12,02:45-03:00,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

13,03:00-03:15,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

14,03:15-03:30,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

15,03:30-03:45,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

16,03:45-04:00,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

17,04:00-04:15,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

18,04:15-04:30,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

19,04:30-04:45,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

20,04:45-05:00,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

21,05:00-05:15,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

22,05:15-05:30,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

23,05:30-05:45,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

24,05:45-06:00,0.000000,0,0.000000,0.000000,50.000000,25.000000,150.00,0.390000,225.39

25,06:00-06:15,191.900000,0,0.000000,0.000000,50.000000,25.000000,0.00,0.530000,267.43

26,06:15-06:30,191.900000,0,0.000000,0.000000,50.000000,25.000000,0.00,0.530000,267.43

27,06:30-06:45,191.900000,0,0.000000,0.000000,50.000000,25.000000,0.00,0.530000,267.43

28,06:45-07:00,191.900000,0.13,0.000000,0.000000,50.000000,25.000000,0.00,0.530000,267.56

29,07:00-07:15,191.900000,0.51,0.000000,0.000000,50.000000,25.000000,0.00,0.580000,267.99

30,07:15-07:30,191.900000,0.9,0.000000,0.000000,50.000000,25.000000,0.00,0.580000,268.38

31,07:30-07:45,191.900000,1.4,0.000000,0.000000,50.000000,25.000000,0.00,0.580000,268.88

32,07:45:08:00,191.900000,1.98,0.000000,0.000000,50.000000,25.000000,0.00,0.580000,269.46

33,08:00-08:15,191.900000,2.63,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,270.5

34,08:15-08:30,191.900000,3.3,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,271.17

35,08:30-08:45,191.900000,3.95,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,271.82

36,08:45:09:00,191.900000,4.62,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,272.49

37,09:00:09:15,191.900000,5.23,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,273.1

38,09:15-09:30,191.900000,5.82,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,273.69

39,09:30-09:45,191.900000,6.4,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,274.27

40,09:45-10:00,191.900000,6.87,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,274.74

41,10:00-10:15,191.900000,7.39,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,275.26

42,10:15-10:30,191.900000,7.82,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,275.69

43,10:30-10:45,191.900000,8.15,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.02

44,10:45-11:00,191.900000,8.45,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.32

45,11:00-11:15,191.900000,8.74,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.61

46,11:15-11:30,191.900000,8.96,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.83

47,11:30-11:45,191.900000,8.87,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.74

48,11:45-12:00,191.900000,9.31,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.18

49,12:00-12:15,191.900000,9.17,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.04

50,12:15-12:30,191.900000,9.25,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.12

51,12:30-12:45,191.900000,9.03,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.9

52,12:45-13:00,191.900000,9.24,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.11

53,13:00-13:15,191.900000,9.65,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.52

54,13:15-13:30,191.900000,9.65,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.52

55,13:30-13:45,191.900000,9.45,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,277.32

56,13:45-14:00,191.900000,8.55,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,276.42

57,14:00-14:15,191.900000,6.3,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,274.17

58,14:15-14:30,191.900000,7.33,0.000000,0.000000,50.000000,25.000000,0.00,0.970000,275.2

