Block,Time,DADRT2,KGSU3AND4,NNTPP,RAPPD,SALAL,SASAN,SIMHST1,SIMHST2,VALLURNTECL,ANTA_CRF,DADRI_CRF,KOTESHWR,MAPS,NLCIIST2,NLCTS2EXP,NTPL,RIHAND2,RIHAND3,RSTPSU7,UNCHAHAR2,ANTA_LF,KKNPPU2,NLCIIST1,PARBATI2,RAMPUR,RIHAND1,SEWA2,TALA,URI,AURY_LF,BRBCL,DHAULIGNGA,KGSU1AND2,KISHANGANGA,KKNP,NJPC,RSTPSU1TO6,UNCHAHAR1,KHSTPP-II,TelanganaSTPP,UNCHAHAR4,DADRI_GF,CHAMERA3,FSTPP I & II,JHAJJAR,KUDGI,PARBATI3,RAPPB,SINGRAULI,TALST2,TEHRI,TEHRIPSP,UNCHAHAR3,DADRI_LF,CHAMERA1,CHAMERA2,KHSTPP-I,KOLDAM,NAPP,NLCEXP,RAPPC,TANDA2,URI2,AURY_CRF,AURY_GF,AURY_RF,DADRI_RF,BSIUL,DULHASTI,SINGRAULI_HYDRO,TANAKPUR,ANTA_GF,ANTA_RF
1,00:00-00:15,549.38,0,0,24.61,85.41,326.25,0,0,0,0,0,20.29,0,0,0,0,125.27,130.84,0,45,0,0,0,0,5.7,98.32,0,29.26,30.91,0,24.99,42.46,0,7.05,0,175.79,0,21.65,148.3,0,3.22,0,33.94,20.8,577.05,0,32.71,0,140.88,0,52.43,70.71,27.69,0,42.15,47.12,45.53,8.62,24.36,0,65.42,5.73,24.94,0,0,75.32,79.04,13.04,55.38,1.08,12.81,0,51.2

2,00:15-00:30,549.38,0,0,24.61,85.41,326.25,0,0,0,0,0,20.29,0,0,0,0,125.27,130.84,0,45,0,0,0,0,5.7,98.32,0,29.26,30.91,0,24.99,42.46,0,7.05,0,175.79,0,21.65,148.3,0,3.22,0,33.94,20.8,577.05,0,32.71,0,140.88,0,52.43,70.71,27.69,0,42.15,47.12,45.53,8.62,24.36,0,65.42,5.73,24.94,0,0,75.32,79.04,13.04,55.38,1.08,12.81,0,51.2

3,00:30-00:45,549.38,0,0,24.61,85.41,326.25,0,0,0,0,0,20.29,0,0,0,0,125.27,130.84,0,45,0,0,0,0,5.7,98.32,0,29.26,30.91,0,24.99,42.46,0,7.05,0,175.79,0,21.65,148.3,0,3.22,0,33.94,20.8,577.05,0,32.71,0,140.88,0,52.43,70.71,27.69,0,42.15,47.12,45.53,8.62,24.36,0,65.42,5.73,24.94,0,0,75.32,79.04,6.52,55.38,1.08,12.81,0,51.2

4,00:45-01:00,549.38,0,0,24.61,85.41,326.25,0,0,0,0,0,20.29,0,0,0,0,125.27,130.84,0,45,0,0,0,0,5.7,98.32,0,29.26,30.91,0,24.99,42.46,0,7.05,0,175.79,0,21.65,148.3,0,3.22,0,33.94,20.8,577.05,0,32.71,0,140.88,0,52.43,70.71,27.69,0,42.15,47.12,45.53,8.62,24.36,0,65.42,5.73,24.94,0,0,75.32,79.04,6.52,55.38,1.08,12.81,0,51.2

5,01:00-01:15,549.38,0,0,24.61,85.41,326.25,0,0,0,0,0,20.29,0,0,0,0,125.27,130.84,0,45,0,0,0,0,5.7,98.32,0,29.26,30.91,0,24.99,42.46,0,7.05,0,175.79,0,21.65,148.3,0,3.22,0,33.94,20.8,667.25,0,37.17,0,140.88,0,52.43,70.71,27.69,0,42.15,47.12,45.53,8.62,24.36,0,65.42,5.73,24.16,0,0,75.32,79.04,6.52,55.38,1.08,12.81,0,51.2

