Column1,Time,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/5784,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/2414,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/6187,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6475,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/1196,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/4125,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/3698,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19
1,00:00-00:15,10.46,115.17,129.86,3.99,20.4,11.58,25.23,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,15.56,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.23,15.21,33.59,0,14.54,0,0,18.01,0,0,0,0,18.69,56.04,0,48.4,0,0,15.32,0,18.69,48.4,0,0,0

2,00:15-00:30,10.46,115.17,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,15.56,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.23,15.21,33.59,0,14.54,0,0,18.01,0,0,0,0,18.51,55.53,0,48.76,0,0,15.57,0,18.51,48.77,0,0,0

3,00:30-00:45,10.46,115.17,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,15.56,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,33.59,0,14.54,0,0,14.01,0,0,0,0,18.29,54.86,0,49.5,0,0,15.93,0,18.29,49.5,0,0,0

4,00:45-01:00,10.46,115.17,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,15.56,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,33.59,0,14.54,0,0,13.61,0,0,0,0,18.11,54.33,0,50.24,0,0,16.32,0,18.11,50.23,0,0,0

5,01:00-01:15,10.46,115.17,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,33.59,0,14.54,0,0,13.21,0,0,0,0,17.73,53.18,0,51.05,0,0,16.53,0,17.73,51.05,0,0,0

6,01:15-01:30,10.46,115.17,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,33.59,0,14.54,0,0,13.01,0,0,0,0,17.31,51.92,0,51.13,0,0,16.68,0,17.31,51.14,0,0,0

7,01:30-01:45,10.46,106.7,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,33.59,0,14.54,0,0,9,0,0,0,0,16.91,50.72,0,50.97,0,0,16.79,0,16.91,50.96,0,0,0

8,01:45-02:00,10.46,98.23,129.86,3.99,20.4,11.58,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,33.59,0,14.54,0,0,9,0,0,0,0,16.51,49.52,0,50.69,0,0,16.9,0,16.51,50.68,0,0,0

9,02:00-02:15,10.46,89.76,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,15.01,0,0,0,0,18.9,56.7,0,43.93,0,0,16.84,0,18.9,43.92,0,0,0

10,02:15-02:30,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,15.41,0,0,0,0,18.67,55.99,0,43.84,0,0,16.69,0,18.67,43.85,0,0,0

11,02:30-02:45,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,9,0,0,0,0,16.59,49.77,0,43.69,0,0,16.52,0,16.59,43.7,0,0,0

12,02:45-03:00,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,8.8,0,0,0,0,16.42,49.26,0,43.47,0,0,16.34,0,16.42,43.47,0,0,0

13,03:00-03:15,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,8.6,0,0,0,0,16.01,48.02,0,47.08,0,0,16.01,0,16.01,47.08,0,0,0

14,03:15-03:30,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,8.4,0,0,0,0,15.6,46.8,0,46.24,0,0,15.6,0,15.6,46.23,0,0,0

15,03:30-03:45,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,8.2,0,0,0,0,15.29,45.84,0,45.04,0,0,15.22,0,15.29,45.03,0,0,0

16,03:45-04:00,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,8,0,0,0,0,14.84,44.49,0,43.77,0,0,14.82,0,14.84,43.77,0,0,0

17,04:00-04:15,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,7.8,0,0,0,0,13.57,40.7,0,42.08,0,0,14.11,0,13.57,42.09,0,0,0

18,04:15-04:30,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,7.6,0,0,0,0,12.89,38.65,0,40.29,0,0,13.3,0,12.89,40.28,0,0,0

19,04:30-04:45,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,7.4,0,0,0,0,12.21,36.63,0,41.45,0,0,13.51,0,12.21,41.44,0,0,0

20,04:45-05:00,10.46,70,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,7.4,0,0,0,0,11.56,34.69,0,39.52,0,0,12.84,0,11.56,39.51,0,0,0

21,05:00-05:15,10.46,64.03,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,7,0,0,0,0,10.88,32.64,0,37.56,0,0,15.24,0,10.88,37.55,0,0,0

22,05:15-05:30,10.46,64.03,129.86,3.99,20.4,14.33,26.24,81.58,10.71,30,99.99,40.79,12.62,28.86,269.94,0,26.58,20.4,20.71,0,19.2,86.57,0,-0,14.54,3.22,15.21,81.58,0,14.54,0,0,7,0,0,0,0,10.21,30.63,0,35.33,0,0,14.41,0,10.21,35.32,0,0,0

