Block,Time,KOLDAM,MAPS,NNTPP,PARBATI3,RAPPB,RIHAND2,TANAKPUR,UNCHAHAR1,UNCHAHAR4,AURY_LF,DADRI_CRF,DADRT2,KHSTPP-II,KUDGI,NLCIIST2,RSTPSU1TO6,TEHRI,AURY_CRF,BSIUL,KGSU1AND2,PARBATI2,RIHAND1,TANDA2,ANTA_LF,CHAMERA3,DULHASTI,KISHANGANGA,KKNPPU2,NAPP,NLCTS2EXP,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_RF,DADRI_GF,DADRI_LF,DHAULIGNGA,FSTPP I & II,JHAJJAR,NLCEXP,NLCIIST1,SASAN,TALA,UNCHAHAR2,ANTA_GF,AURY_GF,BRBCL,CHAMERA1,KGSU3AND4,KHSTPP-I,RIHAND3,SALAL,SIMHST2,UNCHAHAR3,URI,KOTESHWR,NJPC,NTPL,RAPPC,SIMHST1,TALST2,VALLURNTECL,CHAMERA2,KKNP,RAMPUR,RSTPSU7,SEWA2,URI2,ANTA_CRF,AURY_RF,DADRI_RF
1,00:00-00:15,0,0,0,4.29,0,123.13,0,21.63,1.88,0,0,618.99,148.3,0,0,0,26.6,0,13.04,0,0,95.98,4.35,0,11.65,19.81,8.45,0,52.68,0,103.38,0.71,0,53.44,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,2.33,0,27.67,34.78,10.41,0,0,70.28,0,0,0,32.49,0,0,0,18.88,35.29,0,85.35,74.38

2,00:15-00:30,0,0,0,4.29,0,123.13,0,21.63,1.88,0,0,551.5,148.3,0,0,0,13.3,0,13.04,0,0,95.98,4.35,0,11.65,19.81,8.45,0,52.68,0,103.38,0.71,0,53.44,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,2.33,0,27.67,34.78,10.41,0,0,70.28,0,0,0,32.49,0,0,0,18.88,35.29,0,85.35,74.38

3,00:30-00:45,0,0,0,19.92,0,123.13,0,21.63,1.88,0,0,484.03,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,11.65,19.81,8.45,0,52.68,0,103.38,0.71,0,53.44,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,2.33,0,27.67,34.78,10.41,0,0,70.28,0,0,0,32.49,0,0,0,18.88,35.29,0,85.35,74.38

4,00:45-01:00,0,0,0,3.06,0,123.13,0,21.63,1.88,0,0,416.55,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,11.65,19.81,8.45,0,52.68,0,103.38,0.71,0,53.44,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,2.33,0,27.67,34.78,10.41,0,0,70.28,0,0,0,16.25,0,0,0,18.88,35.29,0,85.35,74.38

5,01:00-01:15,0,0,0,0,0,123.13,0,21.63,1.88,0,0,342.6,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,11.65,19.81,8.45,0,52.68,0,103.38,0.71,0,53.44,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,15.11,0,27.67,34.78,10.41,0,0,70.28,0,0,0,16.25,0,0,0,18.88,35.29,0,85.35,74.38

6,01:15-01:30,0,0,0,0,0,123.13,0,21.63,1.88,0,0,342.6,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,11.65,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,40.09,0,27.67,34.78,10.41,0,0,70.28,0,0,0,16.25,0,0,0,18.88,35.29,0,85.35,74.38

7,01:30-01:45,0,0,0,0,0,123.13,0,21.63,1.88,0,0,344.43,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,0,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,40.09,0,27.67,34.78,10.41,0,0,70.28,0,0,0,0,0,0,0,18.88,35.29,0,85.35,74.38

8,01:45-02:00,0,0,0,0,0,123.13,0,21.63,1.88,0,0,344.43,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,0,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,18.2,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,40.09,0,27.67,34.78,10.41,0,0,70.28,0,0,0,0,0,0,0,18.88,35.29,0,85.35,74.38

9,02:00-02:15,0,0,0,0,0,123.13,0,21.63,1.88,0,0,344.43,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,0,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,15.6,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,13.36,0,27.67,34.78,10.41,0,0,70.28,0,0,0,0,0,0,0,18.88,35.29,0,85.35,74.38

10,02:15-02:30,0,0,0,0,0,123.13,0,21.63,1.88,0,0,344.43,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,0,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,15.6,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,13.36,0,27.67,34.78,10.41,0,0,70.28,0,0,0,0,0,0,0,18.88,35.29,0,85.35,74.38

11,02:30-02:45,0,0,0,0,0,123.13,0,21.63,1.88,0,0,344.43,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,0,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,15.6,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,13.36,0,27.67,34.78,10.41,0,0,70.28,0,0,0,0,0,0,0,18.88,35.29,0,85.35,74.38

12,02:45-03:00,0,0,0,0,0,123.13,0,21.63,1.88,0,0,344.43,148.3,0,0,0,0,0,13.04,0,0,95.98,4.35,0,0,19.81,8.45,0,52.68,0,103.38,0.71,0,53.7,0,0,0,15.6,670.51,0,0,418.77,0,36.7,0,0,20,0,0,45.83,129.05,13.36,0,27.67,34.78,10.41,0,0,70.28,0,0,0,0,0,0,0,12.59,35.29,0,85.35,74.38

