Time,Block,NR/2024/18726/C,WR/2024/21740/A/6355,WR/2024/21710/A/6351,WR/2024/21675/A/6276,NR/2024/18388/A/6105,NR/2024/18691/A/6352,NER/2024/2023/A/6273,SR/2024/11986/C,Total
,,NVVNL,MANIKARAN,MANIKARAN,APPCPL,ITCLH,MANIKARAN,APPCPL,IEXL,Total

,,NA,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,
,,SOLAPUR_SOLAR,BYPL,BRPL,BRPL,ITCWIND,BRPL,BRPL,BYPL,
,,DELHI,MAHARASHTRA,GOA,GOA,DELHI,HIMACHAL PRADESH,MANIPUR,TAMIL NADU,
,,MES (Delhi),AEML,GOA_Beneficiary,GOA_Beneficiary,ITCLH,HP,Manipur_Ben,TANGEDCO,
,,West-North,North-West,North-West,North-West,South-West-North,North-North,North-East-North East,North-East-South,
1,00:00-00:15,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

2,00:15-00:30,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

3,00:30-00:45,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

4,00:45-01:00,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

5,01:00-01:15,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

6,01:15-01:30,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

7,01:30-01:45,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

8,01:45-02:00,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,37.00,162.39

9,02:00-02:15,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

10,02:15-02:30,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

11,02:30-02:45,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

12,02:45-03:00,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

13,03:00-03:15,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

14,03:15-03:30,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

15,03:30-03:45,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

16,03:45-04:00,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

17,04:00-04:15,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

18,04:15-04:30,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,0.00,125.39

19,04:30-04:45,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,68.00,193.39

20,04:45-05:00,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

21,05:00-05:15,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

22,05:15-05:30,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

23,05:30-05:45,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

24,05:45-06:00,0,100.000000,0.000000,0.000000,0.390000,0.000000,25.000000,100.00,225.39

25,06:00-06:15,0,100.000000,0.000000,0.000000,0.530000,182.660000,25.000000,0.00,308.19

26,06:15-06:30,0,100.000000,0.000000,0.000000,0.530000,182.660000,25.000000,0.00,308.19

27,06:30-06:45,0,100.000000,0.000000,0.000000,0.530000,182.660000,25.000000,0.00,308.19

28,06:45-07:00,0,100.000000,0.000000,0.000000,0.530000,182.660000,25.000000,0.00,308.19

29,07:00-07:15,0.26,100.000000,0.000000,0.000000,0.580000,182.660000,25.000000,0.00,308.5

30,07:15-07:30,0.57,100.000000,0.000000,0.000000,0.580000,182.660000,25.000000,0.00,308.81

31,07:30-07:45,1,100.000000,0.000000,0.000000,0.580000,182.660000,25.000000,0.00,309.24

