Column1,Time,GNA/NR/2025/04/23/5165,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/4565,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/23/7818,GNA/NR/2025/04/23/3759,GNA/NR/2025/04/16/1389,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/23/9598,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,GNA/NR/2025/04/01/8456,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/1333,NR/30092023/26122029/SH-06,GNA/NR/2025/04/23/3332,GNA/NR/2025/04/23/4454,GNA/NR/2025/04/01/5285,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8510,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/23/9647,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/23/1623,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/6639,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/23/9481,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/23/7720,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19
1,00:00-00:15,0,114.97,48.08,100.17,0,0,28.84,0,0,0,0,260.18,0,29.77,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,0,0,2.88,10.49,7.73,52.5,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,0,32,132.69,4.04,9.62,72.11,0,15,45,0,13.33,0,0,0,0,38.33,0,0,38.34,0,0,0,0,15,0

2,00:15-00:30,0,114.97,48.08,100.17,0,0,28.84,0,0,0,0,260.18,0,29.77,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,0,0,2.88,10.49,7.73,52.5,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,0,32,132.69,4.04,9.62,72.11,0,15.17,45.49,0,13.33,0,0,0,0,38.67,0,0,38.66,0,0,0,0,15.17,0

3,00:30-00:45,0,114.97,48.08,100.17,0,0,28.84,0,0,0,0,260.18,0,30.28,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,74.04,0,2.88,10.49,7.73,52.5,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,15.33,46.01,0,13.33,0,0,0,0,38.67,0,0,38.66,0,0,0,0,15.33,0

4,00:45-01:00,0,114.97,48.08,100.17,0,0,28.84,0,0,0,0,260.18,0,30.28,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,74.04,0,2.88,10.49,7.73,52.5,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,15.5,46.5,0,13.67,0,0,0,0,39.33,0,0,39.34,0,0,0,0,15.5,0

5,01:00-01:15,0,114.97,48.08,100.17,0,0,28.84,0,0,0,0,260.18,0,30.28,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,74.04,0,2.88,10.39,7.73,52.5,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,15.67,46.99,0,14,0,0,0,0,37.67,0,0,37.66,0,0,0,0,15.67,0

