Time,Block,NR/2023/13222/C,NR/2023/12923/F,NR/2023/10959/A,NR/2023/10956/A,NR/2023/12924/F,NR/2023/13230/C,NR/2023/12922/F,NR/2023/11709/A,NR/2023/13234/C,NR/2023/12813/F,NR/2023/10436/A,NR/2023/10947/A,NR/2023/10786/A,NR/2023/12917/F,NR/2023/11507/A,NR/2023/10720/A,NR/2023/11447/A,NR/2023/11496/A,NR/2023/13224/C,NR/2023/12916/F,NR/2023/12872/F,NR/2023/12661/A,NR/2023/12956/F,NR/2023/10651/A,NR/2023/12814/F,NR/2023/10561/A,NR/2023/12706/A,NR/2023/12915/F,NR/2023/13213/D,NR/2023/11266/A,NR/2023/12919/F,NR/2023/13223/C,NR/2023/12921/F,NR/2023/12920/F,NR/2023/11712/A,NR/2023/13202/D,NR/2023/10460/A,NR/2023/12169/A,ER/2023/8109/C,WR/2023/15950/C,NR/2023/11953/A,SR/2023/5940/C,NR/2023/13218/D,ER/2023/8092/C,ER/2023/8111/C,NR/2023/13214/D,ER/2023/8104/C,NR/2023/13217/D,Total
,,PXIL,SHPPBPL,NVVNL,NVVNL,SHPPBPL,TPDDL,SHPPBPL,MANIKARAN,IEXL,MANIKARAN,APPCPL,APPCPL,STATKRAFT,SHPPBPL,TPTCL,KEIPL,TPTCL,APPCPL,GBHHPL,SHPPBPL,ITCLH,NVVNL,IEXL,KEIPL,MANIKARAN,PTC,HPXL,SHPPBPL,NVVNL,TPTCL,SHPPBPL,SJVNL,SHPPBPL,SHPPBPL,MANIKARAN,TPTCL,GMRETL,APPCPL,IEXL,IEXL,KEIPL,HPXL,NVVNL,PXIL,IEXL,TS1PL_BKN,HPXL,TS1PL_BKN,Total

,,DELHI,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,DELHI,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NA,JAMMU AND KASHMIR,MEGHALAYA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,DELHI,DELHI,MEGHALAYA,DELHI,NA,DELHI,DELHI,NA,DELHI,NA,
,,BYPL,SHPPBPL,KAMENG,JPNIGRIE_JNSTPP,SHPPBPL,CHANJUII,SHPPBPL,TANGEDCO,BYPL,HP,Meghalaya_Ben,HP,TANGEDCO,SHPPBPL,JPL,TANGEDCO,HP-GOVT,Meghalaya_Ben,GBHHPL,SHPPBPL,ITCWIND,SKS Raigarh,SAPU1234,Meghalaya_Ben,HP,JPNIGRIE_JNSTPP,B_S_ISPAT_MH,SHPPBPL,KAMENG,KWHEP,SHPPBPL,IPCL_WB,SHPPBPL,SHPPBPL,TANGEDCO,HP-GOVT,Meghalaya_Ben,HP,BYPL,BYPL,Meghalaya_Ben,BYPL,SOLAPUR_SOLAR,BYPL,BRPL,TS1PL_BKN,BYPL,TS1PL_BKN,
,,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,Gujarat,DELHI,KERALA,DELHI,ODISHA,ODISHA,DELHI,ODISHA,DELHI,
,,ASIL_UP,MHIL,BRPL,BRPL,UHL,TPDDL,JHPL-DL,BRPL,AMBASTL,BRPL,BYPL,BYPL,BYPL,BAL234,BRPL,BYPL,BRPL,BYPL,DIAPL,BAL224,ITCLH,NDMC,MES (Delhi),BYPL,BRPL,TPDDL,NDMC,BAL184,TPDDL,BRPL,AISHER,NDMC,MAX-HPTL,BMDRC,BRPL,BRPL,BYPL,BRPL,VLSEZ,TPLD,BYPL,KSEB,MES (Delhi),JSPLBarbil,VL-CPP 1215,BYPL,VLSEZ,BRPL,
,,North-North,North-North,North East-East-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,South-West-North,North-North,West-North,South-West-North,North-North,North East-East-North,North-North,North-North,South-West-North,West-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,East-North,North-North,North-North,South-West-North,North-North,North East-East-North,North-North,North-East,North-East-West,North East-East-North,North-East-South,West-North,North-East,North-East,North-North,North-East,North-North,
1,00:00-00:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.700000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.820000,0.000000,0.930000,0.930000,64.320000,33.650000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.47

2,00:15-00:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.700000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.820000,0.000000,0.930000,0.930000,64.320000,33.650000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.47
