Block,Time Block,SALAL,SEWA2,SASAN,UNCHAHAR1,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,TANAKPUR,SINGRAULI,TelanganaSTPP,UNCHAHAR3,TALA,UNCHAHAR2,TEHRI,TANDA2,VALLURNTECL,UNCHAHAR4,DADRI_CRF,ANTA_GF,AURY_CRF,URI2,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_LF,URI,DADRI_GF,ANTA_LF,AURY_GF,KOLDAM,KKNPPU2,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KUDGI,NLCEXP,NLCIIST1,MAPS,NJPC,KOTESHWR,NLCIIST2,NAPP,NLCTS2EXP,NTPL,RIHAND3,PARBATI3,RAPPB,RIHAND2,RIHAND1,RAMPUR,RSTPSU1TO6,RSTPSU7,RAPPC,NNTPP,JHAJJAR,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,DADRT2,CHAMERA1,FSTPP I & II,DULHASTI,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,80.8,0,398.72,9.56,0,0,0,0,10.88,86.52,0,26.12,9.88,40.96,34.22,2.7,0,1.56,0,0,0,34.81,0,0,0,0,0,44.78,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,18.87,0,43.32,0,0,123.22,16.29,0,117.54,87.43,3.42,0,0,58.16,0,370.07,12.59,30.98,42.7,39.01,17.91,658.19,27.14,19.06,51.95,0,0,0,0,0,0

2,00:15-00:30,80.8,0,398.72,9.56,0,0,0,0,10.88,86.52,0,26.12,9.94,40.96,34.22,2.7,0,1.56,0,0,0,34.81,0,0,0,0,0,44.78,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,18.66,0,43.32,0,0,123.22,16.29,0,117.54,87.43,3.42,0,0,58.16,0,370.07,12.59,30.98,42.7,39.01,17.69,639.47,27.14,19.06,51.95,0,0,0,0,0,0

3,00:30-00:45,80.8,0,398.72,8.19,0,0,0,0,10.88,86.52,0,23.51,9.68,36.51,34.22,2.7,0,1.56,0,0,0,34.81,0,0,0,0,0,34.12,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,18.66,0,43.32,0,0,123.22,16.29,0,117.54,87.43,3.42,0,0,58.16,0,312.57,12.59,30.98,42.7,39.01,16.54,557.84,0,19.06,51.95,0,0,0,0,0,0

4,00:45-01:00,80.8,0,398.72,8.14,0,0,0,0,10.88,86.52,0,23.51,9.68,36.51,34.22,2.7,0,1.56,0,0,0,34.81,0,0,0,0,0,44.78,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,18.66,0,43.32,0,0,123.22,16.29,0,117.54,87.43,3.42,0,0,58.16,0,312.57,12.59,30.98,42.7,39.01,16.35,529.27,0,19.06,51.95,0,0,0,0,0,0

5,01:00-01:15,80.8,0,398.72,7.17,0,0,0,0,10.88,86.52,0,20.98,10.05,33.24,34.22,2.7,0,1.56,0,0,0,34.81,0,0,0,0,0,44.78,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,9.33,0,43.32,0,0,123.22,14.93,0,117.54,87.43,3.42,0,0,58.16,0,216,6.3,30.98,42.7,39.01,16.81,529.27,0,19.06,51.95,0,0,0,0,0,0

6,01:15-01:30,80.8,0,398.72,6.84,0,0,0,0,10.88,86.52,0,20,10.05,31.33,34.22,2.7,0,1.56,0,0,0,34.81,0,0,0,0,0,34.12,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,9.33,0,43.32,0,0,123.22,14.93,0,117.54,87.43,3.42,0,0,58.16,0,117.5,6.3,30.98,42.7,39.01,16.38,529.27,0,19.06,51.95,0,0,0,0,0,0

7,01:30-01:45,80.8,0,398.72,6.84,0,0,0,0,10.88,86.52,0,20,10.05,31.33,34.22,2.7,0,1.56,0,0,0,25.69,0,0,0,0,0,29.85,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,9.33,0,43.32,0,0,123.22,14.93,0,117.54,87.43,3.42,0,0,58.16,0,117.5,6.3,30.98,42.7,39.01,14.4,529.27,0,17.88,51.95,0,0,0,0,0,0

8,01:45-02:00,80.8,0,398.72,6.84,0,0,0,0,10.88,86.52,0,20,10.05,31.33,34.22,2.7,0,1.56,0,0,0,25.69,0,0,0,0,0,44.78,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,9.33,0,43.32,0,0,123.22,14.93,0,117.54,87.43,3.42,0,0,58.16,0,117.5,6.3,30.98,42.7,39.01,15.2,529.27,0,17.88,51.95,0,0,0,0,0,0

9,02:00-02:15,80.8,0,398.72,6.84,0,0,0,0,10.88,86.52,0,20,10.05,31.33,34.22,2.7,0,1.56,0,0,0,22.84,0,0,0,0,0,44.78,0,0,0,5.17,0,1.39,42.79,0,0,95.48,0,0,0,0,0,161.37,9.33,0,43.32,0,0,123.22,14.93,0,117.54,87.43,3.42,0,0,58.16,0,117.5,6.3,30.98,42.7,39.01,14.17,529.27,0,17.88,51.95,0,0,0,0,0,0

