Block,Time,DADRT2,KOTESHWR,DULHASTI,KOLDAM,PARBATI3,CHAMERA3,DHAULIGNGA,RAMPUR,NJPC,CHAMERA2,KISHANGANGA,RAPPC,NAPP,JHAJJAR,UNCHAHAR1,SINGRAULI_HYDRO,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,RIHAND1,SEWA2,URI2,UNCHAHAR2,RAPPB,BSIUL,CHAMERA1,URI,TANAKPUR,SALAL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,686.779957,8.874,49.436556,0,0,29.062808,0,0,116.9545,39.51012,0,51.1407,39.8364,653.1525,19.985,1.03302,123.665625,45.36,0,102.75,118.125,0,26.39091,92,0,32.2848,42.392196,0,6.5208,28.045,48.576,13.3224,85.988,0,83.296,0,0,0,65.16,0,0,0,39.9,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,10.29,20.0018,14.253199,347.0625

2,00:15-00:30,686.779957,8.874,49.436556,0,0,29.062808,0,0,116.9545,39.51012,0,51.1407,39.8364,653.1525,19.985,1.03302,123.665625,45.36,0,102.75,118.125,0,26.39091,92,0,32.2848,42.392196,0,6.5208,28.045,48.576,13.3224,85.988,0,83.296,0,0,0,65.16,0,0,0,39.9,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,10.29,20.0018,14.253199,347.0625

3,00:30-00:45,686.779957,8.874,49.436556,0,0,29.062808,0,0,116.9545,39.51012,0,51.1407,39.8364,653.1525,19.985,1.03302,123.665625,45.36,0,102.75,118.125,0,26.39091,92,0,32.2848,42.392196,0,6.5208,28.045,11.04,13.3224,85.988,0,83.296,0,0,0,65.16,0,0,0,39.9,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,10.29,20.0018,14.253199,347.0625

4,00:45-01:00,686.779957,8.874,49.436556,0,0,29.062808,0,0,116.9545,39.51012,0,51.1407,39.8364,653.1525,19.985,1.03302,123.665625,30.24,0,102.75,118.125,0,26.39091,92,0,32.2848,42.392196,0,6.5208,28.045,8.832,13.3224,85.988,0,83.296,0,0,0,65.16,0,0,0,39.9,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,10.29,20.0018,14.253199,347.0625

5,01:00-01:15,686.779957,8.874,49.436556,0,0,29.062808,0,0,116.9545,39.51012,0,51.1407,39.8364,653.1525,19.985,1.03302,123.665625,30.24,0,102.75,118.125,0,26.39091,92,0,10.7616,42.392196,0,6.5208,28.045,8.832,13.3224,85.988,0,83.296,0,0,0,65.16,0,0,0,39.9,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,10.29,20.0018,14.253199,347.0625

