Block,Time,DADRI_CRF,BSIUL,NJPC,KOTESHWR,SEWA2,SINGRAULI_HYDRO,KISHANGANGA,KOLDAM,RAPPB,UNCHAHAR3,AURY_LF,AURY_CRF,DADRI_GF,TANAKPUR,AURY_RF,URI,DHAULIGNGA,ANTA_RF,URI2,RIHAND2,RIHAND3,JHAJJAR,UNCHAHAR1,UNCHAHAR4,PARBATI3,DULHASTI,DADRI_RF,ANTA_LF,TEHRI,TANDA2,DADRT2,DADRI_LF,NAPP,UNCHAHAR2,RIHAND1,CHAMERA2,RAMPUR,AURY_GF,ANTA_GF,CHAMERA3,SINGRAULI,SALAL,CHAMERA1,RAPPC,ANTA_CRF,FSTPP I & II,KUDGI,BRBCL,KHSTPP-II,TALA,SASAN,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,147.526406,15.407749,0.000000,0.996451,0.000000,0.000000,0.000000,25.455890,0.000000,0.000000,0.000000,11.985830,0.000000,45.791491,35.296354,0.000000,31.271676,113.943375,119.287862,313.162309,17.060239,0.000000,0.000000,15.841047,0.000000,0.000000,50.074315,0.000000,611.982850,0.000000,37.911095,40.884378,88.743200,0.000000,0.000000,0.000000,0.000000,9.335244,134.378426,81.935246,41.149836,49.085504,22.282260,16.894004,66.56,12.723063,141.083264,26.941278,403.899193,31.031278,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,147.526406,15.407749,0.000000,0.996451,0.000000,0.000000,0.000000,25.455890,0.000000,0.000000,0.000000,11.985830,0.000000,45.791491,35.296354,0.000000,31.271676,113.943375,119.287862,293.870309,19.277531,0.000000,0.000000,15.841047,0.000000,0.000000,38.649593,0.000000,592.690850,0.000000,37.911095,40.884378,88.743200,0.000000,0.000000,0.000000,0.000000,18.670489,134.378426,81.935246,41.149836,49.085504,22.282260,16.894004,64.63,12.723063,141.083264,26.941278,403.945542,31.031278,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,147.526406,15.407749,0.000000,0.996451,0.000000,0.000000,0.000000,25.455890,0.000000,0.000000,0.000000,11.985830,0.000000,45.791491,35.296354,0.000000,31.271676,113.943375,119.287862,274.578309,19.277531,0.000000,0.000000,15.841047,0.000000,0.000000,38.649593,0.000000,573.398850,0.000000,37.911095,40.884378,88.743200,0.000000,0.000000,0.000000,0.000000,28.374230,134.378426,81.935246,41.149836,49.085504,0.000000,16.894004,61.73,12.723063,141.083264,26.941278,403.945542,31.031278,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,147.526406,15.407749,0.000000,0.996451,0.000000,0.000000,0.000000,25.455890,0.000000,0.000000,0.000000,11.985830,0.000000,45.791491,35.296354,0.000000,31.271676,113.943375,119.287862,245.640309,19.277531,0.000000,0.000000,15.841047,0.000000,0.000000,38.649593,0.000000,563.752850,0.000000,37.911095,40.884378,88.743200,0.000000,0.000000,0.000000,0.000000,28.374230,134.378426,81.935246,41.149836,49.085504,0.000000,16.894004,60.77,12.723063,141.083264,26.941278,403.945542,31.031278,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,147.526406,15.407749,0.000000,0.996451,0.000000,0.000000,0.000000,23.123395,0.000000,0.000000,0.000000,11.985830,0.000000,45.791491,35.296354,0.000000,30.768216,113.943375,119.287862,192.365355,16.313798,0.000000,0.000000,15.841047,0.000000,0.000000,38.649593,0.000000,479.639730,0.000000,37.911095,40.884378,88.743200,0.000000,0.000000,0.000000,0.000000,28.374230,134.378426,81.935246,41.149836,49.085504,0.000000,16.894004,59.81,12.723063,141.083264,26.941278,403.945542,31.031278,0,0,0,0,0

