Block,Time,L_NR_2012_04,SH-06,LT-36,L_NR_2019_19,SH-07,LT-31,L_NR_2012_01,LT_MEJA_Delhi,LT-59,LT-05,LT-35,L_NR_2012_07,L_NR_2020_02,L_NR_2019_11,L_NR_2018_61,L_NR_2012_02,L_NR_2020_05,L_NR_2020_07,L_NR_2021_17,L_NR_2022_09,L_NR_2022_08,L_NR_2019_07,L_NR_2021_14,L_NR_2020_06,L_NR_2022_10,L_NR_2021_16,L_NR_2019_06,L_NR_2021_13,L_NR_2019_05,L_NR_2021_15,L_NR_2021_12
1,00:00-00:15,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,66.220000,0.000000,76.120000,4.310000,3.840000,5.49,246.240000,21.51,7.17,0,19.3,5.3,0,0,7.17,19.3,0,0,0,0,0,0

2,00:15-00:30,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,66.220000,0.000000,76.120000,4.310000,3.840000,5.53,246.240000,21.32,7.1,0,19.21,5.28,0,0,7.11,19.21,0,0,0,0,0,0

3,00:30-00:45,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,76.120000,4.310000,3.840000,5.5,246.240000,21.12,7.05,0,19.17,5.2,0,0,7.04,19.17,0,0,0,0,0,0

4,00:45-01:00,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,76.120000,4.310000,3.840000,5.52,246.240000,20.91,6.96,0,19.05,5.1,0,0,6.97,19.05,0,0,0,0,0,0

5,01:00-01:15,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,76.120000,4.310000,3.840000,5.53,246.240000,20.38,6.8,0,18.92,4.96,0,0,6.79,18.92,0,0,0,0,0,0

6,01:15-01:30,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,76.120000,4.310000,3.840000,5.56,246.240000,19.9,6.64,0,18.88,4.83,0,0,6.63,18.88,0,0,0,0,0,0

7,01:30-01:45,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,57.160000,4.310000,3.840000,5.53,246.240000,19.41,6.46,0,18.79,4.71,0,0,6.47,18.79,0,0,0,0,0,0

8,01:45-02:00,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,66.220000,0.000000,57.160000,4.310000,3.840000,5.52,246.240000,18.89,6.28,0,18.43,4.57,0,0,6.3,18.43,0,0,0,0,0,0

9,02:00-02:15,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,57.160000,4.220000,3.680000,5.49,246.240000,18.52,6.19,0,16.63,4.31,0,0,6.17,16.63,0,0,0,0,0,0

10,02:15-02:30,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.720000,115.800000,0.000000,57.160000,4.220000,3.680000,5.53,246.240000,18.24,6.08,0,14.67,4.26,0,0,6.08,14.67,0,0,0,0,0,0

11,02:30-02:45,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,115.800000,0.000000,57.160000,4.220000,3.680000,5.5,246.240000,17.69,5.89,0,12.75,4.28,0,0,5.9,12.75,0,0,0,0,0,0

12,02:45-03:00,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,115.800000,0.000000,47.460000,4.220000,3.680000,5.52,212.170000,17.38,5.8,0,12.38,4.24,0,0,5.79,12.38,0,0,0,0,0,0

13,03:00-03:15,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,66.220000,0.000000,31.830000,4.220000,3.680000,5.53,229.910000,13.75,4.59,0,12.45,4.33,0,0,4.58,12.45,0,0,0,0,0,0

14,03:15-03:30,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,66.220000,0.000000,31.830000,4.220000,3.680000,5.56,229.910000,13.58,4.52,0,12.52,4.1,0,0,4.53,12.52,0,0,0,0,0,0

15,03:30-03:45,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,66.220000,0.000000,31.830000,4.220000,3.680000,5.53,229.910000,13.07,4.35,0,12.59,4.3,0,0,4.36,12.59,0,0,0,0,0,0

16,03:45-04:00,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,66.220000,0.000000,31.830000,4.220000,3.680000,5.52,229.910000,12.3,4.09,0,12.65,4.17,0,0,4.1,12.65,0,0,0,0,0,0

17,04:00-04:15,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,80.250000,11.440000,3.650000,66.220000,0.000000,31.830000,4.080000,3.530000,5.49,193.560000,11.59,3.87,0,12.69,4.29,0,0,3.86,12.69,0,0,0,0,0,0

18,04:15-04:30,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,80.250000,11.440000,3.650000,66.220000,0.000000,31.830000,4.080000,3.530000,5.53,229.910000,10.96,3.66,0,12.72,4.03,0,0,3.65,12.72,0,0,0,0,0,0

19,04:30-04:45,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,66.220000,0.000000,31.830000,4.080000,3.530000,5.5,229.910000,10.45,3.48,0,12.75,4.21,0,0,3.49,12.75,0,0,0,0,0,0

20,04:45-05:00,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.650000,66.220000,0.000000,31.830000,4.080000,3.530000,5.52,229.910000,9.89,3.29,0,12.79,4.31,0,0,3.3,12.79,0,0,0,0,0,0

21,05:00-05:15,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.490000,66.220000,0.000000,31.830000,4.080000,3.530000,5.53,229.910000,9.6,3.19,0,12.63,4.18,0,0,3.2,12.63,0,0,0,0,0,0

22,05:15-05:30,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.490000,66.220000,0.000000,31.830000,4.080000,3.530000,5.56,229.910000,9.4,3.13,0,12.38,4.01,0,0,3.13,12.38,0,0,0,0,0,0

23,05:30-05:45,271.270000,0.000000,0.000000,0.000000,0.000000,0.000000,101.030000,11.440000,3.490000,66.220000,0.000000,31.830000,4.080000,3.530000,5.53,229.910000,9.23,3.08,0,12.45,4.01,0,0,3.08,12.45,0,0,0,0,0,0

24,05:45-06:00,271.270000,0.000000,0.000000,0.900000,0.000000,0.000000,101.030000,11.440000,3.490000,74.740000,0.000000,47.460000,4.080000,3.530000,5.52,220.260000,9.1,3.04,0,12.52,4.09,0,0,3.03,12.52,0,0,0,0,0,0

