Column1,Time,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,NR/30092023/26122029/SH-06,GNA/WR/2024/10/15/7089,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/1868,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/3646,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07
1,00:00-00:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,0.77,0,0,182.53,1.76,0,25.94,8.65,57.35,47.56,86.46,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,13.01,0,0,0,6.67

2,00:15-00:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,0.77,0,0,177.73,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,13.01,0,0,0,6.67

3,00:30-00:45,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.01,0,0,172.93,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,13.01,0,0,0,6.67

4,00:45-01:00,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.01,0,0,172.93,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,13.01,0,0,0,6.67

5,01:00-01:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,172.93,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,11,0,0,0,6.67

6,01:15-01:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,168.12,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,11,0,0,0,6.67

7,01:30-01:45,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,11,0,0,0,6.67

8,01:45-02:00,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,11.21,0,0,0,6.67

9,02:00-02:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,15.01,0,0,0,6.67

10,02:15-02:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,15.21,0,0,0,6.67

11,02:30-02:45,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,81.66,2.48,20,0,15.41,0,0,0,6.67

12,02:45-03:00,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,81.66,2.48,20,0,15.61,0,0,0,6.67

13,03:00-03:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,78.78,2.48,20,0,16.01,0,0,0,6.67

14,03:15-03:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,78.78,2.48,20,0,16.21,0,0,0,6.67

15,03:30-03:45,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,86.46,2.48,20,0,14.01,0,0,0,6.67

16,03:45-04:00,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.24,0,0,139.3,1.76,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,86.46,2.48,20,0,14.01,0,0,0,6.67

17,04:00-04:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,76.86,2.48,20,0,14.01,0,0,0,6.67

18,04:15-04:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,76.86,2.48,20,0,14.01,0,0,0,6.67

19,04:30-04:45,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,76.86,2.48,20,0,17.21,0,0,0,6.67

20,04:45-05:00,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,81.66,2.48,20,0,17.41,0,0,0,6.67

21,05:00-05:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,17.61,0,0,0,6.67

22,05:15-05:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,17.81,0,0,0,6.67

23,05:30-05:45,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,18.01,0,0,0,6.67

24,05:45-06:00,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.24,0,0,139.3,1.71,0,25.94,8.65,57.35,47.56,74.7,0,0,0,70.04,142.69,25.94,100.09,2.48,20,0,18.01,0,0,0,6.67

25,06:00-06:15,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.16,0,0,109.15,1.71,0,25.94,8.65,57.35,0,96.07,0,0,0,70.04,0,25.94,100.09,2.48,20,0.88,18.01,0,0,0.01,6.67

26,06:15-06:30,6.66,0,13.33,0,0,0,0,0,13.33,0,0,6.66,0,0,0,25.94,17.29,8.65,1.16,0,0,109.15,1.71,0,25.94,8.65,57.35,0,115.28,0,0,0,70.04,0,25.94,100.09,2.48,20,1.43,18.01,2,0,3.84,6.67

27,06:30-06:45,6.66,0,13.33,0.01,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.16,0.11,0.11,128.37,1.71,0,25.94,8.65,57.35,0,133.3,0,0,0.11,70.04,0,25.94,52.84,2.48,20,2.91,18.01,6,0,10.05,6.67

28,06:45-07:00,6.66,0.04,13.33,0.19,0,0,0,0,13.33,0,0,6.66,0,0,0.91,25.94,17.29,8.65,1.16,0.24,0.24,109.15,1.71,0,25.94,8.65,62.13,0,133.3,0,0,0.24,70.04,0,25.94,52.84,2.48,20,9.29,18.01,10,0.16,16.74,6.67

29,07:00-07:15,6.66,0.07,13.33,0.33,1,2,0,1,13.33,1,0,6.66,0,0,0,25.94,17.29,8.65,1.16,0.58,0.57,185.42,1.71,0,25.94,8.65,62.13,0,133.3,0,0,0.57,70.04,0,25.94,100.09,2.48,20,18.71,16.21,15,6.45,25.22,6.67

30,07:15-07:30,6.66,0.81,13.33,4.04,4,5,1,2,13.33,2,1,6.66,0,0,0,25.94,17.29,8.65,1.16,1,0.97,247.81,1.71,0,25.94,8.65,62.13,0,133.3,0,0,0.97,70.04,0,25.94,100.09,2.48,20,23.1,16.21,20,14.21,23.1,6.67

31,07:30-07:45,6.66,2.51,13.33,12.58,11,7,4,5,13.33,5,3,6.66,0,0,0,25.94,17.29,8.65,1.16,1.42,1.38,233.4,1.71,0,25.94,8.65,76.17,0,133.3,0,0,1.38,70.04,0,25.94,100.09,2.48,20,23.73,16.21,23.73,22.59,23.74,6.67

