Column1,Block,NR/2025/24805/C,NER/2024/2820/A/48997,NR/2024/24508/A/48988,NR/2024/24614/A/48987,NR/2024/24507/A/48989,NR/2025/24811/C,WR/2024/25501/A/49000,NR/2024/24435/A/48714,NR/2024/24566/A/48706,NR/2025/24806/C,NR/2025/24807/C,NR/2024/24418/A/48696,NR/2024/24434/A/48715,NR/2025/24809/C,NR/2025/24810/C,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,Total
,,TPDDL,APPCPL,NVVNL,NVVNL,NVVNL,SJVNL,APPCPL,IEXL,IEXL,NVVNL,NVVNL,ITCLH,IEXL,SJVNL,SJVNL,NDMC,NDMC,MANIKARAN,HPXL,PXIL,BAWANA_GAS,NDMC,APPCPL,PUNJAB,IEXL,HPXL,IEXL,IEXL,IEXL,NDMC,DELHI,TPTCL,
,,NA,DELHI_UT,NA,NA,NA,UTTARPRADESH_STATE,DELHI_UT,KARNATAKA_STATE,TELANGANA_State,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,ODISHA_STATE,MP_State,NA,HIMACHAL_STATE,DELHI_UT,
,,JHAJJAR,BYPL,TRN_ENERGY,TRN_ENERGY,JIPL,BCMLUH,BRPL,NSLSUGARALAND,NSLKSLWPRTY,JIPL,TRN_ENERGY,ITCWIND,TESPL_BKN2,RSRPL_BKN,TPSL_BKN2,JPL2,SKS_Raigarh,BRPL,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,BAWANA_GAS,RKM_POWER,BYPL,BAWANA_GAS,SKS_Raigarh,SKS_Raigarh,JPNIGRIE_JNSTPP,NBVLIPP,JP_BINA,RKM_POWER,CHANJUII,BYPL,
,,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,
,,TPDDL,Manipur_Ben,NDMC,NDMC,NDMC,NDMC,GOA_Beneficiary,MES_Delhi,MES_Delhi,NDMC,NDMC,ITCLH,MES_Delhi,NDMC,NDMC,NDMC,NDMC,AEML,BRPL,BRPL,HARYANA,NDMC,AEML,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,TPC_MSEB,
,,North-North,North-East-North East,West-North,West-North,East-North,North-North,North-West,South-West-North,South-West-North,East-North,West-North,South-West-North,North-North,North-North,North-North,West-North,West-North,North-West,West-North,West-North,North-North,West-North,North-West,North-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,North-West,
1,00:00-00:15,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

2,00:15-00:30,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

