Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/06/01/2868,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7663,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8510,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/7782,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/9719,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/7786,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/2569,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/7762,GNA/NR/2025/04/01/8964,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/5280,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,L_NR_2019_19
1,00:00-00:15,0,0,15.5,0,46.5,0,7,13,15.5,36.67,36.67,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,11.08,20.75,41.02,41.02,115.78,2.06,0,15.68,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.12,20.75,7.07,32,0,11.9,23.21,32,0

2,00:15-00:30,0,0,15.33,0,46.01,0,7,12,15.33,36.33,36.33,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,11.08,20.75,41.02,41.02,115.78,2.06,0,15.68,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.12,20.75,7.07,32,0,11.9,23.72,32,0

3,00:30-00:45,0,0,15.17,0,45.49,0,7,11.67,15.17,35.67,35.67,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,11.08,20.75,41.02,41.02,115.78,2.06,0,15.68,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.12,20.75,7.07,30,0,11.9,23.72,30,0

4,00:45-01:00,0,0,14.83,0,44.51,0,7.2,11,14.83,35,35,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,11.08,20.75,41.02,41.02,115.78,2.06,0,15.68,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.12,20.75,7.07,30,0,11.9,23.72,30,0

5,01:00-01:15,0,0,14.33,0,43.01,0,11,11,14.33,34.33,34.33,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,10.99,20.75,41.02,41.02,115.78,2.06,0,15.68,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.12,20.75,7.07,8.25,0,11.9,23.72,30,0

6,01:15-01:30,0,0,14,0,42,0,11.41,11,14,34,34,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,10.99,20.75,41.02,41.02,115.78,2.06,0,15.68,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.12,20.75,7.07,14.25,0,11.9,23.72,30,0

7,01:30-01:45,0,0,13.67,0,40.99,0,11.81,11,13.67,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,10.99,20.75,41.02,41.02,115.78,2.06,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,30,0,11.9,23.72,30,0

8,01:45-02:00,0,0,13.33,0,40.01,0,12.21,11,13.33,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.7,10.99,20.75,41.02,41.02,115.78,2.06,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,30,0,11.9,23.72,30,0

9,02:00-02:15,0,0,11.5,0,34.5,0,18.01,8.47,11.5,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.62,10.9,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,17.64,164.08,11.9,23.21,30,0

10,02:15-02:30,0,0,11.17,0,33.49,0,18.21,8.07,11.17,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,3.35,3.62,10.9,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,17.64,164.08,11.9,23.21,30,0

11,02:30-02:45,0,0,10.83,0,32.51,0,18.41,8.07,10.83,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,1.95,3.62,10.9,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,8.25,164.08,11.9,23.21,30,0

12,02:45-03:00,0,0,10.5,0,31.5,0,18.61,7.66,10.5,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.62,10.9,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,8.25,164.08,11.9,22.71,30,0

13,03:00-03:15,0,0,13.41,0,40.25,0,19.01,8.07,13.41,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.81,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,8.25,164.08,11.9,22.71,30,0

14,03:15-03:30,0,0,13.46,0,40.4,0,19.21,8.07,13.46,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.81,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,8.25,164.08,11.9,22.71,30,0

15,03:30-03:45,0,0,15,0,45,0,17.01,7.71,15,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.81,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,23.64,164.08,11.9,23.21,30,0

16,03:45-04:00,0,0,15.35,0,46.05,0,17.41,7.71,15.35,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.81,20.75,41.02,41.02,115.78,1.97,0,15.34,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,23.64,164.08,11.9,23.21,30,0

17,04:00-04:15,0,0,13,0,39,0,14.25,8.35,13,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.71,20.75,41.02,41.02,115.78,1.97,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,23.21,26.93,0

18,04:15-04:30,0,0,13,0,39,0,14.57,8.28,13,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.71,20.75,41.02,41.02,115.78,1.97,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,23.72,26.93,0

19,04:30-04:45,0,0,13,0,39,0,14.57,8.21,13,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.71,20.75,41.02,41.02,115.78,1.97,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,24.23,26.93,0

20,04:45-05:00,0,0,13,0,39,0,14.41,8.16,13,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.77,10.71,20.75,41.02,41.02,115.78,1.97,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,24.23,26.93,0

21,05:00-05:15,0,0,11.9,0,35.67,0,14.41,7.83,11.9,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.7,10.63,20.75,41.02,41.02,107.26,1.87,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,24.23,26.93,0

22,05:15-05:30,0,0,11.8,0,35.39,0,14.41,7.51,11.8,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.7,10.63,20.75,41.02,41.02,98.75,1.87,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,23.72,26.93,0

23,05:30-05:45,0,0,11.7,0,35.09,0,9.6,7.36,11.7,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.7,10.63,20.75,41.02,41.02,90.24,1.87,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,22.71,26.93,0.08

24,05:45-06:00,0,0,11.6,0,34.82,0,9.4,7.22,11.6,33.33,33.33,0,0,0,0,0,0,0,0,28.96,0,272.91,2.95,3.7,10.63,20.75,41.02,41.02,70.37,1.87,0,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0,53.57,10.28,20.75,7.07,26.93,164.08,11.9,23.71,26.93,1.71

25,06:00-06:15,0,0.61,13.75,7.65,41.22,8.65,7,8.19,13.75,35,35,1,0,0.42,0,1,2.09,1,0,28.96,0.19,272.91,2.95,3.7,10.53,20.75,41.02,41.02,70.37,1.87,0.14,8.62,100.55,11.89,87.06,20.75,130.59,41.02,0.19,53.57,10.28,20.75,7.07,26.93,164.08,11.9,23.21,26.93,3.21

