Block,Time,LT-36,L_NR_2012_07,LT-35,SH-06,L_NR_2023_04,L_NR_2020_02,L_NR_2019_11,LT-31,SH-07,L_NR_2012_02,L_NR_2012_01,LT-59,LT-05,L_NR_2012_04,L_NR_2021_12,L_NR_2019_19,L_NR_2022_09,L_NR_2022_08,L_NR_2021_16,L_NR_2019_06,L_NR_2020_07,L_NR_2021_17,L_NR_2021_14,L_NR_2020_05,L_NR_2019_05,L_NR_2019_07,L_NR_2021_13,L_NR_2020_06,L_NR_2022_10,L_NR_2021_15,L_NR_2018_61
1,00:00-00:15,0.000000,73.970000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,61.87,23.87,0,0,24.18,0,0,72.56,0,0,0,24.19,61.87,0,14.85

2,00:15-00:30,0.000000,73.970000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,62.03,23.62,0,0,24.35,0,0,73.04,0,0,0,24.35,62.03,0,14.66

3,00:30-00:45,0.000000,73.970000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,61.15,23.33,0,0,24.52,0,0,73.58,0,0,0,24.53,61.15,0,17.79

4,00:45-01:00,0.000000,73.970000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,60.24,23.02,0,0,24.76,0,0,74.28,0,0,0,24.76,60.24,0,17.62

5,01:00-01:15,0.000000,73.970000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,58.92,22.77,0,0,25.04,0,0,75.07,0,0,0,25.02,58.92,0,16.93

6,01:15-01:30,0.000000,73.970000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,58.87,22.56,0,0,25.33,0,0,75.96,0,0,0,25.32,58.87,0,16.06

7,01:30-01:45,0.000000,55.950000,0.000000,0.000000,30.870000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,58.78,22.15,0,0,25.57,0,0,76.69,0,0,0,25.56,58.78,0,15.62

8,01:45-02:00,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.670000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,57.97,21.9,0,0,25.93,0,0,77.82,0,0,0,25.94,57.97,0,12.75

9,02:00-02:15,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,58.19,19.38,0,0,22.96,0,0,68.93,0,0,0,22.98,58.19,0,12.29

10,02:15-02:30,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,58.9,19.43,0,0,22.97,0,0,68.96,0,0,0,22.99,58.9,0,11.73

11,02:30-02:45,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,94.600000,271.290000,0,0,57.36,19.59,0,0,23.16,0,0,69.47,0,0,0,23.16,57.36,0,10.87

12,02:45-03:00,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,57.84,19.35,0,0,23.27,0,0,69.76,0,0,0,23.25,57.84,0,10.65

13,03:00-03:15,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,60.15,18.87,0,0,30.17,0,0,90.53,0,0,0,30.18,60.15,0,10.62

14,03:15-03:30,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,63.03,24.23,0,0,30.15,0,0,90.5,0,0,0,30.17,63.03,0,10.46

15,03:30-03:45,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,53.55,23.7,0,0,30.43,0,0,91.31,0,0,0,30.44,53.55,0,14.87

16,03:45-04:00,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,53.22,23.52,0,0,30.65,0,0,91.95,0,0,0,30.65,53.22,0,14.34

17,04:00-04:15,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,52.88,23.25,0,0,30.23,0,0,90.71,0,0,0,30.24,52.88,0,13.54

18,04:15-04:30,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0,0,52.55,23.08,0,0,30.03,0,0,90.14,0,0,0,30.05,52.55,0,23.5

19,04:30-04:45,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,0,0,51.71,22.93,0,0,22.61,0,0,67.82,0,0,0,22.61,51.71,0,23.2

20,04:45-05:00,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.510000,0.000000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,0,0,42.83,22.49,0,0,22.1,0,0,66.25,0,0,0,22.08,42.83,0,22.32

21,05:00-05:15,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.370000,0.000000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,0,0,42.2,21.93,0,0,21.08,0,0,63.24,0,0,0,21.08,42.2,0,21.65

22,05:15-05:30,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.370000,0.000000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,0,0,42.01,21.47,0,0,20.45,0,0,61.4,0,0,0,20.47,42.01,0,20.95

23,05:30-05:45,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.370000,0.000000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,0,0,42.12,21.05,0,0,20.62,0,0.03,61.81,0,0,0,20.6,42.12,0,20.68

24,05:45-06:00,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.370000,0.000000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,0.07,0.009756,42.2,20.58,1.33,0,20.3,0.67,0.1,60.9,0,0,0.01,20.3,42.2,0,13.67

25,06:00-06:15,0.000000,55.950000,0.000000,0.000000,29.900000,0.000000,7.370000,0.000000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,0.87,3.151188,43.18,20.32,5.33,4.6,20.11,2.67,1.27,60.35,4.6,1.35,0.17,20.12,43.18,0.42,13.43

26,06:15-06:30,0.400000,55.950000,0.390000,0.000000,29.900000,0.000000,7.370000,0.390000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,5.15,6.39018,52.03,24.27,9.33,13.8,23.7,4.67,3,71.12,13.8,2.07,1.03,23.71,52.03,1.18,13.3

27,06:30-06:45,0.760000,55.950000,0.740000,0.000000,29.900000,0.000000,7.370000,0.740000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,11.03,10.185264,52.56,24.05,14,27.26,24,7,4.93,71.97,27.27,5.85,2.2,23.99,52.56,2.48,12.95

28,06:45-07:00,1.200000,55.950000,1.170000,0.000000,29.900000,0.000000,7.370000,1.170000,0.000000,229.930000,101.040000,10.320000,115.790000,271.290000,16.86,14.643756,52.64,23.88,20.67,31.7,24.11,10.33,7.23,72.32,31.71,10.73,3.37,24.11,52.64,3.93,12.63

29,07:00-07:15,1.770000,55.950000,1.720000,0.000000,29.900000,0.000000,7.370000,1.720000,0.000000,220.290000,101.040000,10.320000,94.600000,271.290000,24.47,19.41444,52.68,24.26,23.33,31.58,24.29,11.67,10.33,72.89,31.58,16.58,4.89,24.3,52.68,6.01,11.71

30,07:15-07:30,2.430000,55.950000,2.370000,0.000000,29.900000,0.000000,7.370000,2.370000,0.000000,220.290000,101.040000,10.320000,115.790000,271.290000,34.63,24.19488,64.51,27.39,26,28.89,24.1,13,14.43,72.32,28.89,24.97,6.93,24.11,64.51,8.49,10.62

31,07:30-07:45,3.170000,55.950000,3.090000,0.000000,29.900000,0.000000,7.370000,3.090000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,47.78,28.546056,66.61,27.56,18,28.26,30.66,9,19.43,91.99,28.27,28.27,9.56,30.66,66.61,11.2,9.55

32,07:45:08:00,4.250000,55.950000,4.150000,0.000000,29.900000,0.000000,7.370000,4.150000,0.000000,261.020000,101.040000,10.320000,115.790000,271.290000,63.16,33.346008,67.12,28.02,23.33,28.44,30.94,11.67,24.93,92.85,28.43,28.43,12.63,30.95,67.12,14.11,11.16

33,08:00-08:15,5.420000,33.740000,5.290000,0.000000,29.900000,0.000000,7.220000,5.290000,0.000000,261.020000,101.040000,10.320000,107.270000,271.290000,84.93,38.214252,67.42,27.6,29.33,29.1,30.72,14.67,30.77,92.17,29.1,29.1,16.98,30.72,67.42,19.06,11.42

