Block,Time,BSIUL,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,CHAMERA1,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,URI2,UNCHAHAR2,URI,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SINGRAULI_HYDRO,TANDA2,TEHRI,DULHASTI,KISHANGANGA,KOLDAM,KOTESHWR,NJPC,PARBATI3,RAMPUR,RAPPB,RIHAND1,RAPPC,NAPP,TANAKPUR,JHAJJAR,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NLCIIST2,NLCTS2EXP,NNTPP,KGSU3AND4,KKNPPU2,KGSU1AND2,KKNP,MAPS,NLCIIST1,KUDGI,NLCEXP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,SIMHST2,TALST2,VALLURNTECL,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,89.173935,3.749748,1.012413,0,79.12267,56.154068,42.344646,1.1529,657.89409,84.9422,0,70.265089,0,0,0,5.822894,79.191352,0,0,25.676561,16.745583,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,418.77

2,00:15-00:30,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,89.173935,3.749748,1.012413,0,79.12267,56.154068,42.344646,1.1529,657.89409,84.9422,0,70.265089,0,0,0,5.822894,79.191352,0,0,25.676561,16.745583,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,43.704,418.77

3,00:30-00:45,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,2.429119,16.886901,59.44929,3.749748,0.677631,0,79.12267,56.154068,42.344646,1.1529,657.89409,84.9422,0,70.265089,0,0,0,5.822894,79.191352,0,0,25.676561,16.745583,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,42.49,418.77

4,00:45-01:00,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,52.992,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,1.82184,16.886901,39.63286,0,0.451754,0,79.12267,56.154068,42.344646,1.1529,657.89409,84.9422,0,70.265089,0,0,0,5.822894,79.191352,0,0,25.676561,16.745583,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,42.49,418.77

5,01:00-01:15,6.5538,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,52.992,119.5917,125.29529,16.588864,142.003255,1.00939,1.44175,26.273875,51.987208,1.456305,1.214559,16.886901,39.63286,0,0.451754,0,79.12267,56.154068,42.344646,9.4794,657.89409,84.9422,0,70.265089,0,0,0,5.822894,79.191352,0,0,25.676561,16.745583,0,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,11.5395,20.73185,0,147.515625,42.49,418.77

