Block,Time Block,TALST2,TALA,SINGRAULI,RSTPSU1TO6,RAPPC,RSTPSU7,SIMHST1,SALAL,RIHAND3,RAPPB,SEWA2,SIMHST2,RAMPUR,RIHAND2,SINGRAULI_HYDRO,RIHAND1,SASAN,DHAULIGNGA,FSTPP I & II,DULHASTI,NTPL,PARBATI3,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_RF,AURY_CRF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,KKNP,KGSU3AND4,KHSTPP-II,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,KOTESHWR,KGSU1AND2,MAPS,NAPP,NLCEXP,NJPC,KUDGI,BSIUL,DADRT2,BRBCL,CHAMERA1,CHAMERA2,CHAMERA3,UNCHAHAR2,URI,TEHRI,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,TANDA2,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,134.07,0,24.61,0,0,2.24,119.33,0,0,0,0,113.99,0.77,43.19,393.36,0,11.23,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.34,0,0,0,43.7,393.92,8.51,0,0,19.89,0,0,0,6.26,585.46,19.2,0,0,0,40.69,33.38,0,0,8.77,0,0,0,30.62,25.34,0,0,0,0,0,0

2,00:15-00:30,0,0,134.07,0,24.61,0,0,2.24,119.33,0,0,0,0,113.99,0.77,43.19,394.11,0,11.23,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.34,0,0,0,43.7,393.92,8.51,0,0,19.89,0,0,0,6.26,585.46,18.29,0,0,0,40.69,33.38,0,0,8.77,0,0,0,30.62,25.34,0,0,0,0,0,0

3,00:30-00:45,0,0,134.07,0,24.61,0,0,2.24,119.33,0,0,0,0,113.99,0.77,43.19,394.11,0,11.23,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.34,0,0,0,43.7,414.16,8.51,0,0,19.89,0,0,0,6.26,653.44,15.35,0,0,0,40.69,33.38,0,0,13.34,0,0,0,30.62,25.34,0,0,0,0,0,0

4,00:45-01:00,0,0,134.07,0,24.61,0,0,2.24,119.33,0,0,0,0,113.99,0.77,43.19,394.11,0,11.23,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.34,0,0,0,43.7,414.47,8.51,0,0,19.89,0,0,0,6.26,655.68,13.66,0,0,0,40.69,33.38,0,0,13.34,0,0,0,30.62,25.34,0,0,0,0,0,0

5,01:00-01:15,0,0,134.07,0,24.61,0,0,12.82,119.33,0,0,0,0,113.99,0.77,43.19,394.11,0,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.34,0,0,0,43.7,414.47,8.51,0,0,19.89,0,0,0,6.26,655.68,13.63,0,0,0,40.69,33.38,0,0,13.34,0,0,0,30.62,25.34,0,0,0,0,0,0

