Block,Time,SASAN,KHSTPP-I,BRBCL,TALA,KHSTPP-II,FSTPP I & II,BSIUL,ANTA_LF,SINGRAULI,NAPP,SINGRAULI_HYDRO,URI,AURY_LF,ANTA_CRF,RIHAND2,SEWA2,AURY_RF,SALAL,NJPC,KOLDAM,DADRI_CRF,DHAULIGNGA,TANDA2,TANAKPUR,DADRI_RF,ANTA_GF,DADRI_LF,DULHASTI,KOTESHWR,UNCHAHAR2,RIHAND1,JHAJJAR,DADRT2,RAPPC,CHAMERA1,DADRI_GF,CHAMERA3,CHAMERA2,RIHAND3,AURY_GF,KISHANGANGA,AURY_CRF,RAPPB,RAMPUR,UNCHAHAR4,UNCHAHAR1,PARBATI3,ANTA_RF,URI2,TEHRI,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,401.556375,42.745857,14.471802,0.000000,142.517253,19.697823,12.581232,0.000000,121.193649,46.871970,1.170006,35.145950,0.000000,0.000000,57.291663,0.000000,0.000000,80.710661,173.609779,9.873775,0.000000,41.999311,5.168948,11.739917,0.000000,0.000000,0.000000,57.086511,0.000000,42.130089,93.533397,407.527868,663.825455,65.590803,40.660253,0.000000,33.601710,46.787784,125.970622,0.000000,8.046226,0.000000,0.000000,6.507398,2.980923,21.828074,18.840168,0.000000,36.552985,0.000000,26.663324,0,0,0,0,0

2,00:15-00:30,401.556375,42.745857,14.471802,0.000000,142.517253,19.697823,12.581232,0.000000,121.193649,46.871970,1.170006,35.145950,0.000000,0.000000,57.291663,0.000000,0.000000,80.710661,173.609779,9.873775,0.000000,41.999311,5.168948,11.739917,0.000000,0.000000,0.000000,57.086511,0.000000,42.130089,93.533397,407.527868,663.825455,65.590803,40.660253,0.000000,33.601710,46.787784,125.970622,0.000000,8.046226,0.000000,0.000000,6.507398,2.980923,21.828074,18.840168,0.000000,36.552985,0.000000,26.663324,0,0,0,0,0

3,00:30-00:45,401.556375,42.745857,14.471802,0.000000,142.517253,19.697823,12.581232,0.000000,121.193649,46.871970,1.170006,35.145950,0.000000,0.000000,57.291663,0.000000,0.000000,80.710661,173.609779,9.873775,0.000000,41.999311,5.168948,11.739917,0.000000,0.000000,0.000000,57.086511,0.000000,42.130089,93.533397,407.527868,663.825455,65.590803,40.660253,0.000000,33.601710,46.787784,125.970622,0.000000,8.046226,0.000000,0.000000,6.507398,2.980923,21.828074,18.840168,0.000000,36.552985,0.000000,26.663324,0,0,0,0,0

4,00:45-01:00,401.556375,42.745857,12.065551,0.000000,142.517253,19.697823,12.581232,0.000000,121.193649,46.871970,1.170006,35.145950,0.000000,0.000000,57.291663,0.000000,0.000000,80.710661,173.609779,9.873775,0.000000,41.999311,5.168948,8.650465,0.000000,0.000000,0.000000,57.086511,0.000000,42.130089,93.533397,407.527868,663.825455,65.590803,40.660253,0.000000,33.601710,46.787784,125.970622,0.000000,8.046226,0.000000,0.000000,6.507398,2.980923,21.828074,18.840168,0.000000,36.552985,0.000000,26.663324,0,0,0,0,0

5,01:00-01:15,401.556375,42.745857,11.718233,4.821571,142.517253,19.697823,12.581232,0.000000,121.185614,46.871970,1.170006,35.145950,0.000000,0.000000,57.283886,0.000000,0.000000,80.710661,173.609779,9.873775,0.000000,41.999311,5.168948,8.650465,0.000000,0.000000,0.000000,57.086511,0.000000,42.736210,93.527665,396.830696,610.007425,65.590803,40.660253,0.000000,33.601710,46.787784,125.970622,0.000000,8.046226,0.000000,0.000000,6.507398,2.980923,21.831161,16.190769,0.000000,36.552985,0.000000,26.654661,0,0,0,0,0

