Block,Time,KHSTPP-I,KOLDAM,NJPC,CHAMERA2,KGSU1AND2,MAPS,NAPP,NLCIIST1,RAPPB,RIHAND1,SIMHST2,UNCHAHAR2,UNCHAHAR4,URI2,NNTPP,PARBATI3,RSTPSU1TO6,SASAN,TANAKPUR,TANDA2,VALLURNTECL,DADRI_CRF,CHAMERA3,DULHASTI,FSTPP I & II,RAMPUR,RAPPC,SEWA2,SINGRAULI,UNCHAHAR3,URI,AURY_RF,DHAULIGNGA,RIHAND2,SALAL,TelanganaSTPP,AURY_CRF,BRBCL,KKNPPU2,RIHAND3,RSTPSU7,TALA,UNCHAHAR1,ANTA_CRF,ANTA_LF,DADRI_GF,DADRI_LF,JHAJJAR,KGSU3AND4,KHSTPP-II,KKNP,NLCIIST2,NLCTS2EXP,NTPL,SIMHST1,ANTA_GF,AURY_GF,AURY_LF,BSIUL,CHAMERA1,DADRT2,KISHANGANGA,KOTESHWR,KUDGI,NLCEXP,SINGRAULI_HYDRO,TALST2,TEHRI,ANTA_RF,DADRI_RF
1,00:00-00:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,42.4,0,27.34,0,32.33,0,325.12,10.89,0.116,0,0,32.08,36.23,14.3,3.54,60.23,11.58,93.48,26.4,42.5,77.33,40.4,121.71,83.67,0,0,15,0,127.6,0,9.7,20.56,0,0,0,0,406.41,0,131.13,0,0,0,0,0,0,0,0,13.04,42.15,682.82,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

2,00:15-00:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,42.4,0,36.05,0,32.33,0,325.12,10.89,0.116,0,0,32.08,36.23,14.3,3.54,60.23,11.58,93.48,26.4,42.5,77.33,40.4,121.71,83.67,0,0,15,0,127.6,0,9.7,20.56,0,0,0,0,413.81,0,131.13,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

3,00:30-00:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,42.4,0,36.05,0,32.33,0,325.12,10.89,0.116,0,0,32.08,36.23,14.3,3.54,60.23,11.58,93.48,27.05,36.43,77.33,40.4,121.71,83.67,0,0,15,0,127.6,0,9.7,20.96,0,0,0,0,413.81,0,136.37,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

4,00:45-01:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,42.4,0,36.05,0,32.33,0,325.12,10.89,0.116,0,0,32.08,36.23,14.3,3.54,60.23,11.58,93.48,27.05,36.43,77.33,40.4,121.71,83.67,0,0,15,0,127.6,0,9.7,20.96,0,0,0,0,413.81,0,136.37,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

5,01:00-01:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,7.03,0,325.12,10.89,2.61,0,0,32.08,36.23,14.3,3.54,60.23,11.58,93.48,27.05,36.43,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,141.62,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

6,01:15-01:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,7.03,0,325.12,10.89,2.61,0,0,32.08,36.23,14.3,3.54,60.23,11.58,93.48,27.05,36.43,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,141.62,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

7,01:30-01:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,30.92,0,325.12,10.89,2.61,0,0,32.08,36.23,11.7,3.54,60.23,11.58,93.48,27.05,42.5,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

8,01:45-02:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,30.92,0,325.12,10.89,2.61,0,0,32.08,36.23,11.7,3.54,60.23,11.58,93.48,27.05,42.5,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

