Block,Time Block,KHSTPP-I,KGSU3AND4,KHSTPP-II,KGSU1AND2,KUDGI,FSTPP I & II,DADRT2,BSIUL,JHAJJAR,CHAMERA3,DHAULIGNGA,CHAMERA2,DULHASTI,CHAMERA1,BRBCL,ANTA_RF,AURY_CRF,AURY_GF,DADRI_CRF,DADRI_RF,DADRI_LF,AURY_RF,AURY_LF,DADRI_GF,KOTESHWR,KKNPPU2,KOLDAM,TelanganaSTPP,ANTA_GF,UNCHAHAR4,ANTA_CRF,UNCHAHAR3,VALLURNTECL,UNCHAHAR2,URI2,ANTA_LF,UNCHAHAR1,URI,TEHRI,MAPS,RIHAND1,RIHAND3,RSTPSU7,SIMHST1,SALAL,SEWA2,SIMHST2,TALST2,TALA,SINGRAULI_HYDRO,TANAKPUR,TANDA2,SASAN,SINGRAULI,RIHAND2,RSTPSU1TO6,KISHANGANGA,KKNP,NAPP,NJPC,NLCIIST1,NLCEXP,RAPPB,NTPL,RAPPC,NNTPP,PARBATI3,RAMPUR,NLCTS2EXP,NLCIIST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,43.88,0,142.92,0,0,17.54,507.05,6.28,234.33,0,0,0,15.88,0,15.45,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,22.86,0,36.87,27.22,0,17.32,32.45,0,0,88.66,119.82,0,0,2.25,0,0,0,0,0.77,0,0,397.89,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,43.88,0,142.92,0,0,17.54,507.05,6.28,230.38,0,0,0,15.88,0,15.16,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,2.25,0,0,0,0,0.77,0,0,397.89,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,43.88,0,142.92,0,0,17.54,597.64,6.28,248.1,0,0,0,15.88,0,17.05,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,12.88,0,0,0,0,0.77,0,0,397.89,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,43.88,0,142.92,0,0,17.54,631,12.57,248.1,0,0,0,15.88,0,15.62,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,68.31,0,0,0,0,0.77,0,0,397.89,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,43.88,0,142.92,0,0,17.54,591.69,12.57,305.93,0,0,0,15.88,0,14.69,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,68.31,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,43.88,0,142.92,0,0,17.54,511.11,12.57,296.29,0,0,0,15.88,0,13.35,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,68.31,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,43.88,0,142.92,0,0,17.54,441.61,12.57,287.62,0,0,0,15.88,0,15.16,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,68.31,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,43.88,0,142.92,0,0,17.54,366.55,12.57,287.62,0,0,0,15.88,0,16.96,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,43.88,0,142.92,0,0,17.54,362.5,12.57,230.38,0,0,0,15.88,0,16.47,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,22.26,0,32.22,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,43.88,0,142.92,0,0,17.54,362.5,12.57,230.38,0,0,0,15.88,0,15.91,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.15,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,43.88,0,142.92,0,0,17.54,362.5,12.57,230.38,0,0,0,15.88,0,16.45,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,43.88,0,142.92,0,0,17.54,362.5,12.57,230.38,0,0,0,15.88,0,18.66,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,43.88,0,142.92,0,0,17.54,362.5,12.57,230.38,0,0,0,15.88,0,18.13,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,43.88,0,142.92,0,0,14.05,362.5,12.57,230.38,9.33,0,12.69,15.88,0,17.99,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,43.88,0,142.92,0,0,17.54,404.74,12.57,230.38,9.33,0,12.69,15.88,0,19.08,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,0,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,43.88,0,142.92,0,0,17.54,390.29,12.57,230.38,9.33,0,12.69,15.88,0,18.83,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,43.88,0,142.92,0,0,17.54,392.22,12.57,230.38,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,43.88,0,142.92,0,0,17.54,393.18,12.57,230.38,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,17.39,0,27.73,27.22,0,13.18,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,44,0,142.92,0,0,17.54,410.68,12.57,249.46,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,19.91,0,32.66,27.22,0,16.55,32.45,0,0,88.66,119.82,0,0,12.32,0,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,44,0,142.92,0,0,17.54,478.14,12.57,249.46,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,24.51,0,40.06,27.22,0,20.09,32.45,0,0,88.66,119.82,0,0,12.32,10.15,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,44,0,142.92,0,0,17.54,592.82,12.57,249.46,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,10.57,0,88.66,119.82,0,0,2.25,10.15,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,44,0,142.92,0,0,17.54,654.28,12.57,249.46,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,27.22,0,20.09,32.45,21.12,0,88.66,119.82,0,0,2.25,10.15,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,20.99,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,44,0,142.92,0,0,17.54,654.28,12.57,305.36,9.33,0,12.69,15.88,0,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,21.92,0,35.21,25.92,0,17.32,32.45,31.7,0,88.66,119.82,0,0,2.25,10.15,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,22.54,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,44,0,142.92,0,0,17.54,658.34,12.57,363.18,9.33,0,25.38,15.88,11.81,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.23,0,40.43,25.92,0,20.09,32.45,31.7,0,88.66,119.82,0,0,2.25,10.15,0,0,0,0.77,0,0,390.3,134.62,114.45,0,0,0,40.66,38.14,0,0,0,0,24.82,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,44,0,142.92,0,0,17.54,658.34,12.57,414.55,9.33,7.63,25.38,31.76,11.81,19.27,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,25.44,0,40.85,23.33,0,20.09,38.31,31.7,0,88.66,119.82,0,0,14.56,10.15,0,0,0,0.77,0,0,395.71,134.62,114.45,0,0,0,40.66,60.24,0,0,0,0,24.82,0,3.68,0,0,0,0,0,0,0,0

26,06:15-06:30,44,0,142.92,0,0,17.54,658.34,12.57,416.15,18.65,15.27,38.08,31.76,27.03,19.27,0,0,0,0,0,0,0,0,0,17.11,0,0,0,0,0,0,25.44,0,40.85,23.33,0,20.09,38.31,42.25,0,88.66,119.82,0,0,68.31,10.15,0,0,0,0.77,0,0,396.8,134.62,114.45,0,0,0,40.66,80.31,0,0,0,0,24.82,0,15.94,0,0,0,0,0,0,0,0

27,06:30-06:45,44,0,142.92,0,0,17.54,658.34,18.85,416.15,28.01,17.61,38.08,47.64,40.62,19.27,0,0,0,0,0,0,0,0,0,37.63,0,0,0,0,0,0,25.44,0,40.85,32.02,0,20.09,38.31,42.25,0,88.66,119.82,0,0,68.31,10.15,0,0,0,0.77,0,0,396.8,134.62,114.45,0,0,0,40.66,112.7,0,0,0,0,24.82,0,15.94,0,0,0,0,0,0,0,0

28,06:45-07:00,44,0,142.92,0,0,17.54,658.34,18.85,416.15,28.01,17.61,38.08,47.64,40.62,19.27,0,0,0,0,0,0,0,0,0,37.63,0,0,0,0,0,0,25.44,0,40.85,32.02,0,20.09,38.31,42.25,0,88.66,119.82,0,0,68.31,10.15,0,0,0,0.77,0,0,396.8,134.62,114.45,0,0,0,40.66,112.7,0,0,0,0,24.82,0,15.94,0,0,0,0,0,0,0,0

29,07:00-07:15,37.94,0,123.18,0,0,15.12,597.27,18.85,363.18,28.01,26.42,38.08,47.64,40.62,19.27,0,0,0,0,0,0,0,0,0,37.63,0,0,0,0,0,0,21.92,0,35.21,32.02,0,17.32,32.45,42.25,0,88.66,119.82,0,0,68.31,10.15,0,0,0,0.77,0,0,396.8,134.62,114.45,0,0,0,40.66,135.26,0,0,0,0,24.82,0,15.94,0,0,0,0,0,0,0,0

