Time,Block,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17910/C,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17914/C,WR/2023/17681/A,WR/2023/19090/A,NR/2023/17911/C,WR/2023/17681/A/II,NR/2023/17916/C,Total
,,IEXL,ITCLH,TPDDL,APPCPL,MANIKARAN,NVVNL,MANIKARAN,APPCPL,SJVNL,MANIKARAN,TPTCL,NVVNL,MANIKARAN,SJVNL,Total

,,KARNATAKA,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,NA,DELHI,DELHI,NA,DELHI,DELHI,NA,DELHI,NA,
,,NSLSUGAR,ITCWIND,CHANJUII,BRPL,BRPL,SKS Raigarh,BRPL,BYPL,SORANG_HEP,BYPL,BYPL,SOLAPUR_SOLAR,BYPL,RSRPL_BKN,
,,DELHI,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,MAHARASHTRA,MAHARASHTRA,DELHI,MAHARASHTRA,DELHI,
,,MES (Delhi),ITCLH,TPDDL,HP,HP,NDMC,HP,HP,NDMC,AEML,TPC MSEB,MES (Delhi),AEML,NDMC,
,,South-East-North,South-West-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-East-West,North-West,West-North,North-West,North-North,
1,00:00-00:15,6.770000,0.580000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.77

2,00:15-00:30,6.770000,0.580000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.77

3,00:30-00:45,6.770000,0.580000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.77

4,00:45-01:00,6.770000,0.580000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.77

5,01:00-01:15,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

6,01:15-01:30,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

7,01:30-01:45,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

8,01:45-02:00,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

9,02:00-02:15,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

10,02:15-02:30,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

11,02:30-02:45,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

12,02:45-03:00,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

13,03:00-03:15,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

14,03:15-03:30,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

15,03:30-03:45,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

16,03:45-04:00,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

17,04:00-04:15,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

18,04:15-04:30,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

19,04:30-04:45,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

20,04:45-05:00,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

21,05:00-05:15,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

22,05:15-05:30,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

23,05:30-05:45,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

24,05:45-06:00,6.770000,0.530000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,0.000000,0,100.000000,0,450.72

25,06:00-06:15,6.770000,0.580000,4.160000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0,0.000000,0,450.23

26,06:15-06:30,6.770000,0.580000,4.160000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0,0.000000,0,450.23

27,06:30-06:45,6.770000,0.580000,4.160000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.1,0.000000,0,450.33

28,06:45-07:00,6.770000,0.580000,4.160000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.28,0.000000,0,450.51

29,07:00-07:15,6.770000,0.680000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.55,0.000000,0,450.78

30,07:15-07:30,6.770000,0.680000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.87,0.000000,0,451.1

31,07:30-07:45,6.770000,0.680000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,1.24,0.000000,0,451.47

32,07:45:08:00,6.770000,0.680000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,1.65,0.000000,0,451.88

33,08:00-08:15,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,2.11,0.000000,0,452.63

34,08:15-08:30,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,2.55,0.000000,0,453.07

35,08:30-08:45,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,3.01,0.000000,0,453.53

36,08:45:09:00,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,3.45,0.000000,0,453.97

37,09:00:09:15,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,3.87,0.000000,24.17,497.9

38,09:15-09:30,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,4.25,0.000000,24.17,498.28

39,09:30-09:45,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,4.62,0.000000,24.17,498.65

40,09:45-10:00,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,4.97,0.000000,24.17,499

41,10:00-10:15,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,5.29,0.000000,24.17,499.32

42,10:15-10:30,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,5.58,0.000000,24.17,499.61

43,10:30-10:45,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,5.83,0.000000,24.17,499.86

44,10:45-11:00,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.06,0.000000,24.17,500.09

45,11:00-11:15,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.22,0.000000,24.17,500.25

46,11:15-11:30,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.37,0.000000,24.17,500.4

47,11:30-11:45,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.51,0.000000,24.17,500.54

48,11:45-12:00,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.66,0.000000,24.17,500.69

49,12:00-12:15,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.69,0.000000,24.17,500.72

50,12:15-12:30,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.61,0.000000,24.17,500.64

51,12:30-12:45,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.65,0.000000,24.17,500.68

52,12:45-13:00,6.770000,0.970000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.58,0.000000,24.17,500.61

53,13:00-13:15,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.5,0.000000,24.17,500.44

54,13:15-13:30,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,6.17,0.000000,24.17,500.11

55,13:30-13:45,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,5.86,0.000000,24.17,499.8

56,13:45-14:00,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,5.65,0.000000,24.17,499.59

57,14:00-14:15,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,5.3,0.000000,24.17,499.24

58,14:15-14:30,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,4.97,0.000000,24.17,498.91

59,14:30-14:45,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,4.69,0.000000,24.17,498.63

60,14:45-15:00,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,4.24,0.000000,24.17,498.18

61,15:00-15:15,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,3.8,0.000000,24.17,497.74

62,15:15-15:30,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,3.48,0.000000,24.17,497.42

63,15:30-15:45,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,3.04,0.000000,24.17,496.98

64,15:45-16:00,6.770000,0.970000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,2.58,0.000000,24.17,496.52

65,16:00-16:15,6.770000,0.870000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,2.14,0.000000,0,471.81

66,16:15-16:30,6.770000,0.870000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,1.66,0.000000,0,471.33

67,16:30-16:45,6.770000,0.870000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,1.27,0.000000,0,470.94

68,16:45-17:00,6.770000,0.870000,3.970000,0.000000,20.400000,62.840000,255.480000,0.000000,19.340000,100.000000,0.000000,0.9,0.000000,0,470.57

69,17:00-17:15,6.770000,0.770000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.59,0.000000,0,450.91

70,17:15-17:30,6.770000,0.770000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.34,0.000000,0,450.66

71,17:30-17:45,6.770000,0.770000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0.14,0.000000,0,450.46

72,17:45-18:00,6.770000,0.770000,4.060000,0.000000,20.400000,62.840000,255.480000,0.000000,0.000000,100.000000,0.000000,0,0.000000,0,450.32

73,18:00-18:15,6.770000,0.730000,4.060000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.8

74,18:15-18:30,6.770000,0.730000,4.060000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.8

75,18:30-18:45,6.770000,0.730000,4.060000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.8

76,18:45-19:00,6.770000,0.730000,4.060000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.8

77,19:00-19:15,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

78,19:15-19:30,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

79,19:30-19:45,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

80,19:45-20:00,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

81,20:00-20:15,6.770000,0.730000,4.240000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.98

82,20:15-20:30,6.770000,0.730000,4.240000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.98

83,20:30-20:45,6.770000,0.730000,4.240000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.98

84,20:45-21:00,6.770000,0.730000,4.240000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.98

85,21:00-21:15,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

86,21:15-21:30,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

87,21:30-21:45,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

88,21:45-22:00,6.770000,0.730000,4.160000,0.000000,20.400000,62.840000,0.000000,0.000000,0.000000,0.000000,100.000000,0,100.000000,0,294.9

