Block,Time,CHAMERA1,DULHASTI,MAPS,NLCEXP,RAMPUR,SALAL,SINGRAULI,TALST2,ANTA_LF,FSTPP I & II,KUDGI,NLCTS2EXP,RAPPC,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,ANTA_CRF,DADRI_GF,CHAMERA3,DADRT2,NNTPP,PARBATI3,RIHAND1,ANTA_RF,AURY_LF,DHAULIGNGA,KGSU3AND4,KHSTPP-I,KOTESHWR,NAPP,NLCIIST2,RIHAND2,SASAN,TEHRI,TelanganaSTPP,URI,KKNPPU2,KOLDAM,NLCIIST1,NTPL,TALA,ANTA_GF,AURY_GF,KGSU1AND2,KHSTPP-II,NJPC,RAPPB,RIHAND3,RSTPSU1TO6,UNCHAHAR3,UNCHAHAR4,VALLURNTECL,BRBCL,CHAMERA2,KISHANGANGA,SEWA2,UNCHAHAR1,URI2,AURY_RF,DADRI_CRF,DADRI_LF,DADRI_RF,BSIUL,JHAJJAR,KKNP,SIMHST2,TANAKPUR,TANDA2,AURY_CRF
1,00:00-00:15,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,75,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,46.69,0,5.52,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,26.9,69.5,0,21.92,66.85,0,472.31,0,0,13.06,0,0

2,00:15-00:30,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,84,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,29.87,0,5.52,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,26.9,69.5,0,21.92,66.85,0,472.31,0,0,13.06,0,0

3,00:30-00:45,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,26.9,69.5,0,21.92,66.85,0,472.31,0,0,9.22,0,0

4,00:45-01:00,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,26.9,69.5,0,21.92,66.85,0,472.31,0,0,9.22,0,0

5,01:00-01:15,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,26.9,69.5,0,21.92,66.85,0,472.31,0,0,9.22,0,0

6,01:15-01:30,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,26.9,69.5,0,21.92,66.85,0,472.31,0,0,9.22,0,0

7,01:30-01:45,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.22,0,0

8,01:45-02:00,0,32.96,0,0,0,26.73,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.22,0,0

9,02:00-02:15,0,32.96,0,0,0,79.38,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,13.06,0,0

10,02:15-02:30,0,32.96,0,0,0,79.38,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,13.06,0,0

11,02:30-02:45,0,32.96,0,0,0,79.38,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

12,02:45-03:00,0,32.96,0,0,0,79.38,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

13,03:00-03:15,0,32.96,0,0,0,26.73,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

14,03:15-03:30,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

15,03:30-03:45,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

16,03:45-04:00,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

17,04:00-04:15,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,4.41,0,0,0,0,0,0,0,0,148.3,46.78,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

18,04:15-04:30,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,6.63,0,0,0,0,0,0,0,0,148.3,44.79,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

19,04:30-04:45,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,29.81,0,0,0,0,0,0,0,0,148.3,44.51,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

20,04:45-05:00,0,32.96,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,360,14.93,0,29.81,0,0,0,0,0,0,0,0,148.3,44.51,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

21,05:00-05:15,0,49.43,0,0,0,12.78,138.75,0,0,20.8,0,0,51.9,0,0,0,42.4,0,0,9.68,341.57,0,0,92,42.74,0,9.11,0,45.53,8.87,41.44,0,118.76,339.75,14.93,0,6.63,0,0,0,0,0,0,0,0,148.3,44.51,0,124.32,0,0,0,0,14.06,13.17,0,0,20.56,4.57,69.5,0,21.92,66.85,0,472.31,0,0,9.99,0,0

