Block,Time Block,KUDGI,MAPS,KOTESHWR,KHSTPP-I,FSTPP I & II,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,JHAJJAR,DHAULIGNGA,DULHASTI,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,ANTA_CRF,AURY_CRF,ANTA_RF,ANTA_GF,ANTA_LF,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,DADRT2,BSIUL,URI,TelanganaSTPP,UNCHAHAR2,UNCHAHAR4,TEHRI,UNCHAHAR1,URI2,UNCHAHAR3,VALLURNTECL,NNTPP,RIHAND3,NAPP,NTPL,RAPPC,PARBATI3,NLCEXP,RAPPB,NLCIIST1,RIHAND2,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,TALST2,SIMHST2,TANDA2,RSTPSU7,SALAL,SEWA2,SINGRAULI,TALA,TANAKPUR,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,9.84,42.79,13.81,0,0,143.21,0,0,5.17,2.78,371.09,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,18.24,42.7,40.7,604.75,0,37.31,0,41.01,1.56,32.84,20.24,34.81,26.12,0,0,123.22,43.09,0,58.16,29.86,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.43,2.47,396.54,0,0,0,0,0

2,00:15-00:30,0,0,9.84,42.79,13.81,0,0,143.21,0,0,5.17,2.78,371.09,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,17.95,42.7,40.7,586.61,0,37.31,0,41.01,1.56,32.84,20.24,34.81,26.12,0,0,123.22,43.09,0,58.16,29.86,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.29,2.47,396.54,0,0,0,0,0

3,00:30-00:45,0,0,9.84,42.79,11.71,0,0,142.73,0,0,5.17,2.78,283.19,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,15.74,42.7,40.7,586.61,0,37.31,0,31.08,1.56,32.84,19.95,34.81,20,0,0,123.22,43.09,0,58.16,29.86,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.76,3.72,396.54,0,0,0,0,0

4,00:45-01:00,0,0,9.84,42.79,11.71,0,0,142.73,0,0,5.17,2.78,202.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,15.52,42.7,40.7,586.61,0,37.31,0,31.08,1.56,32.84,17.64,34.81,20,0,0,123.22,43.09,0,58.16,29.86,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.79,10.52,396.54,0,0,0,0,0

5,01:00-01:15,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,13.98,42.7,40.7,586.83,0,37.31,0,31.33,1.56,32.84,15.35,34.81,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.76,10.52,396.54,0,0,0,0,0

6,01:15-01:30,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,13.63,42.7,40.7,586.83,0,37.31,0,31.33,1.56,32.84,15.35,34.81,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.71,10.52,396.54,0,0,0,0,0

7,01:30-01:45,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,11.57,42.7,40.7,529.26,0,37.31,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.51,10.52,396.54,0,0,0,0,0

8,01:45-02:00,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,12.29,42.7,40.7,529.26,0,37.31,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.37,10.52,396.54,0,0,0,0,0

9,02:00-02:15,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,11.99,42.7,40.7,529.26,0,37.31,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,10.36,10.52,396.54,0,0,0,0,0

10,02:15-02:30,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,12.78,42.7,40.7,489.67,0,37.31,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,10.25,10.52,396.54,0,0,0,0,0

11,02:30-02:45,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,119.83,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,12.97,42.7,40.7,403.72,6.3,45.84,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.99,10.52,396.54,0,0,0,0,0

12,02:45-03:00,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,13.46,42.7,40.7,365.12,6.3,45.84,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,80.8,11.18,97.8,9.99,10.52,396.54,0,0,0,0,0

13,03:00-03:15,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,13.79,42.7,40.7,365.12,12.59,37.31,0,31.33,1.56,32.84,15.35,28.55,20,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.99,10.52,396.54,0,0,0,0,0

14,03:15-03:30,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,13.46,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.95,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.99,10.52,396.54,0,0,0,0,0

15,03:30-03:45,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,16.9,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,26.4,14.95,0,0,123.22,43.09,0,58.16,6.79,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.99,10.52,396.54,0,0,0,0,0

16,03:45-04:00,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,18.21,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,26.4,14.95,0,0,123.22,43.09,0,58.16,6.79,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.99,10.52,396.54,0,0,0,0,0

17,04:00-04:15,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,17.88,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.95,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,10.36,9.9,396.54,0,0,0,0,0

18,04:15-04:30,0,0,9.84,42.79,11.22,0,0,142.73,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.95,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,10.36,9.9,396.54,0,0,0,0,0

19,04:30-04:45,0,0,9.84,27.83,8.49,0,0,104.24,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.95,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.99,9.9,396.54,0,0,0,0,0

20,04:45-05:00,0,0,9.84,27.83,8.49,0,0,94.58,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.95,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.82,9.9,396.54,0,0,0,0,0

21,05:00-05:15,0,0,9.84,27.83,8.49,0,0,94.58,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.81,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.54,9.9,396.54,0,0,0,0,0

22,05:15-05:30,0,0,9.84,27.83,8.49,0,0,94.58,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.81,0,0,123.22,43.09,0,58.16,20.36,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,9.25,9.9,396.54,0,0,0,0,0

23,05:30-05:45,0,0,9.84,32.91,8.49,0,0,111.64,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.81,0,0,123.22,43.09,0,58.16,6.79,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,8.86,9.9,396.54,0,0,0,0,0

24,05:45-06:00,0,0,9.84,32.91,8.49,0,0,111.64,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,28.55,14.81,0,0,123.22,43.09,0,58.16,35.29,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,8.63,9.9,396.54,0,0,0,0,0

25,06:00-06:15,0,0,9.84,32.91,10.47,0,0,111.64,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23,1.56,32.84,11.82,34.81,14.95,0,0,123.22,43.09,0,58.16,35.29,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,8.29,9.9,396.54,0,0,0,0,0

26,06:15-06:30,0,0,9.84,32.91,10.47,0,0,111.64,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,34.12,0,23.22,1.56,32.84,11.82,34.81,14.95,0,0,123.22,43.09,0,58.16,35.29,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,8.2,9.9,396.54,0,0,0,0,0

27,06:30-06:45,0,0,9.84,32.91,10.47,0,0,111.64,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,34.81,14.81,0,0,123.22,43.09,0,58.16,35.29,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,8.34,9.9,396.54,0,0,0,0,0

28,06:45-07:00,0,0,9.84,32.91,10.47,0,0,111.64,0,0,5.17,2.78,114.72,39.01,51.95,0,0,0,0,0,0,0,0,0,0,0,0,30.98,19.31,42.7,40.7,365.12,12.59,37.31,0,23.22,1.56,32.84,11.82,31.39,14.81,0,0,123.22,43.09,0,58.16,35.29,0,0,0,117.54,161.37,0,0,3.42,87.43,0,0,0,0,0,2.7,0,77.43,11.18,97.8,8.4,9.9,396.54,0,0,0,0,0

