Column1,Block,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/3428,GNA/WR/2024/10/15/7089,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/2024/23952/A/44724,NR/2024/24060/A/44945,WR/2024/25054/A/44917,GNA/NR/2024/12/01/1599,NR/2024/24097/A/44729,NR/2024/24051/A/44738,NR/2024/24088/A/44731,NR/30092023/26122029/SH-06,NR/2024/24052/A/44737,NR/2024/24178/C,NR/2024/24179/C,NR/2024/24071/A/44736,Total
,,NDMC,PTC,NDMC,DELHI,MANIKARAN,BAWANA_GAS,NDMC,APPCPL,KSEB,NDMC,NDMC,ITCLH,NVVNL,APPCPL,PTC,IEXL,IEXL,IEXL,PUNJAB,IEXL,SJVNL,SJVNL,IEXL,
,,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,KARNATAKA_STATE,TELANGANA_State,KARNATAKA_STATE,DELHI_UT,TELANGANA_State,NA,NA,NA,
,,JPL2,BYPL,RKM_POWER,CHANJUII,BRPL,BAWANA_GAS,SKS_Raigarh,BYPL,BYPL,RKM_POWER,TRN_ENERGY,ITCWIND,JITPL,BRPL,BRPL,NSLSUGARALAND,NSLKSLWPRTY,NSLSTUNGBHDRA,BAWANA_GAS,NSLKSLWPRTY,TPSL_BKN2,RSRPL_BKN,TESPL_BKN2,
,,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,HARYANA_STATE,DELHI_UT,MSEB_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HP,NDMC,TPDDL,AEML,HARYANA,NDMC,AEML,KSEB,NDMC,NDMC,ITCLH,NDMC,GOA_Beneficiary,HP,MES_Delhi,MES_Delhi,MES_Delhi,PUNJAB,MES_Delhi,NDMC,NDMC,MES_Delhi,
,,West-North,North-North,West-North,North-North,North-West,North-North,West-North,North-West,North-West-South,West-North,West-North,South-West-North,East-North,North-West,North-North,South-West-North,South-West-North,South-West-North,North-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.93

2,00:15-00:30,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.93

3,00:30-00:45,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.93

4,00:45-01:00,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.93

5,01:00-01:15,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

6,01:15-01:30,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

7,01:30-01:45,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

8,01:45-02:00,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

9,02:00-02:15,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

10,02:15-02:30,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

11,02:30-02:45,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

12,02:45-03:00,25.9,31.71,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.38,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.88

13,03:00-03:15,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.34,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.92999999999995

14,03:15-03:30,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.34,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.92999999999995

15,03:30-03:45,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.34,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.92999999999995

16,03:45-04:00,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.34,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,359.92999999999995

17,04:00-04:15,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,360.02

18,04:15-04:30,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,360.02

19,04:30-04:45,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,360.02

20,04:45-05:00,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,0.96,0,2.88,0,0,0,360.02

21,05:00-05:15,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,4.8,0,2.88,0,0,0,363.86

22,05:15-05:30,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,7.67,0,4.8,0,2.88,0,0,0,363.86

23,05:30-05:45,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,14.39,2.88,4.8,0,2.88,0,0,0,373.46

24,05:45-06:00,25.9,31.71,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,95.13,14.39,2.88,4.8,0,2.88,0,0,0,373.46

25,06:00-06:15,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.53000000000003

26,06:15-06:30,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.53000000000003

27,06:30-06:45,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.53000000000003

