Column1,Block,WR/2025/26427/A/56173,WR/2025/26582/A/56380,WR/2025/26499/A/56382,WR/2025/26426/A/56172,NR/2025/25485/C,NR/2025/25486/C,NR/2025/25159/A/56111,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/6891,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNARE/NR/2024/12/20/3668,Total
,,KEIPL,APPCPL,APPCPL,KEIPL,SJVNL,SJVNL,ITCLH,NDMC,NDMC,NDMC,NDMC,APPCPL,BAWANA_GAS,PTC,NDMC,PUNJAB,DELHI,PTC,APPCPL,APPCPL,NDMC,TPTCL,SECI_Trader,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,
,,BRPL,BRPL,BRPL,BYPL,TPSL_BKN2,RSRPL_BKN,ITCWIND,RKM_POWER,JIPL,SKS_Raigarh,TRN_ENERGY,BYPL,BAWANA_GAS,BRPL,JPL2,BAWANA_GAS,CHANJUII,BYPL,BRPL,BYPL,RKM_POWER,BYPL,APSEPL_FTG,
,,CSEB_State,CSEB_State,MSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,MSEB_State,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,
,,CSEB_Beneficiary,CSEB_Beneficiary,AEML,CSEB_Beneficiary,NDMC,NDMC,ITCLH,NDMC,NDMC,NDMC,NDMC,KSEB,HARYANA,HP,NDMC,PUNJAB,TPDDL,HP,AEML,AEML,NDMC,TPC_MSEB,TPDDL,
,,North-West,North-West,North-West,North-West,North-North,North-North,South-West-North,West-North,East-North,West-North,West-North,North-West-South,North-North,North-North,West-North,North-North,North-North,North-North,North-West,North-West,West-North,North-West,North-North,
1,00:00-00:15,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,32,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,927.4399999999999

2,00:15-00:30,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,32,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,927.4399999999999

3,00:30-00:45,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,32,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,927.4399999999999

4,00:45-01:00,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,32,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,927.4399999999999

5,01:00-01:15,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,32,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,927.4399999999999

