Block,Time,UNCHAHAR4,UNCHAHAR1,URI,RIHAND1,SINGRAULI_HYDRO,BSIUL,DADRI_GF,ANTA_GF,CHAMERA2,UNCHAHAR3,NAPP,CHAMERA3,KOLDAM,PARBATI3,SEWA2,RIHAND3,RIHAND2,SALAL,DADRI_LF,AURY_CRF,CHAMERA1,RAMPUR,RAPPC,ANTA_LF,TEHRI,DHAULIGNGA,TANDA2,AURY_LF,DADRI_RF,UNCHAHAR2,KISHANGANGA,RAPPB,AURY_GF,SINGRAULI,KHSTPP-II,DULHASTI,NJPC,BRBCL,KOTESHWR,KHSTPP-I,TALA,SASAN,ANTA_RF,FSTPP I & II,DADRI_CRF,JHAJJAR,DADRT2,TANAKPUR,ANTA_CRF,URI2,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,10.533605,39.438744,88.826000,0.646451,12.591665,0.000000,0.000000,0.000000,25.479642,41.349275,0.000000,0.000000,0.000000,15.258808,119.399161,114.049688,2.243822,0.000000,0.000000,0.000000,0.000000,51.704263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.927642,0.000000,0.000000,0.000000,134.332199,140.934807,0.000000,0.000000,19.310005,8.091856,44.407593,0.000000,336.935362,0.000000,8.932613,0.000000,325.783838,410.337500,6.431389,0.000000,20.780650,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,10.533605,39.438744,88.826000,0.646451,12.591665,0.000000,0.000000,0.000000,25.479642,41.349275,0.000000,0.000000,0.000000,15.258808,119.399161,114.049688,12.341021,0.000000,0.000000,0.000000,0.000000,51.704263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.927642,0.000000,0.000000,0.000000,134.503805,140.934807,0.000000,0.000000,17.864866,8.091856,44.407593,0.000000,336.935362,0.000000,8.932613,0.000000,325.783838,410.337500,6.431389,0.000000,20.780650,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,8.803719,33.043272,88.826000,0.646451,12.591665,0.000000,0.000000,0.000000,21.047514,41.349275,0.000000,0.000000,0.000000,15.258808,119.399161,114.049688,76.637740,0.000000,0.000000,0.000000,0.000000,51.704263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.927642,0.000000,0.000000,0.000000,134.503805,140.934807,0.000000,0.000000,18.540641,8.091856,44.407593,0.000000,336.935362,0.000000,8.932613,0.000000,321.511500,362.062500,6.431389,0.000000,31.430733,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,8.803719,33.043272,88.826000,0.646451,12.591665,0.000000,0.000000,0.000000,21.047514,41.349275,0.000000,0.000000,0.000000,15.258808,119.399161,114.049688,76.637740,0.000000,0.000000,0.000000,0.000000,51.704263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.927642,0.000000,0.000000,0.000000,134.503805,140.934807,0.000000,0.000000,16.390279,8.091856,44.407593,0.000000,336.935362,0.000000,8.932613,0.000000,292.546500,362.062500,6.431389,0.000000,31.430733,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,8.803719,33.043272,88.826000,0.646451,12.591665,0.000000,0.000000,0.000000,21.047514,41.349275,0.000000,0.000000,0.000000,15.258808,119.399161,114.049688,76.637740,0.000000,0.000000,0.000000,0.000000,51.704263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.572752,0.000000,0.000000,0.000000,134.503805,140.934807,0.000000,0.000000,16.620815,8.091856,44.407593,0.000000,336.935362,0.000000,7.995692,0.000000,292.546500,362.062500,6.431389,0.000000,31.430733,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,8.803719,33.043272,88.826000,0.646451,12.591665,0.000000,0.000000,0.000000,21.047514,41.349275,0.000000,0.000000,0.000000,15.258808,119.399161,114.049688,76.637740,0.000000,0.000000,0.000000,0.000000,51.704263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.572752,0.000000,0.000000,0.000000,134.503805,140.934807,0.000000,0.000000,16.265732,8.091856,44.407593,0.000000,336.935362,0.000000,7.995692,0.000000,292.546500,362.062500,0.000000,0.000000,31.430733,0.000000,0,0,0,0,0

