Block,Time Block,KGSU1AND2,DHAULIGNGA,FSTPP I & II,CHAMERA2,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,BSIUL,CHAMERA3,TEHRI,TelanganaSTPP,UNCHAHAR1,RIHAND2,TANDA2,SASAN,TALST2,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,TANAKPUR,RSTPSU7,SINGRAULI,SALAL,SEWA2,TALA,RIHAND3,KGSU3AND4,RAPPB,NTPL,PARBATI3,RAMPUR,RAPPC,RIHAND1,NLCTS2EXP,NNTPP,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,NLCEXP,NJPC,NLCIIST1,MAPS,NLCIIST2,NAPP,DADRI_LF,DADRI_GF,DADRI_RF,ANTA_RF,ANTA_CRF,AURY_RF,UNCHAHAR2,URI,AURY_LF,ANTA_LF,VALLURNTECL,UNCHAHAR4,AURY_GF,AURY_CRF,URI2,ANTA_GF,DADRI_CRF,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,8.78,20.05,2.31,14.46,31.77,327.59,0,235.2,0,0,14.39,0,20.09,114.46,0,372.71,0,0,0,0,0,12.59,0,134.62,12.32,0,0,57.85,0,0,0,0,0,50.15,88.67,0,0,0,0,43.88,0,8.55,142.93,0,0,0,41.08,0,0,0,40.25,0,0,0,0,0,0,40.87,2.13,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0

2,00:15-00:30,0,8.78,20.05,2.31,14.46,31.77,327.59,0,235.2,0,0,14.39,0,20.09,114.46,0,385.92,0,0,0,0,0,12.59,0,134.62,12.32,0,0,57.85,0,0,0,0,0,50.15,88.67,0,0,0,0,43.88,0,8.55,142.93,0,0,0,41.08,0,0,0,40.25,0,0,0,0,0,0,40.87,2.13,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0

3,00:30-00:45,0,8.78,20.05,2.31,14.46,31.77,327.59,0,235.2,0,0,14.39,0,20.09,114.46,0,387.63,0,0,0,0,0,8.64,0,134.62,25.76,0,0,57.85,0,0,0,0,0,50.15,88.67,0,0,0,0,43.88,0,8.55,142.93,0,0,0,41.08,0,0,0,40.25,0,0,0,0,0,0,40.87,2.13,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0

4,00:45-01:00,0,8.78,20.05,2.31,14.46,31.77,327.59,0,202.43,0,0,14.39,0,20.09,114.46,0,387.63,0,0,0,0,0,8.64,0,134.62,76.51,0,0,57.85,0,0,0,0,0,50.15,88.67,0,0,0,0,43.88,0,8.55,142.93,0,0,0,41.08,0,0,0,40.25,0,0,0,0,0,0,40.87,2.13,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0

5,01:00-01:15,0,1.27,20.05,2.31,14.46,31.77,327.59,0,202.43,0,0,14.39,0,20.09,114.46,0,387.63,0,0,0,0,0,8.64,0,134.62,76.51,0,0,57.85,0,0,0,0,0,50.15,88.67,0,0,0,0,43.88,0,8.55,142.93,0,0,0,41.08,0,0,0,40.25,0,0,0,0,0,0,40.87,2.13,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0

