Block,Time Block,MAPS,KUDGI,UNCHAHAR1,TelanganaSTPP,UNCHAHAR2,FSTPP I & II,DULHASTI,JHAJJAR,CHAMERA3,DHAULIGNGA,DADRT2,KGSU1AND2,KHSTPP-I,KGSU3AND4,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,NAPP,CHAMERA2,CHAMERA1,VALLURNTECL,URI2,URI,UNCHAHAR4,UNCHAHAR3,TALA,TEHRI,TANDA2,TALST2,TANAKPUR,BSIUL,BRBCL,SASAN,SIMHST1,SINGRAULI_HYDRO,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,RIHAND3,PARBATI3,NLCIIST1,NLCIIST2,RAPPB,NJPC,RIHAND2,NLCTS2EXP,RSTPSU1TO6,RIHAND1,RAMPUR,NNTPP,RAPPC,NTPL,NLCEXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,17.49,0,35.24,19.05,52.12,168.9,31.08,39.14,424.1,0,21.17,0,9.36,95.8,0,0,5.18,4.19,44.05,42.84,40.84,0,34.93,21.39,0,22.4,5.01,34.34,0,0,8.44,12.63,18.48,398.55,0,0,0,0,76.91,17.18,123.78,0,0,0,0,0,0,0,0,0,0,0,0,123.63,17.01,0,0,0,161.9,117.92,0,0,89.71,3.43,0,58.65,0,0,0,0,0,0,0

2,00:15-00:30,0,0,17.49,0,35.54,19.05,52.12,139.83,31.08,39.14,552.82,0,21.17,0,9.36,95.8,0,0,5.18,4.19,44.05,42.84,40.84,0,34.93,21.39,0,22.5,5.01,34.34,0,0,8.44,12.63,17.66,400.04,0,0,0,0,76.91,17.18,123.78,0,0,0,0,0,0,0,0,0,0,0,0,123.63,17.01,0,0,0,161.9,117.92,0,0,89.71,3.43,0,58.65,0,0,0,0,0,0,0

3,00:30-00:45,0,0,15.71,0,30.24,19.05,52.12,111.52,31.08,39.14,585.93,0,25.88,0,9.36,95.8,0,0,5.18,4.19,44.05,42.84,40.84,0,34.93,21.39,0,19.15,5.01,34.34,0,0,8.44,12.63,17.12,400.04,0,0,0,0,76.91,17.18,123.78,0,0,0,0,0,0,0,0,0,0,0,0,123.63,17.01,0,0,0,161.9,117.92,0,0,89.71,3.43,0,58.65,0,0,0,0,0,0,0

4,00:45-01:00,0,0,15.01,0,30.24,19.05,52.12,111.52,31.08,39.14,585.93,0,25.88,0,9.36,95.8,0,0,5.18,4.19,44.05,42.84,40.84,0,34.93,43.86,0,19.42,5.01,34.34,0,0,8.44,12.63,13.09,400.04,0,0,0,0,76.91,17.18,123.78,0,0,0,0,0,0,0,0,0,0,0,0,123.63,17.01,0,0,0,161.9,117.92,0,0,89.71,3.43,0,58.65,0,0,0,0,0,0,0

5,01:00-01:15,0,0,15.01,0,30.24,20.15,52.12,111.52,31.08,39.14,515.69,0,21.17,0,9.36,95.8,0,0,5.18,4.19,44.05,42.84,40.84,0,34.93,43.86,0,19.15,5.01,34.34,0,0,8.44,12.63,15.19,400.04,0,0,0,0,76.91,17.18,123.78,0,0,0,0,0,0,0,0,0,0,0,0,123.63,17.01,0,0,0,161.9,117.92,0,0,89.71,3.43,0,58.65,0,0,0,0,0,0,0

