Column1,Block,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,NR/2024/24052/A/46153,NR/2024/24051/A/46154,NR/2024/24146/A/46143,NR/2024/23952/A/46156,NR/2024/24097/A/46147,GNA/NR/2024/12/01/1899,NR/2024/24088/A/46149,NR/2024/24389/C,NR/2024/24388/C,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NER/2024/2770/A/46353,NR/2024/24060/A/46384,WR/2024/25054/A/46357,NR/2024/24390/C,NR/2024/24225/A/46327,NR/2024/24387/C,NR/2024/24227/A/46329,NR/2024/24224/A/46313,NR/2024/24071/A/46152,Total
,,NDMC,PTC,NDMC,BAWANA_GAS,NDMC,KSEB,PTC,DELHI,NDMC,IEXL,IEXL,IEXL,ITCLH,IEXL,NDMC,IEXL,SJVNL,SJVNL,MANIKARAN,APPCPL,PUNJAB,APPCPL,NVVNL,APPCPL,SJVNL,OIDLWM2_AEROCITY,SJVNL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,IEXL,
,,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,TELANGANA_State,TELANGANA_State,MP_State,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,
,,JPL2,BYPL,SKS_Raigarh,BAWANA_GAS,RKM_POWER,BYPL,BRPL,CHANJUII,RKM_POWER,NSLKSLWPRTY,NSLKSLWPRTY,NSPLN_MP,ITCWIND,NSLSUGARALAND,TRN_ENERGY,NSLSTUNGBHDRA,RENUKASUGARSATHANI,RENUKASUGARSMUNOLI,BRPL,BYPL,BAWANA_GAS,BYPL,JITPL,BRPL,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,
,,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,KERALA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,PUNJAB_STATE,Manipur_State,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HP,NDMC,HARYANA,NDMC,KSEB,HP,TPDDL,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,ITCLH,MES_Delhi,NDMC,MES_Delhi,NDMC,NDMC,AEML,AEML,PUNJAB,Manipur_Ben,NDMC,GOA_Beneficiary,NDMC,OIDLWM2_AEROCITY,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,
,,West-North,North-North,West-North,North-North,West-North,North-West-South,North-North,North-North,West-North,South-West-North,South-West-North,West-North,South-West-North,South-West-North,West-North,South-West-North,South-West-North,South-West-North,North-West,North-West,North-North,North-East-North East,East-North,North-West,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7699999999999

2,00:15-00:30,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7699999999999

