Block,Time,NR/16122023/22122023/HP-16,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/21122023/21122023/SJVN211223NR1305,NR/21122023/21122023/SJVN211223NR1306,NR/01102023/15082037/GNA_NR_2012_01,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00502,L_NR_2019_19,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09,NR/30092023/31122025/SH-07,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25122043/GNA_MEJA_DELHI,NR/20122023/29022024/IEX_LDC_231218_00501,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/21122023/21122023/DD20231221NR21861,NR/16122023/22122023/HP-20,NR/01102023/22052037/LT-59,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_02,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,133.760000,14.410000,55.340000,148.550000,11.92,0,0,0,0,0.000000,23.050000,35.77,0,11.73,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,36.17,25.920000,96.040000,48.02,11.92,0,24.86,36.17,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

2,00:15-00:30,133.760000,14.410000,55.340000,148.550000,11.78,0,0,0,0,0.000000,23.050000,35.39,0,11.03,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,35.22,25.920000,96.040000,48.02,11.8,0,24.94,35.22,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

3,00:30-00:45,133.760000,14.410000,55.340000,148.550000,11.62,0,0,0,0,0.000000,23.050000,34.87,0,10.43,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,34.27,25.920000,96.040000,48.02,11.62,0,24.98,34.27,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

4,00:45-01:00,133.760000,14.410000,55.340000,148.550000,11.55,0,0,0,0,0.000000,23.050000,34.65,0,9.89,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,33.31,25.920000,96.040000,48.02,11.55,0,25.01,33.31,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

5,01:00-01:15,133.760000,14.410000,31.690000,148.550000,11.32,0,0,0,0,0.000000,23.050000,33.97,0,9.3,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,32.36,25.920000,96.040000,48.02,11.32,0,28.43,32.36,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

6,01:15-01:30,133.760000,14.410000,31.690000,148.550000,10.97,0,0,0,0,0.000000,23.050000,32.91,0,8.73,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,31.41,25.920000,96.040000,48.02,10.97,0,28.54,31.41,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

