Block,Time,TALA,SASAN,CHAMERA3,BRBCL,FSTPP I & II,KHSTPP-II,KUDGI,KHSTPP-I,AURY_RF,JHAJJAR,KOLDAM,AURY_CRF,SINGRAULI_HYDRO,AURY_LF,KISHANGANGA,ANTA_CRF,TANDA2,SEWA2,DADRT2,RIHAND1,ANTA_LF,DULHASTI,UNCHAHAR4,BSIUL,RIHAND2,SALAL,URI2,DADRI_LF,UNCHAHAR3,TANAKPUR,RIHAND3,TEHRI,ANTA_RF,RAPPB,DADRI_RF,NJPC,URI,UNCHAHAR2,NAPP,KOTESHWR,CHAMERA1,AURY_GF,ANTA_GF,RAMPUR,CHAMERA2,UNCHAHAR1,DHAULIGNGA,DADRI_CRF,PARBATI3,DADRI_GF,RAPPC,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,404.615574,0.000000,16.398772,17.527191,95.016108,61.84,43.691564,0.000000,339.136200,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,313.515668,88.890400,0.000000,15.921867,0.000000,0.000000,114.132375,1.684087,9.098126,0.000000,7.729600,3.713107,119.485727,0.000000,0.000000,0.000000,0.000000,0.000000,4.266739,27.040186,0.000000,8.574059,0.000000,0.000000,0.000000,0.000000,0.000000,5.797200,0.000000,0.000000,0.000000,0.000000,49.657366,131.873313,0,0,0,0,0

2,00:15-00:30,0.000000,404.615574,0.000000,19.289631,17.527191,95.016108,61.69,43.691564,0.000000,339.136200,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,289.360668,88.890400,0.000000,15.921867,0.000000,0.000000,114.132375,1.684087,9.098126,0.000000,7.729600,3.713107,119.485727,0.000000,0.000000,0.000000,0.000000,0.000000,4.266739,25.126321,0.000000,8.574059,0.000000,0.000000,0.000000,0.000000,0.000000,5.797200,0.000000,0.000000,0.000000,0.000000,49.657366,131.886300,0,0,0,0,0

3,00:30-00:45,0.000000,404.615574,0.000000,19.324022,14.941897,95.016108,57.97,43.691564,0.000000,339.136200,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,284.839432,88.890400,0.000000,15.921867,0.000000,0.000000,114.132375,1.684087,23.915073,0.000000,7.729600,3.713107,119.485727,0.000000,0.000000,0.000000,0.000000,0.000000,4.266739,16.865721,0.000000,8.574059,0.000000,0.000000,0.000000,0.000000,0.000000,5.797200,0.000000,0.000000,0.000000,0.000000,49.657366,131.886300,0,0,0,0,0

4,00:45-01:00,0.000000,404.615574,0.000000,18.659036,14.941897,95.016108,56.04,43.691564,0.000000,339.136200,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,289.360668,88.890400,0.000000,15.921867,0.000000,0.000000,114.132375,1.684087,23.915073,0.000000,7.729600,4.950809,119.485727,0.000000,0.000000,0.000000,0.000000,0.000000,4.266739,20.062701,0.000000,8.574059,0.000000,0.000000,0.000000,0.000000,0.000000,5.797200,0.000000,0.000000,0.000000,0.000000,49.657366,131.886300,0,0,0,0,0

5,01:00-01:15,0.000000,404.615574,0.000000,18.907725,8.796865,95.016108,56.04,37.424887,0.000000,339.136200,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,260.064904,88.890400,0.000000,15.921867,0.000000,0.000000,114.132375,1.684087,23.915073,0.000000,7.729600,11.519294,119.485727,0.000000,0.000000,0.000000,0.000000,0.000000,4.266739,12.560600,0.000000,8.574059,0.000000,0.000000,0.000000,0.000000,0.000000,5.797200,0.000000,0.000000,0.000000,0.000000,49.657366,131.886300,0,0,0,0,0

