Block,Time,NAPP,NLCTS2EXP,NNTPP,SINGRAULI,UNCHAHAR2,URI,CHAMERA1,DADRT2,MAPS,RAPPB,RAPPC,RIHAND1,RSTPSU1TO6,SIMHST2,TANDA2,TelanganaSTPP,ANTA_CRF,ANTA_LF,AURY_CRF,AURY_RF,DADRI_CRF,DADRI_LF,CHAMERA2,CHAMERA3,NLCEXP,PARBATI3,SEWA2,TEHRI,URI2,VALLURNTECL,AURY_LF,DULHASTI,JHAJJAR,KHSTPP-I,KHSTPP-II,KKNPPU2,PARBATI2,DADRI_GF,DADRI_RF,BSIUL,KGSU3AND4,KISHANGANGA,KOTESHWR,NTPL,SINGRAULI_HYDRO,TALST2,ANTA_RF,AURY_GF,FSTPP I & II,KOLDAM,KUDGI,NLCIIST1,NLCIIST2,RIHAND2,SIMHST1,TALA,TANAKPUR,UNCHAHAR3,UNCHAHAR4,DHAULIGNGA,KGSU1AND2,KKNP,RAMPUR,RIHAND3,RSTPSU7,SALAL,UNCHAHAR1,BRBCL,NJPC,SASAN,ANTA_GF
1,00:00-00:15,51.86,0,0,135.85,43.87,35.88,0,681.75,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,26.11,39.63,0,0,19.81,528.21,45.83,148.3,0,0,0,74.38,6.52,0,5.63,10.41,0,0.94,0,53.44,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,70.88,21.33,20,0,418.77,0

2,00:15-00:30,51.86,0,0,135.85,43.87,35.88,0,681.75,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,13.06,39.63,0,0,19.81,528.21,45.83,148.3,0,0,0,74.38,6.52,0,5.63,10.41,0,0.94,0,53.44,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,70.88,21.33,20,0,418.77,0

3,00:30-00:45,51.86,0,0,135.85,43.87,35.88,0,682.05,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,0,39.63,0,0,19.81,528.21,45.83,148.3,0,0,0,74.38,6.52,0,5.63,10.41,0,0.94,0,53.44,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,70.88,21.33,20,0,418.77,0

4,00:45-01:00,51.86,0,0,135.85,43.87,35.88,0,682.05,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,0,39.63,0,0,19.81,528.21,45.83,148.3,0,0,0,74.38,6.52,0,5.63,10.41,0,0.94,0,53.44,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,70.88,21.33,20,0,418.77,0

5,01:00-01:15,51.86,0,0,135.85,43.87,35.88,0,682.05,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,0,39.63,0,0,19.81,528.21,45.83,148.3,0,0,0,74.38,6.52,0,8.45,10.41,0,0.94,0,53.44,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,70.88,21.33,20,0,418.77,0

6,01:15-01:30,51.86,0,0,135.85,43.87,35.88,0,682.05,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,0,39.63,0,0,19.81,528.21,45.83,148.3,0,0,0,74.38,6.52,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,70.88,21.33,20,0,418.77,0

7,01:30-01:45,51.86,0,0,135.85,43.87,35.88,0,682.05,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,11.65,0,0,0,0,39.63,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,418.77,0

8,01:45-02:00,51.86,0,0,135.85,43.87,35.88,0,682.05,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,0,0,0,0,0,39.63,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,418.77,0

9,02:00-02:15,51.86,0,0,135.85,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,0,0,0,0,0,39.63,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,418.77,0

10,02:15-02:30,51.86,0,0,135.85,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,0,0,0,0,0,39.63,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,418.77,0

11,02:30-02:45,51.86,0,0,135.85,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,0,0,0,0,0,39.63,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

12,02:45-03:00,51.86,0,0,135.85,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,16.25,0,0,0,0,0,39.63,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.7,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

13,03:00-03:15,51.86,0,0,135.85,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,0,0,0,0,0,0,38.05,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,53.97,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

14,03:15-03:30,51.86,0,0,135.85,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,0,0,0,0,0,0,38.05,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,54.37,0,13.9,0,0,0,0,123.03,0,0,6.27,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

15,03:30-03:45,51.86,0,0,142.75,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,0,0,0,0,0,0,38.05,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,54.37,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

16,03:45-04:00,51.86,0,0,143.25,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,0,0,0,0,0,13.06,38.05,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,13.04,0,8.45,10.41,0,0.94,0,54.37,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

17,04:00-04:15,51.86,0,0,143.25,43.87,35.88,0,688.87,0,0,69.1,95.98,0,0,5.65,0,0,0,0,85.35,0,0,0,0,0,0,0,13.06,38.05,0,0,19.81,532.51,45.83,148.3,0,0,0,74.38,19.56,0,8.45,10.41,0,0.94,0,54.37,0,13.9,0,0,0,0,123.03,0,0,0,27.17,1.88,0,0,0,0,129.05,0,26.73,21.33,20,0,346.5,0

