Time,Block,NR/2023/16127/C,NR/2023/16123/C,NR/2023/12053/A,NR/2023/16129/C,NR/2023/16114/C,NR/2023/16120/C,NR/2023/14746/A,NR/2023/15937/F,NR/2023/16106/D,NR/2023/16118/C,NR/2023/16117/C,NR/2023/15309/F,NR/2023/14745/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12591/A,NR/2023/12168/A,NR/2023/14737/A,NR/2023/12052/A,NR/2023/12347/A,ER/2023/10044/C,NR/2023/12592/A,NR/2023/16119/C,NR/2023/12148/A,NR/2023/16126/C,NR/2023/16121/C,NR/2023/12422/A,NR/2023/14895/A,NR/2023/12167/A,NR/2023/16108/C,NR/2023/12431/A,NR/2023/13862/A,NR/2023/15057/F,NR/2023/15402/F,NR/2023/16101/D,NR/2023/16122/C,Total
,,IEXL,IEXL,KEIPL,HPXL,TPDDL,SJVNL,APPCPL,NVVNL,KEIPL,HPXL,SJVNL,IEXL,APPCPL,NVVNL,MANIKARAN,NVVNL,APPCPL,NVVNL,KEIPL,STATKRAFT,HPXL,NVVNL,HPXL,GMRETL,IEXL,HPXL,APPCPL,MANIKARAN,APPCPL,GBHHPL,TPTCL,MANIKARAN,ITCLH,SJVNL,NVVNL,SJVNL,Total

,,NA,NA,MEGHALAYA,DELHI,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,NA,JAMMU AND KASHMIR,GOA,NA,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,MEGHALAYA,TAMIL NADU,DELHI,NA,NA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,TAMIL NADU,ANDHRA PRADESH,UTTAR PRADESH,NA,NA,
,,ADHPL,MCCPL,Meghalaya_Ben,BYPL,CHANJUII,SHIVSHAKTISUGAR,HP,KAMENG,LAPL-UP,SEILP2,DIKCHU,SAPU1234,GOA_Beneficiary,KAMENG,HP,JPNIGRIE_JNSTPP,UTTARAKHAND,SKS Raigarh,Meghalaya_Ben,TANGEDCO,BYPL,JPNIGRIE_JNSTPP,SEIL,Meghalaya_Ben,DIKCHU,Teesta_III,HP,HP,Meghalaya_Ben,GBHHPL,JPL-2,TANGEDCO,ITCWIND,BCMLB001,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BYPL,NPCL(UP),TPDDL,NDMC,BRPL,TPDDL,BYPL,BRPL,NDMC,MES (Delhi),BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,BYPL,BYPL,VLSEZ,BRPL,BRPL,BYPL,BRPL,BRPL,BYPL,BRPL,BYPL,DIAPL,BRPL,BRPL,ITCLH,NDMC,MES (Delhi),NDMC,
,,North-North,West-East-North,North East-East-North,North-North,North-North,South-West-North,North-North,North East-East-North,North-North,South-East-North,East-North,North-North,West-North,North East-East-North,North-North,West-North,North-North,West-North,North East-East-North,South-West-North,North-East,West-North,South-East-North,North East-East-North,East-North,East-North,North-North,North-North,North East-East-North,North-North,West-North,South-East-North,South-West-North,North-North,West-North,North-North,
1,00:00-00:15,0.000000,38.600000,36.410000,20.000000,17.830000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1339.51

2,00:15-00:30,0.000000,38.600000,36.410000,20.000000,17.830000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1339.51

3,00:30-00:45,0.000000,38.600000,36.410000,20.000000,17.830000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1339.51

4,00:45-01:00,0.000000,38.600000,36.410000,20.000000,17.830000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1339.51

5,01:00-01:15,0.000000,38.600000,36.410000,40.000000,17.740000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.680000,0.000000,0,0,1359.23

