Block,Time Block,BRBCL,KHSTPP-I,KGSU1AND2,KOTESHWR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,FSTPP I & II,DADRT2,CHAMERA2,DULHASTI,JHAJJAR,CHAMERA1,BSIUL,CHAMERA3,DHAULIGNGA,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,TEHRIPSP,TALA,TEHRI,TelanganaSTPP,SASAN,TANDA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,TALST2,SINGRAULI,TANAKPUR,SALAL,SEWA2,AURY_CRF,URI2,UNCHAHAR3,ANTA_CRF,ANTA_RF,AURY_LF,UNCHAHAR2,URI,ANTA_LF,AURY_RF,AURY_GF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,ANTA_GF,RAPPC,RIHAND2,NTPL,PARBATI3,RSTPSU1TO6,PARBATI2,RIHAND1,RSTPSU7,RAPPB,RAPPD,RAMPUR,RIHAND3,NAPP,NNTPP,KUDGI,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.32,43.76,0,38.99,0,93.75,0,0,8.28,6.69,18.03,558.61,45.29,53.23,445.7,40.51,18.8,32.62,40.81,0,0,0,0,0,25.57,62.84,0,256.25,2.93,0,0,0,0,72.02,12.55,67.01,11.74,0,35.96,25.95,0,0,0,41.91,50.93,0,0,0,20.4,0,1.7,0,62.57,119.97,0,40,0,12.17,94.27,0,0,22.94,5.48,125.75,23.05,0,0,0,0,0,168.95,0,0,0,0,0,0,0

2,00:15-00:30,14.7,43.76,0,38.99,0,93.75,0,0,8.28,6.69,18.03,558.61,45.29,53.23,443.78,40.51,18.8,32.62,40.81,0,0,0,0,0,25.57,62.84,0,256.25,2.93,0,0,0,0,72.02,12.55,67.01,11.74,0,35.96,25.95,0,0,0,41.91,50.93,0,0,0,20.4,0,1.7,0,62.57,119.97,0,40,0,12.17,94.27,0,0,22.94,5.48,125.75,23.05,0,0,0,0,0,168.95,0,0,0,0,0,0,0

3,00:30-00:45,11.76,43.76,0,38.99,0,93.75,0,0,8.28,6.69,18.03,558.61,45.29,53.23,442.82,40.51,18.8,32.62,40.81,0,0,0,0,0,25.42,62.84,0,256.25,2.93,0,0,0,0,72.02,12.55,67.01,11.74,0,29.21,25.95,0,0,0,41.91,50.93,0,0,0,20.4,0,1.7,0,62.57,119.97,0,47.15,0,12.17,94.27,0,0,22.94,5.48,125.75,23.05,0,0,0,0,0,168.95,0,0,0,0,0,0,0

4,00:45-01:00,12.38,43.76,0,38.99,0,93.75,0,0,8.28,6.69,18.03,558.61,45.29,53.23,442.82,40.51,18.8,32.62,40.81,0,0,0,0,0,25.42,62.84,0,256.25,2.93,0,0,0,0,72.02,12.55,67.01,11.74,0,29.21,25.95,0,0,0,41.91,46.68,0,0,0,20.4,0,1.7,0,62.57,119.97,0,47.15,0,12.17,94.27,0,0,22.94,5.48,125.75,23.05,0,0,0,0,0,168.95,0,0,0,0,0,0,0

5,01:00-01:15,10.72,43.76,0,38.99,0,93.75,0,0,8.28,6.69,18.03,521.88,45.29,53.23,391.88,40.51,18.8,32.62,40.81,0,0,0,0,0,25.42,62.84,0,256.25,2.93,0,0,0,0,72.02,12.55,67.01,11.74,0,35.96,25.95,0,0,0,41.91,46.68,0,0,0,20.4,0,1.7,0,62.57,119.97,0,37.15,0,12.17,94.27,0,0,22.94,5.48,125.75,23.05,0,0,0,0,0,168.95,0,0,0,0,0,0,0

