Time,Block,NR/2023/17125/C,NR/2023/13148/A,NR/2023/16865/F,NR/2023/13385/A,NR/2023/16291/F,NR/2023/16191/A,NR/2023/17122/C,NR/2023/17120/C,NR/2023/13242/A,NR/2023/17127/C,NR/2023/16073/A,NR/2023/13254/A,NR/2023/17130/C,NR/2023/13253/A,NR/2023/13150/A,ER/2023/10920/C,NR/2023/13387/A,NR/2023/16185/A,ER/2023/10921/C,NR/2023/16993/F,NR/2023/15770/A,NR/2023/16077/A,NR/2023/17118/D,NR/2023/13383/A,NR/2023/13165/A,Total
,,HPXL,KEIPL,SJVNL,NVVNL,ITCLH,MANIKARAN,TPDDL,GBHHPL,APPCPL,IEXL,APPCPL,APPCPL,SJVNL,APPCPL,KEIPL,IEXL,NVVNL,MANIKARAN,IEXL,NVVNL,NVVNL,APPCPL,NVVNL,APPCPL,GMRETL,Total

,,NA,MEGHALAYA,UTTAR PRADESH,MP,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,SIKKIM,NA,GOA,MEGHALAYA,NA,UTTARAKHAND,MEGHALAYA,DELHI,NA,HIMACHAL PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,
,,Teesta_III,Meghalaya_Ben,BCMLB001,JP BINA,ITCWIND,HP,CHANJUII,GBHHPL,SIKKIM,RKM_POWER,GOA_Beneficiary,Meghalaya_Ben,RSRPL_BKN,UTTARAKHAND,Meghalaya_Ben,BYPL,JPNIGRIE_JNSTPP,HP,BYPL,KAMENG,SKS Raigarh,HP,SOLAPUR_SOLAR,HP,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,NDMC,BRPL,ITCLH,BRPL,TPDDL,DIAPL,BYPL,BRPL,BRPL,BYPL,NDMC,BYPL,BYPL,VLSEZ,BRPL,BRPL,IPCL_WB,TPDDL,NDMC,BRPL,MES (Delhi),BYPL,BYPL,
,,East-North,North East-East-North,North-North,West-North,South-West-North,North-North,North-North,North-North,East-North,West-East-North,West-North,North East-East-North,North-North,North-North,North East-East-North,North-East,West-North,North-North,North-East,North East-East-North,West-North,North-North,West-North,North-North,North East-East-North,
1,00:00-00:15,156.200000,36.610000,0.000000,50.210000,0.870000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1188.02

2,00:15-00:30,120.300000,36.610000,0.000000,50.210000,0.870000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1152.12

3,00:30-00:45,109.630000,36.610000,0.000000,50.210000,0.870000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1141.45

4,00:45-01:00,87.320000,36.610000,0.000000,50.210000,0.870000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1119.14

5,01:00-01:15,67.910000,36.610000,0.000000,50.210000,0.630000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,154.950000,29.110000,118.850000,0,50.940000,22.310000,1123.22

6,01:15-01:30,43.660000,36.610000,0.000000,50.210000,0.630000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,154.950000,29.110000,118.850000,0,50.940000,22.310000,1098.97

7,01:30-01:45,16.490000,36.610000,0.000000,50.210000,0.630000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,154.950000,29.110000,118.850000,0,50.940000,22.310000,1071.8

8,01:45-02:00,0.000000,36.610000,0.000000,50.210000,0.630000,78.590000,8.890000,6.050000,29.690000,145.530000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,154.950000,29.110000,118.850000,0,50.940000,22.310000,1055.31

9,02:00-02:15,111.570000,36.610000,0.000000,50.210000,0.630000,78.590000,8.800000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1025.53

10,02:15-02:30,81.500000,36.610000,0.000000,50.210000,0.630000,78.590000,8.800000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,995.46

11,02:30-02:45,62.090000,36.610000,0.000000,50.210000,0.630000,78.590000,8.800000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,976.05

12,02:45-03:00,42.690000,36.610000,0.000000,50.210000,0.630000,78.590000,8.800000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,956.65

13,03:00-03:15,26.200000,0.000000,0.000000,50.210000,0.630000,78.590000,8.700000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,903.45

14,03:15-03:30,0.000000,0.000000,0.000000,50.210000,0.630000,78.590000,8.700000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.25

15,03:30-03:45,0.000000,0.000000,0.000000,50.210000,0.630000,78.590000,8.700000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.25

16,03:45-04:00,0.000000,0.000000,0.000000,50.210000,0.630000,78.590000,8.700000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.25

17,04:00-04:15,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.620000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.12

18,04:15-04:30,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.620000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.12

19,04:30-04:45,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.620000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.12

20,04:45-05:00,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.620000,6.050000,29.690000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,877.12

21,05:00-05:15,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,847.33

22,05:15-05:30,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,847.33

23,05:30-05:45,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,847.33

24,05:45-06:00,0.000000,0.000000,0.000000,50.210000,0.580000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,847.33

25,06:00-06:15,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,677.55

