Column1,Block,NR/2024/22279/A/34063,NR/2024/21956/A/34385,NR/2024/21814/A/34389,NR/2024/22498/A/34454,NR/2024/21938/A/34353,NR/2024/21943/A/34380,NR/2024/22010/A/34451,NR/2024/21918/A/34444,NR/2024/21961/A/34355,NR/2024/22042/A/34068,NR/2024/21954/A/34381,NR/2024/22623/A/34121,NR/2024/21940/A/34382,NR/2024/22014/A/34070,NR/2024/22611/A/34125,NR/2024/22793/C,NR/2024/22610/A/34123,NR/01102023/02012046/L_NR_2021_17,NR/2024/21658/A/34039,NR/2024/21983/A/34100,NR/2024/21970/A/34386,NR/2024/22787/C,NR/2024/21911/A/34331,NR/2024/21974/A/34388,NR/2024/21860/A/34327,NR/2024/21971/A/34387,NR/2024/21966/A/34115,NR/2024/21933/A/34101,NR/2024/21968/A/34384,NR/2024/22791/C,NR/2024/22792/C,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/jitpl,NR/30092023/31122025/SH-07,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/14082046/L_NR_2021_16,Total
,,IEXL,APPCPL,NVVNL,MANIKARAN,PTC,APPCPL,MANIKARAN,MANIKARAN,PTC,IEXL,APPCPL,DIAPL,APPCPL,IEXL,SJVNL,NVVNL,SJVNL,SECI_Trader,ITCLH,TPTCL,NVVNL,TPDDL,AEL,NVVNL,TPDDL,NVVNL,INSTINCT,TPTCL,NVVNL,NVVNL,NVVNL,APL_Raigarh_TPP,DELHI,TPTCL,DELHI,DELHI,PUNJAB,INSTINCT,TPTCL,APPCPL,JITPL,BAWANA_GAS,MANIKARAN,SECI_Trader,
,,KARNATAKA_STATE,KERALA_State,NA,MP_State,HIMACHAL_STATE,MSEB_State,GOA_State,MSEB_State,HIMACHAL_STATE,MSEB_State,Manipur_State,HIMACHAL_STATE,UTTARAKHAND_STATE,HIMACHAL_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,MSEB_State,DELHI_UT,NA,NA,Arunachal_State,NA,DELHI_UT,MP_State,NA,
,,NSLSUGAR,KSEB,JPNIGRIE_JNSTPP,BLAPOWER_MP,HP,AEML,GOA_Beneficiary,AEML,HP,A_A_Energy_MH_Bio,Manipur_Ben,GBHHPL,UTTARAKHAND,NHCPL_HP,TPSL_BKN2,SOLAPUR_SOLAR,RSRPL_BKN,SBSRPC11PL_BKN,ITCWIND,SIMHAPURI,TRN_ENERGY,JHAJJAR,APL_Raigarh_TPP,RKM_POWER,JPL2,RKM_POWER,JPL2,ACBIL,JPL2,Kameng,SORANG_HEP,APL_Raigarh_TPP,CHANJUII,SIMHAPURI,SKS_Raigarh,MSEB_Beneficiary,BAWANA_GAS,JPL2,ACBIL,Arunachal_Ben,JITPL,BAWANA_GAS,BLAPOWER_MP,SBSRPC11PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,MES_Delhi,BYPL,TPDDL,BRPL,BYPL,BRPL,BRPL,BYPL,BRPL,MES_Delhi,BRPL,DIAPL,BYPL,MES_Delhi,NDMC,MES_Delhi,NDMC,BYPL,ITCLH,BRPL,NDMC,TPDDL,BRPL,NDMC,TPDDL,NDMC,BRPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,BRPL,NDMC,TPDDL,PUNJAB,BRPL,BRPL,BRPL,NDMC,HARYANA,BRPL,TPDDL,
,,South-East-West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,South-West-North,South-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,East-North,North-North,West-North,North-North,
1,00:00-00:15,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.7408

2,00:15-00:30,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.7408

3,00:30-00:45,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.7408

4,00:45-01:00,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.7408

5,01:00-01:15,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.6908

6,01:15-01:30,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.6908

7,01:30-01:45,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.6908

8,01:45-02:00,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1559.6908

9,02:00-02:15,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1562.0108

10,02:15-02:30,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1562.0108

11,02:30-02:45,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1562.0108

12,02:45-03:00,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,1562.0108

13,03:00-03:15,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1522.3208

14,03:15-03:30,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1522.3208

15,03:30-03:45,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1522.3208

16,03:45-04:00,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.58,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1522.3208

17,04:00-04:15,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1518.1108

18,04:15-04:30,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1518.1108

19,04:30-04:45,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1518.1108

20,04:45-05:00,4.84,67.82,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1518.1108

21,05:00-05:15,4.84,24.22,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1474.5107999999998

22,05:15-05:30,4.84,24.22,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1474.5107999999998

23,05:30-05:45,4.84,24.22,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,8.72,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1474.5107999999998

24,05:45-06:00,4.84,24.22,48.44,0,32.7,38.76,11.76,91.08,98.1,3.88,24.14,7.75,84.47,1.94,0,0,0,0,0.53,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1473.5407999999998

25,06:00-06:15,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1342.8407999999997

26,06:15-06:30,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1342.8407999999997

27,06:30-06:45,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1342.8407999999997

28,06:45-07:00,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0.16,0,0,0.63,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1343.0007999999998

29,07:00-07:15,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0.59,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.39,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1347.2307999999998

30,07:15-07:30,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0.88,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.39,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1347.5207999999998

