Block,Time,DHAULIGNGA,PARBATI3,SEWA2,SINGRAULI_HYDRO,ANTA_GF,AURY_LF,CHAMERA1,KGSU1AND2,KGSU3AND4,KHSTPP-I,NAPP,RIHAND1,RIHAND3,SIMHST2,TALST2,TEHRI,AURY_CRF,AURY_RF,BSIUL,JHAJJAR,RSTPSU1TO6,SIMHST1,UNCHAHAR1,KOTESHWR,RSTPSU7,SASAN,TelanganaSTPP,UNCHAHAR2,UNCHAHAR4,VALLURNTECL,ANTA_CRF,ANTA_LF,DADRI_CRF,NLCEXP,NLCIIST1,NLCTS2EXP,NNTPP,CHAMERA3,DADRT2,DULHASTI,KKNPPU2,KUDGI,NJPC,RAPPB,UNCHAHAR3,DADRI_GF,DADRI_LF,KHSTPP-II,KISHANGANGA,KKNP,NLCIIST2,RAPPC,TANDA2,URI,ANTA_RF,AURY_GF,DADRI_RF,BRBCL,CHAMERA2,FSTPP I & II,KOLDAM,MAPS,NTPL,RAMPUR,RIHAND2,SALAL,SINGRAULI,TALA,TANAKPUR,URI2
1,00:00-00:15,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,14.12,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,36.43,0,0,0,20,1.87,20.8,0,0,0,0,118.76,12.78,139.68,0,10.25,18.83

2,00:15-00:30,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,14.12,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,36.43,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,10.25,18.83

3,00:30-00:45,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,14.12,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,2.76,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.2,18.83

4,00:45-01:00,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,14.12,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.2,18.83

5,01:00-01:15,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.2,18.83

6,01:15-01:30,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.2,18.83

7,01:30-01:45,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.2,4.57

8,01:45-02:00,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.05,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.2,4.57

9,02:00-02:15,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.26,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,10.25,4.57

10,02:15-02:30,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.26,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,10.25,4.57

11,02:30-02:45,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.26,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.45,4.57

12,02:45-03:00,0,0,0,0,0,0,0,0,0,45.22,42.93,92,124.32,0,0,0,70.59,0,0,654.31,0,0,20.56,8.87,0,418.77,0,21.19,0,0,43.26,0,66.85,0,0,0,0,0,683.14,3.85,0,0,0,0,26.39,0,22.47,98.87,0,0,0,53.17,0,1.66,0,0,0,20,1.87,20.8,0,0,0,0,118.76,1.4,139.68,0,3.45,4.57

