Block,Time,SINGRAULI_HYDRO,DADRT2,TANAKPUR,RAPPC,URI2,CHAMERA1,BSIUL,SALAL,AURY_CRF,RAPPB,NAPP,UNCHAHAR3,AURY_LF,DADRI_LF,KOTESHWR,UNCHAHAR2,KOLDAM,SEWA2,CHAMERA3,RIHAND1,TANDA2,DADRI_CRF,URI,BRBCL,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,SASAN,PARBATI3,RIHAND2,KISHANGANGA,AURY_GF,JHAJJAR,ANTA_CRF,ANTA_GF,RAMPUR,NJPC,DADRI_RF,AURY_RF,ANTA_LF,SINGRAULI,TEHRI,UNCHAHAR1,DHAULIGNGA,DADRI_GF,ANTA_RF,CHAMERA2,RIHAND3,DULHASTI,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.773330,398.223180,0.123296,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,19.337106,0.000000,0.000000,8.541225,30.576411,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,16.951896,104.605270,31.039566,15.019428,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,235.623272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,15.749676,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

2,00:15-00:30,0.773330,362.062055,0.123296,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,19.337106,0.000000,0.000000,8.541225,30.576411,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,15.739512,104.605270,31.039566,15.019428,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,235.623272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,15.749676,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

3,00:30-00:45,0.773330,360.090500,0.123296,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,19.337106,0.000000,0.000000,8.541225,30.576411,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,17.344797,104.605270,31.039566,15.019428,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,235.623272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,15.749676,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

4,00:45-01:00,0.773330,360.090500,0.123296,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,19.337106,0.000000,0.000000,8.541225,30.576411,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,16.259279,104.605270,31.039566,15.019428,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,235.623272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,15.749676,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

5,01:00-01:15,0.773330,360.090500,0.123296,51.910031,4.531642,0.000000,6.276270,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,15.505648,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

6,01:15-01:30,0.773330,360.090500,0.123296,51.910031,4.531642,0.000000,6.276270,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,15.350344,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

7,01:30-01:45,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,6.276270,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,15.568576,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

8,01:45-02:00,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,6.276270,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,13.496572,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

9,02:00-02:15,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,12.694130,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

10,02:15-02:30,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,12.975898,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

11,02:30-02:45,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,0.000000,12.302675,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,12.606293,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

12,02:45-03:00,0.773330,360.090500,0.000000,51.910031,6.473775,0.000000,0.000000,12.302675,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,12.478419,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

13,03:00-03:15,0.773330,360.090500,0.000000,51.910031,16.054962,0.000000,0.000000,40.263300,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,31.878000,13.382311,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

14,03:15-03:30,0.773330,360.090500,0.000000,51.910031,16.054962,0.000000,0.000000,40.263300,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,31.878000,14.012505,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

15,03:30-03:45,0.773330,360.090500,0.000000,51.910031,16.054962,0.000000,0.000000,40.263300,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,15.567668,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

16,03:45-04:00,0.773330,360.090500,0.000000,51.910031,16.054962,0.000000,0.000000,6.710550,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,17.719242,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,1.852331,0.000000,0,0,0,0,0

17,04:00-04:15,0.773330,360.090500,0.000000,51.910031,6.473775,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,17.065854,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,14.189175,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,15.860895,0.000000,0,0,0,0,0

18,04:15-04:30,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,17.950586,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,14.189175,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,15.860895,0.000000,0,0,0,0,0

19,04:30-04:45,0.773330,360.090500,0.000000,51.910031,4.531642,0.000000,0.000000,1.342110,0.000000,0.000000,41.837565,14.322000,0.000000,0.000000,8.541225,22.580250,0.000000,0.000000,0.000000,83.737500,0.000000,0.000000,1.593900,17.317669,104.605270,31.039566,11.107250,0.000000,403.066125,0.000000,113.695312,0.000000,0.000000,232.915375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.877969,14.189175,11.627000,0.000000,0.000000,0.000000,0.000000,59.511375,15.860895,0.000000,0,0,0,0,0

