Block,Time Block,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,DULHASTI,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,CHAMERA1,BSIUL,BRBCL,NNTPP,NTPL,PARBATI2,RAPPB,RAMPUR,PARBATI3,RIHAND1,RSTPSU1TO6,RAPPD,RIHAND3,RAPPC,RIHAND2,KHSTPP-I,KHSTPP-II,KKNPPU2,KISHANGANGA,KOLDAM,KKNP,KUDGI,KOTESHWR,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,URI2,URI,VALLURNTECL,UNCHAHAR4,SASAN,SIMHST1,RSTPSU7,SALAL,SEWA2,TANAKPUR,TALST2,TALA,TelanganaSTPP,TEHRI,TANDA2,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,47.02,355.57,33.72,10.55,57.32,20.04,450.26,0,0,40.6,18.84,15.41,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,46.79,0,1.29,400.97,0,0,76.47,18.21,6.04,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,47.02,355.96,33.72,10.55,57.32,20.04,509.09,0,0,40.6,18.84,17.43,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,46.79,0,0.96,400.97,0,0,0,18.21,6.04,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,47.02,355.96,33.72,10.55,57.32,20.04,509.27,0,0,40.6,18.84,16.82,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,46.79,0,0.96,400.97,0,0,0,18.21,6.04,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,47.02,355.96,33.72,10.55,57.32,20.04,509.27,0,0,40.6,18.84,15.36,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,46.79,0,0.96,400.97,0,0,0,18.21,6.04,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,47.02,355.96,33.72,10.55,57.32,20.04,457.6,0,0,40.6,18.84,17.27,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,18.21,6.04,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,47.02,355.96,33.72,10.55,57.32,20.04,360.25,0,0,40.6,18.84,15.75,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,18.21,0,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,47.02,280.39,33.72,10.55,57.32,20.04,310.16,0,0,40.6,18.84,14.08,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,18.21,0,0,0,0,32.93,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,47.02,263.48,33.72,10.55,57.32,20.04,310.16,0,0,40.6,18.84,14.98,0,0,28.96,0,5.22,35.48,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.91,0,108,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,18.21,0,0,0,0,22.42,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,47.02,194.18,33.72,10.55,57.32,20.04,272.59,0,0,40.6,18.84,14.45,0,0,36.19,0,5.22,37.84,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.89,0,108,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,18.21,0,0,0,0,22.42,5.32,26.66,42.39,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,47.02,194.18,33.72,10.55,57.32,20.04,256.11,0,0,40.6,18.84,14.45,0,0,36.19,0,5.22,37.84,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.89,0,108,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,12.15,0,0,0,0,22.42,5.32,26.66,42.86,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,47.02,194.18,33.72,10.55,57.32,20.04,256.11,0,0,40.6,18.84,14.45,0,0,36.19,0,5.22,37.84,93.66,0,21.21,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.89,0,108,0,0,133.25,24.95,0,0,0,36.7,46.79,0,0.96,400.97,0,0,0,12.15,0,0,0,0,22.42,5.32,16.81,26.08,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,47.02,194.18,33.72,10.55,57.32,20.04,256.11,0,0,40.6,18.84,14.45,0,0,36.19,0,5.22,37.84,93.66,0,0,125.99,66.04,120.01,44.15,142.86,0,8.31,4.61,0,0,10.05,0.89,0,108,0,0,133.25,24.95,0,0,0,36.7,46.79,0,0.96,400.97,0,0,0,12.15,0,0,0,0,22.42,5.32,16.81,25.43,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,47.02,194.18,33.72,10.55,57.32,13.16,256.11,0,0,40.6,12.56,14.45,0,0,36.19,0,5.22,37.84,64.99,0,0,125.99,66.04,120.01,35.35,114.8,0,8.31,4.61,0,0,10.05,0.89,0,96.32,0,0,133.25,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,12.15,0,0,0,0,22.42,3.3,16.81,25.43,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,47.02,194.18,33.72,10.55,57.32,13.16,256.11,0,0,40.6,12.56,14.45,0,0,36.19,0,4.24,37.84,64.99,0,21.21,125.99,66.04,120.01,35.35,114.8,0,8.31,4.61,0,0,10.05,0.89,0,96.32,0,0,106.61,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,12.15,0,0,0,0,22.42,3.3,16.81,25.43,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,47.02,194.18,33.72,10.55,57.32,13.16,275.38,0,0,40.6,12.56,14.45,0,0,36.19,0,4.24,37.84,64.99,0,21.21,125.99,66.04,120.01,35.35,114.8,0,8.31,4.61,0,0,10.05,0.89,0,96.32,0,0,106.61,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,6.07,6.04,0,0,0,11.2,3.3,15.94,23.84,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,47.02,194.18,33.72,10.55,57.32,13.16,275.38,0,0,40.6,12.56,14.45,0,0,36.19,0,4.24,37.84,64.99,0,21.21,125.99,66.04,120.01,35.35,114.8,0,8.31,4.61,0,0,10.05,0.89,0,96.32,0,0,106.61,24.95,0,0,0,36.7,47.86,0,0.96,400.97,0,0,0,6.07,6.04,0,0,0,11.2,3.3,15.94,23.84,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

