Block,Time,TANAKPUR,AURY_LF,NJPC,URI2,AURY_CRF,AURY_RF,URI,ANTA_GF,NAPP,DHAULIGNGA,CHAMERA3,UNCHAHAR2,CHAMERA1,SEWA2,RAPPC,AURY_GF,DADRI_CRF,UNCHAHAR4,KOTESHWR,TANDA2,ANTA_LF,ANTA_CRF,JHAJJAR,KISHANGANGA,SINGRAULI_HYDRO,UNCHAHAR3,PARBATI3,KOLDAM,BSIUL,TEHRI,DULHASTI,DADRI_RF,RIHAND1,KHSTPP-I,SINGRAULI,RAPPB,KHSTPP-II,RAMPUR,FSTPP I & II,CHAMERA2,DADRT2,UNCHAHAR1,RIHAND2,SALAL,SASAN,DADRI_LF,BRBCL,DADRI_GF,TALA,RIHAND3,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.368736,0.000000,0.000000,8.002460,0.000000,0.000000,23.304336,0.000000,20.494920,0.000000,0.000000,14.392500,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,8.635500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.274000,23.245135,112.261500,0.000000,122.863879,0.000000,4.797500,0.000000,337.744000,4.797500,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

2,00:15-00:30,0.368736,0.000000,0.000000,8.002460,0.000000,0.000000,23.304336,0.000000,20.494920,0.000000,0.000000,14.392500,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,8.635500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.274000,11.514000,112.261500,0.000000,56.610500,0.000000,4.797500,0.000000,337.744000,4.797500,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,2.118576,0.000000,20.494920,0.000000,0.000000,14.392500,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,8.635500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.274000,11.514000,112.261500,0.000000,52.772500,0.000000,4.797500,0.000000,337.744000,4.797500,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,2.118576,0.000000,20.494920,0.000000,0.000000,14.392500,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,8.635500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.274000,11.514000,112.261500,0.000000,52.772500,0.000000,4.797500,0.000000,337.744000,4.797500,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,2.118576,0.000000,20.494920,0.000000,0.000000,14.392500,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,8.635500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.274000,11.514000,112.261500,0.000000,55.651000,0.000000,4.797500,0.000000,337.744000,4.797500,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,8.002460,0.000000,0.000000,2.118576,0.000000,20.494920,0.000000,0.000000,14.392500,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,8.635500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.274000,11.514000,112.261500,0.000000,55.651000,0.000000,4.797500,0.000000,337.744000,4.797500,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,4.517518,0.000000,0.000000,2.118576,0.000000,20.494920,0.000000,0.000000,20.936290,0.000000,0.000000,52.235276,0.000000,0.000000,0.000000,8.514603,0.000000,0.000000,0.000000,339.663000,0.000000,0.679144,12.588640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.826963,11.514000,112.261500,0.000000,50.853500,0.000000,4.797500,0.000000,337.744000,10.602475,56.668070,1.337927,401.809815,0.000000,14.393795,0.000000,0.000000,118.657167,0.000000,0,0,0,0,0

