Block,Time,RAPPB,RIHAND1,RIHAND3,SIMHST1,UNCHAHAR1,AURY_GF,DADRI_GF,CHAMERA3,KHSTPP-I,KKNPPU2,KOLDAM,PARBATI3,RSTPSU1TO6,RSTPSU7,UNCHAHAR2,ANTA_RF,AURY_LF,DHAULIGNGA,DULHASTI,NAPP,RAPPC,VALLURNTECL,ANTA_CRF,AURY_CRF,KOTESHWR,NJPC,SASAN,DADRI_LF,DADRI_RF,BRBCL,BSIUL,CHAMERA2,KGSU3AND4,MAPS,NLCIIST2,TelanganaSTPP,UNCHAHAR4,ANTA_LF,CHAMERA1,FSTPP I & II,KKNP,NLCIIST1,NNTPP,RAMPUR,SINGRAULI_HYDRO,TALST2,TANAKPUR,TANDA2,AURY_RF,KGSU1AND2,KISHANGANGA,KUDGI,NLCTS2EXP,NTPL,RIHAND2,SALAL,SIMHST2,DADRI_CRF,DADRT2,JHAJJAR,KHSTPP-II,NLCEXP,SEWA2,SINGRAULI,TALA,TEHRI,UNCHAHAR3,URI,URI2,ANTA_GF
1,00:00-00:15,0,92,62.16,0,20.55,0,0,0,45.53,0,0,0,0,0,42.39,43.99,0,0,16.48,20.72,25.51,0,0,0,8.87,0,399.38,0,59.73,20,6.52,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0.73,0,5.76,0,70.04,0,0,0,0,0,118.76,13.36,0,0,683.14,434.65,148.3,0,16.53,139.69,0,0,26.4,36.43,32.28,0

2,00:15-00:30,0,92,62.16,0,20.55,0,0,0,45.53,0,0,0,0,0,42.39,43.99,0,0,16.48,20.72,25.51,0,0,0,8.87,0,399.38,0,59.73,20,6.52,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0.73,0,5.76,0,70.04,0,0,0,0,0,118.76,17.44,0,0,683.14,434.65,148.3,0,16.53,139.69,0,0,26.4,36.43,32.28,0

3,00:30-00:45,0,92,62.16,0,20.55,0,0,0,45.53,0,0,0,0,0,42.39,44.21,0,0,16.48,20.72,25.51,0,0,0,8.87,0,399.38,0,59.73,20,6.52,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0.73,0,5.76,0,70.04,0,0,0,0,0,118.76,69.72,0,0,683.14,434.65,148.3,0,16.53,139.69,0,0,26.4,36.43,32.28,0

4,00:45-01:00,0,92,62.16,0,20.55,0,0,0,45.53,0,0,0,0,0,42.39,44.21,0,0,16.48,20.72,25.51,0,0,0,8.87,0,399.38,0,59.73,20,6.52,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0.73,0,5.76,0,70.04,0,0,0,0,0,118.76,69.72,0,0,683.14,434.65,148.3,0,16.53,139.69,0,0,26.4,36.43,32.28,0

5,01:00-01:15,0,92,62.16,0,20.55,0,0,0,45.53,0,0,0,0,0,42.39,44.21,0,0,0,20.72,25.51,0,0,0,8.87,0,399.38,0,59.73,20,6.52,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0.73,0,5.76,0,70.04,0,0,0,0,0,118.76,69.72,0,0,683.14,434.65,148.3,0,16.53,139.69,0,0,26.4,36.43,32.28,0

