Time,Block,NR/2023/17690/C,NR/2023/17696/C,NR/2023/14436/A,NR/2023/17510/F,NR/2023/17261/F,NR/2023/17687/C,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17406/F,NR/2023/17405/F,NR/2023/17165/A,NR/2023/14754/A,Total
,,NVVNL,SJVNL,GMRETL,GBHHPL,APPCPL,TPDDL,IEXL,ITCLH,MANIKARAN,MANIKARAN,NVVNL,APPCPL,Total

,,NA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,RSRPL_BKN,Meghalaya_Ben,GBHHPL,HP,CHANJUII,NSLSUGAR,ITCWIND,HP,HP,SKS Raigarh,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),NDMC,BYPL,DIAPL,BRPL,TPDDL,MES (Delhi),ITCLH,BRPL,BRPL,NDMC,BYPL,
,,West-North,North-North,North East-East-North,North-North,North-North,North-North,South-East-North,South-West-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.580000,4.350000,4.830000,43.480000,23.190000,178.67

2,00:15-00:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.580000,4.350000,4.830000,43.480000,23.190000,178.67

3,00:30-00:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.580000,4.350000,4.830000,43.480000,23.190000,178.67

4,00:45-01:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.580000,4.350000,4.830000,43.480000,23.190000,178.67

5,01:00-01:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

6,01:15-01:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

7,01:30-01:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

8,01:45-02:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

9,02:00-02:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

10,02:15-02:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

11,02:30-02:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

12,02:45-03:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

13,03:00-03:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

14,03:15-03:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

15,03:30-03:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

16,03:45-04:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

17,04:00-04:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

18,04:15-04:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

19,04:30-04:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

20,04:45-05:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.62

21,05:00-05:15,0,0,33.820000,1.000000,54.110000,6.450000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.52

22,05:15-05:30,0,0,33.820000,1.000000,54.110000,6.450000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.52

23,05:30-05:45,0,0,33.820000,1.000000,54.110000,6.450000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.52

24,05:45-06:00,0,0,33.820000,1.000000,54.110000,6.450000,6.760000,0.530000,4.350000,4.830000,43.480000,23.190000,178.52

25,06:00-06:15,0,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.580000,4.350000,4.830000,43.480000,0.000000,101.27

26,06:15-06:30,0,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.580000,4.350000,4.830000,43.480000,0.000000,101.27

27,06:30-06:45,0.13,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.580000,4.350000,4.830000,43.480000,0.000000,101.4

28,06:45-07:00,0.47,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.580000,4.350000,4.830000,43.480000,0.000000,101.74

29,07:00-07:15,0.86,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.680000,4.350000,4.830000,43.480000,0.000000,102.23

30,07:15-07:30,1.34,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.680000,4.350000,4.830000,43.480000,0.000000,102.71

31,07:30-07:45,1.9,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.680000,4.350000,4.830000,43.480000,0.000000,103.27

32,07:45:08:00,2.5,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.680000,4.350000,4.830000,43.480000,0.000000,103.87

33,08:00-08:15,3.09,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,104.75

34,08:15-08:30,3.65,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,105.31

35,08:30-08:45,4.22,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,105.88

36,08:45:09:00,4.8,0,33.820000,1.000000,0.000000,6.450000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,106.46

37,09:00:09:15,5.34,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,131.08

38,09:15-09:30,5.87,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,131.61

39,09:30-09:45,6.33,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,132.07

40,09:45-10:00,6.71,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,132.45

41,10:00-10:15,7.03,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,132.77

42,10:15-10:30,7.35,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.09

43,10:30-10:45,7.64,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.38

44,10:45-11:00,7.88,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.62

