Time,Block,NR/2023/12168/A,NR/2023/14737/A,NR/2023/13635/A,NR/2023/16269/C,NR/2023/16268/C,NR/2023/15309/F,NR/2023/16260/C,NR/2023/12347/A,NR/2023/12592/A,NR/2023/12052/A,NR/2023/14746/A,NR/2023/14745/A,NR/2023/12148/A,NR/2023/12591/A,NR/2023/12053/A,NR/2023/15057/F,NR/2023/16253/C,NR/2023/14898/A,NR/2023/12167/A,ER/2023/10160/C,NR/2023/16274/C,NR/2023/15402/F,NR/2023/14895/A,NR/2023/12422/A,NR/2023/12431/A,NR/2023/15937/F,NR/2023/13862/A,ER/2023/10163/C,ER/2023/10143/C,NR/2023/16257/C,NR/2023/16236/D,WR/2023/18287/C,Total
,,APPCPL,NVVNL,NVVNL,HPXL,IEXL,IEXL,TPDDL,STATKRAFT,NVVNL,KEIPL,APPCPL,APPCPL,GMRETL,NVVNL,KEIPL,ITCLH,GBHHPL,MANIKARAN,APPCPL,IEXL,HPXL,SJVNL,MANIKARAN,APPCPL,TPTCL,NVVNL,MANIKARAN,IEXL,HPXL,SJVNL,NVVNL,IEXL,Total

,,UTTARAKHAND,NA,NA,NA,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,TAMIL NADU,NA,MEGHALAYA,HIMACHAL PRADESH,GOA,MEGHALAYA,NA,MEGHALAYA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,DELHI,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,DELHI,DELHI,NA,NA,DELHI,
,,UTTARAKHAND,SKS Raigarh,KAMENG,Teesta_III,SCLTPS,SAPU1234,CHANJUII,TANGEDCO,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,GOA_Beneficiary,Meghalaya_Ben,JPNIGRIE_JNSTPP,Meghalaya_Ben,ITCWIND,GBHHPL,HP,Meghalaya_Ben,BYPL,SEILP2,BCMLB001,HP,HP,JPL-2,KAMENG,TANGEDCO,BYPL,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,BRPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,ODISHA,DELHI,DELHI,GOA,
,,BYPL,NDMC,BRPL,BRPL,BRPL,MES (Delhi),TPDDL,BYPL,BRPL,BYPL,BRPL,BRPL,BYPL,BRPL,BYPL,ITCLH,DIAPL,BRPL,BYPL,CESC,BRPL,NDMC,BRPL,BYPL,BRPL,TPDDL,BRPL,CESC,VLSEZ,NDMC,MES (Delhi),GOA_Beneficiary,
,,North-North,West-North,North East-East-North,East-North,North-North,North-North,North-North,South-West-North,West-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North East-East-North,South-West-North,North-North,North-North,North East-East-North,North-East,South-East-North,North-North,North-North,North-North,West-North,North East-East-North,South-East-North,North-East,North-East,North-North,West-North,North-East-West,
1,00:00-00:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.680000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.870000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.62

2,00:15-00:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.680000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.870000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.62

3,00:30-00:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.680000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.870000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.62

4,00:45-01:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.680000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.870000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.62

5,01:00-01:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.600000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.35

6,01:15-01:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.600000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.35

7,01:30-01:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.600000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.35

8,01:45-02:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.600000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,0.000000,1273.35

9,02:00-02:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.500000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.580000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,25.000000,0,0,0.000000,1298.15

10,02:15-02:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.500000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.580000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,25.000000,0,0,0.000000,1298.15

11,02:30-02:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.500000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.580000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,25.000000,0,0,0.000000,1298.15

12,02:45-03:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.500000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,36.500000,0.580000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,25.000000,0,0,0.000000,1298.15

13,03:00-03:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.410000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1238.36

14,03:15-03:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.410000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1238.36

15,03:30-03:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.410000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1238.36

16,03:45-04:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.410000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,75.380000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1238.36

17,04:00-04:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.310000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1248.51

18,04:15-04:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.310000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1248.51

19,04:30-04:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.310000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1248.51

20,04:45-05:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.310000,98.660000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1248.51

21,05:00-05:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.130000,0.000000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1149.67

22,05:15-05:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.130000,0.000000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1149.67

23,05:30-05:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.130000,0.000000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1149.67

24,05:45-06:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.130000,0.000000,100.120000,63.120000,88.700000,24.180000,22.250000,50.060000,0.000000,0.530000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,38.010000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1149.67

25,06:00-06:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.030000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1023.01

26,06:15-06:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.030000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0,0.000000,1023.01

27,06:30-06:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.030000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0.13,0.000000,1023.14

28,06:45-07:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,17.030000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,0.58,0.000000,1023.59

29,07:00-07:15,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,16.950000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,1.1,0.000000,1024.03

