Block,Time,DHAULIGNGA,KHSTPP-II,KKNPPU2,KOLDAM,KOTESHWR,NLCTS2EXP,SALAL,SASAN,ANTA_LF,BRBCL,KHSTPP-I,NAPP,RAPPB,RAPPC,TEHRI,TelanganaSTPP,ANTA_GF,AURY_GF,DADRI_CRF,DADRI_GF,PARBATI3,TANDA2,AURY_LF,JHAJJAR,KGSU1AND2,KGSU3AND4,SINGRAULI_HYDRO,TALST2,URI2,VALLURNTECL,ANTA_RF,DADRI_RF,DULHASTI,KUDGI,RAMPUR,RSTPSU1TO6,UNCHAHAR2,URI,DADRI_LF,BSIUL,CHAMERA1,CHAMERA3,NJPC,NLCEXP,NNTPP,RIHAND1,RSTPSU7,SEWA2,SIMHST1,TALA,TANAKPUR,UNCHAHAR1,ANTA_CRF,AURY_RF,KKNP,MAPS,NLCIIST2,NTPL,SIMHST2,SINGRAULI,UNCHAHAR3,CHAMERA2,DADRT2,FSTPP I & II,KISHANGANGA,NLCIIST1,RIHAND2,RIHAND3,UNCHAHAR4,AURY_CRF
1,00:00-00:15,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,43.99,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,5.76,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

2,00:15-00:30,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,43.99,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,5.76,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,17.6,0,0,118.76,62.16,0,0

3,00:30-00:45,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,5.76,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

4,00:45-01:00,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,5.76,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

5,01:00-01:15,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,5.76,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

6,01:15-01:30,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,5.76,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

7,01:30-01:45,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,0,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

8,01:45-02:00,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,0,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

9,02:00-02:15,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,0,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

10,02:15-02:30,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.42,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,0,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

11,02:30-02:45,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,0,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

12,02:45-03:00,0,98.87,0,0,8.87,0,1.4,418.77,0,15,43.1,43.36,0,26.01,12.92,0,0,0,0,0,0,0,0,434.65,0,0,0.65,0,4.31,0,44.21,90.42,16.48,0,0,0,42.39,0.45,0,0,0,0,0,0,0,92,0,0,0,0,0,19.98,0,70.81,0,0,0,0,0,139.69,26.4,0,683.14,20.8,0,0,118.76,62.16,0,0

