Column1,Time,GNA/NR/2024/09/01/7908,NR/01102023/31052040/LT-31,GNA/NR/2024/09/01/9821,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/2171,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6020,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/8090,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI
1,00:00-00:15,21.81,0,32.95,29.27,5.69,263.14,24.23,2.42,32,145.38,96.92,0,0,17.52,11.38,87.42,0,70.64,8.81,100.97,0,0,0,0,0,0,0,36.67,0,0,0,30,0,0,36.67,11.34,10,0,35.01,0,10,274.04,0

2,00:15-00:30,21.81,0,32.95,29.27,5.69,214.68,24.23,2.42,32,145.38,96.92,0,0,17.52,11.38,87.42,0,70.64,8.81,100.97,0,0,0,0,0,0,0,36,0,0,0,30,0,0,36,11.34,10,0,34.01,0,10,274.04,0

3,00:30-00:45,21.81,0,32.95,29.27,5.69,206.97,24.23,2.42,32,145.38,96.92,0,0,17.52,11.38,57.86,0,70.64,8.81,100.97,0,0,0,0,0,0,0,36,0,0,0,30,0,0,36,11,10,0,38.02,0,10,274.04,0

4,00:45-01:00,21.81,0,32.95,29.27,5.69,172.17,24.23,2.42,32,145.38,96.92,0,0,17.52,11.38,57.86,0,70.64,8.81,92.07,0,0,0,0,0,0,0,35.67,0,0,0,29.5,0,0,35.67,11,9.83,0,37.62,0,9.84,274.04,0

5,01:00-01:15,21.81,0,32.95,29.27,5.59,172.17,24.23,2.42,32,145.38,96.92,0,0,17.52,11.29,57.86,0,70.64,8.81,92.07,0,0,0,0,0,0,0,30,0,0,0,29,0,0,30,8.66,9.67,0,37.02,0,9.66,274.04,0

6,01:15-01:30,21.81,0,32.95,29.27,5.59,172.17,24.23,2.42,32,145.38,96.92,0,0,17.52,11.29,57.86,0,70.64,8.81,92.07,0,0,0,0,0,0,0,29.67,0,0,0,28.5,0,0,29.67,8.66,9.5,0,36.01,0,9.5,274.04,0

