Block,Time Block,KGSU1AND2,JHAJJAR,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,VALLURNTECL,ANTA_LF,URI2,ANTA_GF,ANTA_CRF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,SALAL,SEWA2,RIHAND3,SIMHST1,SINGRAULI_HYDRO,SIMHST2,RIHAND2,SINGRAULI,TALA,SASAN,RAPPC,RIHAND1,RAPPB,RSTPSU1TO6,RSTPSU7,UNCHAHAR1,UNCHAHAR4,TANDA2,TALST2,TANAKPUR,UNCHAHAR3,URI,TelanganaSTPP,UNCHAHAR2,TEHRI,RAMPUR,NTPL,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,KKNP,KHSTPP-I,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,KGSU3AND4,KHSTPP-II,KOTESHWR,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,343.17,0,11.17,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,110.03,0,400.3,51.55,76.25,0,0,0,11.06,0,0,0,0,14.2,0.84,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,19.11,0,0,0,0,0,0

2,00:15-00:30,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,0,14.2,0.84,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,19.12,0,0,0,0,0,0

3,00:30-00:45,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,0,14.2,1.06,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,17.36,0,0,0,0,0,0

4,00:45-01:00,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,0,14.2,1.06,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,15.17,0,0,0,0,0,0

5,01:00-01:15,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,5.51,14.2,1.06,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,14.42,0,0,0,0,0,0

6,01:15-01:30,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,5.51,14.2,1.06,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,15.45,0,0,0,0,0,0

7,01:30-01:45,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,5.51,14.2,1.06,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,11.26,0,0,0,0,0,0

8,01:45-02:00,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,0,14.2,1.06,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,10.79,0,0,0,0,0,0

9,02:00-02:15,0,343.17,0,9.57,0,357.64,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,2.23,0,118.84,0,0,0,97.81,103.54,0,400.3,51.55,76.25,0,0,0,11.02,0,0,0,0,14.2,1.47,0,22.42,0,0,0,0,0,0,0,0,0,0,0,42.57,0,21.66,0,0,0,0,0,94.34,8.49,0,0,0,12.03,0,0,0,0,0,0

