Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/9061,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2024/11/01/9042,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,15.41,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

2,00:15-00:30,16.21,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

3,00:30-00:45,15.2,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

4,00:45-01:00,16,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

5,01:00-01:15,16.2,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

6,01:15-01:30,16.8,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

7,01:30-01:45,24.01,70.04,1.91,0,32,1.39,0,52.84,25.94,0,149.4,170.04,20,6.67,0,0,0,13.67,0,0,0,6.67,13.66,6.66,0,0,0,0,0,0,17.29,1.81,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,57.35,26.24

