Block,Time Block,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,DULHASTI,DADRT2,DHAULIGNGA,FSTPP I & II,UNCHAHAR1,UNCHAHAR4,TALST2,TEHRIPSP,VALLURNTECL,TANAKPUR,UNCHAHAR3,URI2,TALA,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,TANDA2,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,DADRI_RF,ANTA_CRF,AURY_CRF,RSTPSU7,SALAL,SEWA2,RIHAND3,SINGRAULI_HYDRO,SIMHST2,RIHAND2,SASAN,SINGRAULI,SIMHST1,RSTPSU1TO6,RAPPB,RAMPUR,RIHAND1,RAPPD,PARBATI3,RAPPC,PARBATI2,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,NLCEXP,NJPC,NLCIIST1,NAPP,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,509.07,42.42,20.12,17.89,2.31,0,0,0,11.65,23.33,35.8,29.15,38.27,0,37.81,48.06,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.37,1.13,0,120.24,331.93,145.81,0,0,0,6.81,94.27,25,76.42,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,18.55,40.78,0,0,0,0,0

2,00:15-00:30,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,509.07,42.42,20.12,17.89,2.31,0,0,0,11.65,23.33,35.8,29.15,38.27,0,37.73,48.06,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,76.42,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,14.1,40.78,0,0,0,0,0

3,00:30-00:45,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,509.07,42.42,20.12,21.12,2.31,0,0,0,11.65,26.99,35.8,29.15,38.27,0,43.46,48.06,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,74.34,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,12.82,40.78,0,0,0,0,0

4,00:45-01:00,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,446.82,42.42,20.12,21.12,2.31,0,0,0,11.65,26.99,35.8,29.15,38.27,0,43.46,48.06,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,74.34,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,13.95,40.78,0,0,0,0,0

5,01:00-01:15,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,398.45,42.42,20.12,21.12,2.31,0,0,0,11.65,26.99,35.8,29.15,38.27,0,43.46,48.06,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,57.99,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,16.05,40.78,0,0,0,0,0

6,01:15-01:30,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,350.08,42.42,20.12,21.12,2.31,0,0,0,11.65,26.99,35.8,29.15,38.27,0,43.46,48.06,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,57.99,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,15.09,40.78,0,0,0,0,0

7,01:30-01:45,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,297.61,42.42,20.12,21.12,2.31,0,0,0,10.53,26.99,35.8,29.15,38.27,0,43.46,48.06,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,57.99,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,15.55,40.78,0,0,0,0,0

8,01:45-02:00,0,10.1,143.47,0,0,10.3,8.43,0,42.58,399.57,0,0,56.87,297.61,42.42,20.12,21.12,2.31,0,0,0,10.53,26.99,35.8,29.15,38.27,0,43.46,48.06,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,57.99,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,14.28,40.78,0,0,0,0,0

9,02:00-02:15,0,10.1,143.47,0,0,10.3,8.43,0,42.58,358,0,0,56.87,246.83,42.42,16.95,17.56,1.93,0,0,0,10.53,22.79,35.8,28.88,38.27,0,37.14,48.06,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,57.99,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,12.64,40.78,0,0,0,0,0

10,02:15-02:30,0,10.1,143.47,0,0,10.3,8.43,0,42.58,329.92,0,0,56.87,198.46,42.42,16.95,13.4,1.22,0,0,0,10.53,17.5,35.8,28.88,38.27,0,28.31,48.06,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,0,125.35,1.13,0,120.25,331.93,145.82,0,0,0,6.81,94.25,25,57.99,66.32,56.16,0,0,0,0,0,175.25,0,24.34,12.61,33.95,47.31,12.43,40.78,0,0,0,0,0

