Column1,Block,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/2025/24717/C,NR/2025/24714/C,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3925,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/08/1391,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3945,GNA/WR/2025/01/01/8625,NR/2024/24507/A/48390,NR/2024/24508/A/48386,NR/2024/24435/A/48131,NR/2024/24614/A/48388,NR/2024/24566/A/48114,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,WR/2024/25501/A/48347,NR/2024/24418/A/48110,NR/30092023/31122025/SH-07,NR/2024/24507/A/48415,NR/2025/24709/C,NR/2025/24716/C,SR/2024/15456/A/48139,NER/2024/2820/A/48348,NR/2025/24710/C,NR/2024/24434/A/48136,GNA/WR/2024/11/01/4200,Total
,,PUNJAB,APPCPL,SJVNL,SJVNL,NDMC,NDMC,HPXL,DELHI,IEXL,HPXL,IEXL,HPXL,IEXL,IEXL,NDMC,TPTCL,NVVNL,NVVNL,IEXL,NVVNL,IEXL,PXIL,NDMC,APPCPL,ITCLH,BAWANA_GAS,NVVNL,NVVNL,SJVNL,IEXL,APPCPL,NVVNL,IEXL,MANIKARAN,
,,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,Meghalaya_State,MP_State,ODISHA_STATE,NA,DELHI_UT,NA,NA,KARNATAKA_STATE,NA,TELANGANA_State,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,UTTARPRADESH_STATE,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,
,,BAWANA_GAS,BYPL,RSRPL_BKN,TPSL_BKN2,SKS_Raigarh,RKM_POWER,JPNIGRIE_JNSTPP,CHANJUII,JPNIGRIE_JNSTPP,SKS_Raigarh,SKS_Raigarh,Meghalaya_Ben,JP_BINA,NBVLIPP,JPL2,BYPL,JIPL,TRN_ENERGY,NSLSUGARALAND,TRN_ENERGY,NSLKSLWPRTY,JPNIGRIE_JNSTPP,RKM_POWER,BRPL,ITCWIND,BAWANA_GAS,JIPL,JIPL,BCMLUH,BYPL,BYPL,TRN_ENERGY,TESPL_BKN2,BRPL,
,,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,Manipur_State,DELHI_UT,DELHI_UT,MSEB_State,
,,PUNJAB,AEML,NDMC,NDMC,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPC_MSEB,NDMC,NDMC,MES_Delhi,NDMC,MES_Delhi,BRPL,NDMC,GOA_Beneficiary,ITCLH,HARYANA,NDMC,NDMC,NDMC,TANGEDCO,Manipur_Ben,NDMC,MES_Delhi,AEML,
,,North-North,North-West,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,East-North,West-North,North-West,East-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,North-West,South-West-North,North-North,East-North,East-North,North-North,North-West-South,North-East-North East,West-North,North-North,North-West,
1,00:00-00:15,27,0,0,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,28.68,0,14.08,8.69,9.56,0,5.74,28.68,28.68,0,0.38,0,0,0,0,0,0,0,0,0,399.77000000000004

2,00:15-00:30,27,0,0,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,28.68,0,14.08,8.69,9.56,0,5.74,28.68,28.68,0,0.38,0,0,0,0,0,0,0,0,0,399.77000000000004

3,00:30-00:45,27,0,0,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,28.68,0,14.08,8.69,9.56,0,5.74,28.68,28.68,0,0.38,0,0,0,0,0,0,0,0,0,399.77000000000004

4,00:45-01:00,27,0,0,0,8.6,28.68,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,28.68,0,14.08,8.69,9.56,0,5.74,28.68,28.68,0,0.38,0,0,0,0,0,0,0,0,0,399.77000000000004

5,01:00-01:15,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

6,01:15-01:30,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

7,01:30-01:45,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

8,01:45-02:00,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

9,02:00-02:15,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

10,02:15-02:30,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

11,02:30-02:45,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

12,02:45-03:00,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.07

13,03:00-03:15,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

14,03:15-03:30,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

15,03:30-03:45,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

