Block,Time,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01062024/30062024/IEPL01,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/R2,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/28062024/28062024/IEX_240627_01332,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/31052040/LT-31,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,18.050000,0.000000,8.620000,100.500000,259.070000,48.240000,272.770000,12.290000,24.120000,30.870000,87.020000,0.000000,67.530000,38.590000,24.120000,30.280000,38.590000,115.340000,10.590000,24.120000,0.000000,24.120000,21.750000,120.590000,10.400000,30.870000,0.000000,15.710000,0.000000,48.240000,0.000000,21.5,7.17,0,0,0,31.02,0,0,0,0,7.16,14.67,0,0,0,14.67,7.34,0,0,0,0

2,00:15-00:30,18.050000,0.000000,8.620000,100.500000,259.070000,48.240000,272.770000,12.290000,24.120000,30.870000,87.020000,0.000000,67.530000,38.590000,24.120000,30.280000,38.590000,115.340000,10.590000,24.120000,0.000000,24.120000,21.750000,120.590000,10.400000,30.870000,0.000000,15.710000,0.000000,48.240000,0.000000,21.5,7.17,0,0,0,32.02,0,0,0,0,7.16,14.67,0,0,0,14.67,7.34,0,0,0,0

3,00:30-00:45,18.050000,0.000000,8.620000,100.500000,259.070000,48.240000,272.770000,12.290000,24.120000,30.870000,87.020000,0.000000,67.530000,38.590000,24.120000,30.280000,38.590000,115.340000,10.590000,24.120000,0.000000,24.120000,21.750000,120.590000,10.400000,30.870000,0.000000,15.710000,0.000000,48.240000,0.000000,21.5,7.17,0,0,0,33.82,0,0,0,0,7.16,14.67,0,0,0,14.67,7.34,0,0,0,0

4,00:45-01:00,18.050000,0.000000,8.620000,100.500000,259.070000,48.240000,272.770000,12.290000,24.120000,30.870000,87.020000,0.000000,67.530000,38.590000,24.120000,30.280000,38.590000,115.340000,10.590000,24.120000,0.000000,24.120000,21.750000,120.590000,10.400000,30.870000,0.000000,15.710000,0.000000,48.240000,0.000000,21.5,7.17,0,0,0,35.62,0,0,0,0,7.16,14.67,0,0,0,14.67,7.34,0,0,0,0

5,01:00-01:15,17.870000,0.000000,8.340000,100.500000,259.070000,48.240000,272.770000,12.290000,24.120000,30.870000,87.020000,0.000000,67.530000,38.590000,24.120000,30.280000,38.590000,115.340000,10.590000,24.120000,0.000000,24.120000,21.750000,0.000000,10.400000,30.870000,0.000000,15.710000,0.000000,48.240000,0.000000,21.5,7.17,0,0,0,36.22,0,0,0,0,7.16,14.67,0,0,0,14.67,7.34,0,0,0,0

