Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21158/A/25536,NR/2024/21186/A/25759,NR/2024/20966/A/25446,NR/2024/21096/A/25770,NR/2024/21152/A/25445,NR/2024/21238/A/25793,NR/2024/21375/C,NR/2024/21339/A/25558,NR/2024/21210/A/25453,NR/2024/21243/A/25497,NR/2024/19779/A/25477,NR/2024/21023/A/25516,NR/2024/21321/A/25359,NR/2024/20573/A/25754,NR/2024/21108/A/25763,NR/2024/21087/A/25709,NR/2024/21148/A/25528,NR/2024/21386/C,NR/2024/21103/A/25766,NR/01102023/14082046/L_NR_2021_16,NR/2024/20688/A/25554,NR/2024/21075/A/25792,NR/2024/21144/A/25539,NR/2024/21153/A/25521,NR/2024/20574/A/25752,NR/2024/21159/A/25537,NR/2024/20877/A/25760,NR/2024/21173/A/25708,NR/01102023/02012046/L_NR_2021_17,NR/2024/21227/A/25765,NR/2024/21062/A/25601,NR/2024/21150/A/25523,NR/30092023/31122025/SH-07,NR/2024/21142/A/25454,NR/2024/21199/A/25515,NR/2024/21387/C,NR/2024/21146/A/25534,NR/2024/21104/A/25764,NR/2024/21076/A/25789,NR/2024/21183/A/25790,NR/2024/21089/A/25741,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21156/A/25522,NR/2024/20711/A/25807,NR/2024/20930/A/25698,NR/2024/21113/A/25735,NR/2024/21072/A/25743,NR/2024/21385/C,NR/2024/21160/A/25535,NR/2024/21099/A/25456,SR/2024/13458/C,NR/2024/21141/A/25455,Total
,,TPTCL,TPTCL,INSTINCT,NDMC,APPCPL,NDMC,PTC,AEL,DELHI,PUNJAB,MEJA,TPDDL,MSSH,NVVNL,IEXL,APPCPL,IEXL,MANIKARAN,TPDDL,TPTCL,TPTCL,BRPL,ITCLH,INSTINCT,DIAPL,PTC,APPCPL,GMRETL,BAL224,NVVNL,APPCPL,SECI_Trader,GMRETL,MANIKARAN,DTCP,JHPL-DL,PTC,MHIL,NVVNL,GMRETL,SECI_Trader,APPCPL,PTC,BAL234,BAWANA_GAS,TPTCL,INSTINCT,NVVNL,BAL184,APPCPL,MANIKARAN,MANIKARAN,NVVNL,INSTINCT,UHL,TPDDL,AEL,NVVNL,NVVNL,NVVNL,BMDRC,TPTCL,IEXL,TPTCL,Total

,,NA,NA,NA,NA,ARUNACHAL PRADESH,NA,NA,NA,MAHARASHTRA,DELHI,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,MAHARASHTRA,KERALA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,NA,NA,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,RAJASTHAN,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ODISHA,NA,NAGALAND,NA,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,MP,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,NA,NA,HIMACHAL PRADESH,NA,DELHI,MAHARASHTRA,
,,JITPL,MPL,JPL,SKS Raigarh,Arunachal_Ben,JITPL,SEILP2,APL_Raigarh TPP,MSEB_Beneficiary,BAWANA_GAS,MEJA,CHANJUII,SHPPBPL,JP BINA,A_A_Energy_MH_Bio,KSEB,NHCPL_HP,MMS STEEL TN,JHAJJAR,JITPL,SIMHAPURI,DADRT2,ITCWIND,JPL,GBHHPL,HP,Manipur_Ben,GBHHPL,SHPPBPL,KAMENG,UTTARAKHAND,SBSRPC11PL_BKN,RUVNL,GOA_Beneficiary,SHPPBPL,SHPPBPL,HP,SHPPBPL,JPNIGRIE_JNSTPP,GMRKEL (STU),SBSRPC11PL_BKN,Nagaland_Ben,SEILP2,SHPPBPL,BAWANA_GAS,HP-GOVT,JPL_DHULE,SOLAPUR_SOLAR,SHPPBPL,TANGEDCO,AEML,BLAPOWER_MP,RKM_POWER,JPL_DHULE,SHPPBPL,JPL-2,APL_Raigarh TPP,JPL-2,RKM_POWER,SORANG_HEP,SHPPBPL,ACBIL,BYPL,TPC MSEB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,
,,BRPL,TPDDL,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,TPDDL,PUNJAB,DELHI,TPDDL,MSSH,TPDDL,MES (Delhi),BYPL,MES (Delhi),BRPL,TPDDL,BRPL,BRPL,BRPL,ITCLH,BRPL,DIAPL,BRPL,BRPL,BRPL,BAL224,TPDDL,BYPL,TPDDL,BYPL,BRPL,DTCP,JHPL-DL,BYPL,MHIL,TPDDL,BRPL,BYPL,BYPL,BRPL,BAL234,HARYANA,BRPL,BRPL,MES (Delhi),BAL184,BYPL,BYPL,BRPL,NDMC,BRPL,UHL,TPDDL,BRPL,NDMC,NDMC,TPDDL,BMDRC,BRPL,TANGEDCO,BYPL,
,,East-North,East-North,West-North,West-North,North East-East-North,East-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,South-West-North,North-North,South-West-North,North-North,East-North,South-West-North,North-North,South-West-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,East-North,North-North,North East-East-North,South-East-North,North-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-East-South,West-North,
1,00:00-00:15,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.630000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,14.560000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,167.00,47.670000,2548.95

2,00:15-00:30,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.630000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,14.560000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,214.00,47.670000,2595.95
