Column1,Block,NR/2025/26813/C,NR/2025/26689/A/71694,NR/2025/26101/A/71757,NR/2025/26085/A/71508,NR/2025/25858/A/72012,NR/2025/25855/A/72011,NR/2025/26336/A/71719,NR/2025/26265/A/72051,NR/2025/26197/A/72120,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/4138,NR/2025/26198/A/72119,NR/2025/26200/A/72117,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,NR/2025/26289/A/72050,GNA/NR/2025/05/01/3877,ER/2025/17540/C,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/5800,NR/2025/26002/A/72013,GNA/ER/2025/05/14/4547,GNA/NR/2025/05/01/9320,NR/2025/26824/C,NR/2025/26806/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/2025/26201/A/72116,NR/2025/26232/A/72053,NR/2025/26312/A/71542,NR/2025/26153/A/71547,NR/2025/26291/A/72049,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9395,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/71544,NR/2025/26335/A/71721,NR/2025/26202/A/72070,NR/2025/26199/A/72118,NR/2025/26814/C,NR/2025/26191/A/71555,NR/2025/26233/A/72052,NR/2025/26749/C,NR/2025/26750/C,NR/2025/26754/C,NR/2025/26753/C,NR/2025/26751/C,NR/2025/26752/C,Total
,,NVVNL,DIAPL,GMRETL,ITCLH,PowerPulse,PowerPulse,BRPL,HPXL,APPCPL,PXIL,PowerPulse,DELHI,PowerPulse,APPCPL,APPCPL,IEXL,PowerPulse,HPXL,PXIL,IEXL,HPXL,PXIL,PowerPulse,IEXL,PowerPulse,NVVNL,TPDDL,PUNJAB,PXIL,APPCPL,HPXL,IEXL,IEXL,HPXL,BAWANA_GAS,HPXL,HPXL,PXIL,NDMC,PXIL,IEXL,SECI_Trader,IEXL,BRPL,NVVNL,APPCPL,NVVNL,PXIL,HPXL,HPXL,HPXL,IEXL,HPXL,HPXL,HPXL,
,,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,ODISHA_STATE,NA,NA,UTTARPRADESH_STATE,DELHI_UT,HIMACHAL_STATE,Meghalaya_State,NA,DELHI_UT,NA,NA,NA,DELHI_UT,ODISHA_STATE,NA,GEB_State,NA,TAMILNADU_State,MP_State,DELHI_UT,MSEB_State,NA,ODISHA_STATE,NA,CSEB_State,JK_and_LADAKH_UT,NA,NA,NA,NA,NA,NA,NA,GEB_State,GEB_State,GEB_State,NA,MP_State,NA,NA,
,,SORANG_HEP,GBHHPL,GBHHPL,ITCWIND,APL_Raipur_TPP,APL_Raipur_TPP,DADRT2,JPL,SKS_Raigarh,SINGOLI,APL_Raipur_TPP,CHANJUII,COASTGEN,RKM_POWER,TRN_ENERGY,VSL,MAHAN_ENERGEN,SIMHAPURI,LAPL_UP,BRPL,KGEPL_HP,Meghalaya_Ben,COASTGEN,TPDDL,COASTGEN,JPNIGRIE_JNSTPP,JHAJJAR,BAWANA_GAS,FACORPOWER,RKM_POWER,PCBL_PALEJ,MBMP,SURYADEV_ALLOYSTN,Ultratech_Sidhi_MP,BAWANA_GAS,GRETAENERGY,JPL,FACORPOWER,JIPL,SKSIPL,O2ZTPL,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,JPNIGRIE_JNSTPP,JPL2,Kameng,JPNIGRIE_JNSTPP,PCBL_MUNDRA,PCBL_PALEJ,PCBL_MUNDRA,MBMP,Ultratech_Sidhi_MP,JPL,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,DIAPL,TPDDL,ITCLH,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BSPHCL,BRPL,BRPL,BRPL,BSPHCL,BRPL,TPDDL,TPDDL,PUNJAB,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,MES_Delhi,BRPL,TPDDL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,South-East-North,West-North,West-North,East-North,West-North,South-West-North,North-North,North-East,North-North,North East-East-North,South-West-North,North-East,South-East-North,West-North,North-North,North-North,East-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,East-North,East-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,
1,00:00-00:15,14.44,6.74,0,0.77,0,144.45,134.82,96.3,14.59,28.89,192.6,9.5,0,43.77,14.59,0,144.45,48.15,28.89,142.52,13.48,67.41,0,0,192.6,0,127.12,32,14.44,37.21,4.82,0,62.6,24.08,0,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1948.1399999999996

2,00:15-00:30,14.44,6.74,0,0.77,0,144.45,134.82,96.3,14.59,28.89,192.6,9.5,0,43.77,14.59,0,144.45,48.15,28.89,177.19,13.48,67.41,0,0,192.6,0,127.12,32,14.44,37.21,4.82,0,62.6,24.08,0,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1982.8099999999997

3,00:30-00:45,14.44,6.74,0,0.77,0,144.45,134.82,96.3,14.59,28.89,192.6,9.5,0,43.77,14.59,0,144.45,48.15,28.89,227.27,13.48,67.41,0,75,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,30,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2135.89

4,00:45-01:00,14.44,6.74,0,0.77,0,144.45,134.82,96.3,14.59,28.89,192.6,9.5,0,43.77,14.59,0,144.45,48.15,28.89,262.9,13.48,67.41,0,75,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,30,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2171.52

