Block,Time,UNCHAHAR1,SINGRAULI,TANDA2,SEWA2,UNCHAHAR4,URI2,UNCHAHAR3,TEHRI,SINGRAULI_HYDRO,UNCHAHAR2,CHAMERA3,NJPC,KOLDAM,RIHAND2,DULHASTI,CHAMERA2,NAPP,RIHAND1,KISHANGANGA,PARBATI3,RAMPUR,DADRT2,DHAULIGNGA,KOTESHWR,RAPPC,RIHAND3,JHAJJAR,TANAKPUR,URI,RAPPB,BSIUL,SALAL,CHAMERA1,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,20.556,139.3125,0,15.804048,0,32.41932,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,5.124,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,30.957,417.375

2,00:15-00:30,20.556,139.3125,0,15.804048,0,32.41932,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,5.124,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,30.957,417.375

3,00:30-00:45,20.556,139.3125,0,15.804048,0,32.41932,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,5.124,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,31.564,417.375

4,00:45-01:00,20.556,139.3125,0,15.804048,0,32.41932,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,31.564,417.375

5,01:00-01:15,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,31.564,417.375

6,01:15-01:30,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,31.564,417.375

7,01:30-01:45,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,31.564,417.375

8,01:45-02:00,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,51.888,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,31.564,417.375

9,02:00-02:15,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,51.888,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,32.171,417.375

10,02:15-02:30,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,12.5538,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,32.171,417.375

11,02:30-02:45,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,11.7852,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,32.171,417.375

12,02:45-03:00,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,24.2556,50.76,123.665625,653.1525,11.7852,46.92,0,0,85.407,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,32.171,417.375

13,03:00-03:15,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,15.776,50.76,123.665625,653.1525,11.7852,46.92,0,0,79.3646,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,32.171,417.375

14,03:15-03:30,20.556,139.3125,0,15.804048,0,31.897383,26.39091,61.74,0.65042,42.392196,29.062808,152.9405,0,118.125,32.8448,0,38.2344,92,0,0,0,686.779957,27.3447,15.776,50.76,123.665625,653.1525,11.7852,46.92,0,0,79.3646,42.66,0,65.16,0,2.172,0,72.884,10.96,0,0,0,0,42,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,15.00135,14.253199,27.93,147.515625,32.171,417.375

