Block,Time,AURY_LF,DULHASTI,DADRI_CRF,AURY_GF,UNCHAHAR4,URI,NAPP,DHAULIGNGA,TEHRI,TANAKPUR,CHAMERA1,RIHAND1,ANTA_LF,RAMPUR,SALAL,DADRI_RF,RAPPC,RIHAND2,NJPC,URI2,PARBATI3,DADRI_GF,UNCHAHAR1,KOLDAM,DADRT2,UNCHAHAR3,TANDA2,SINGRAULI,DADRI_LF,KOTESHWR,KISHANGANGA,AURY_CRF,CHAMERA2,ANTA_CRF,ANTA_GF,UNCHAHAR2,RIHAND3,JHAJJAR,AURY_RF,BSIUL,ANTA_RF,SINGRAULI_HYDRO,SEWA2,RAPPB,CHAMERA3,FSTPP I & II,LARA-I,MOUDA_II,KAWAS-RLNG,VALLURNTECL,SIMHST2,KHSTPP-II,VSTPS I,KAWAS-ComGas,GANDHAR-RLNG,RSTPSU1TO6,MAPS,MOUDA,GADARWARA-I,VSTPS II,VSTPS V,SASAN,KGSU1AND2,NLCTS2EXP,TALA,KAWAS-NAPM,KSTPS I&II,GANDHAR-NAPM,NLCIIST1,NLCIIST2,SIPAT II,KHARGONE-I,KAWAS-zLIQ,KGSU3AND4,NLCEXP,KAPS,KAWAS-APM,GANDHAR-ComGas,VSTPS III,KUDGI,NNTPP,BRBCL,GANDHAR-APM,TAPS-II,RSTPSU7,KSTPS7,KKNP,KHSTPP-I,SIPAT I,VSTPS IV,SOLAPUR,TALST2,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,52.099522,0.000000,0.000000,0.000000,48.549228,44.040679,0.000000,32.368278,5.695198,40.736119,91.160263,0.000000,0.764969,47.169066,0.000000,57.737237,116.646885,39.579192,34.599556,0.000000,0.000000,4.122219,1.028322,0.000000,10.890046,0.000000,134.894405,0.000000,25.673727,2.466002,0.000000,42.173383,0.000000,0.000000,19.593820,122.281677,119.427699,0.000000,0.000000,0.000000,1.039333,16.603562,0.000000,20.411048,9.921509,4.087237,3.370763,0.000000,0.20,0.00,94.204852,2.237146,0.000000,0.000000,7.56,0.24,1.860319,0.000000,1.864989,1.274256,267.478875,1.93,0.84,0.000000,0.000000,2.700883,0.000000,0.78,0.41,1.795171,1.700152,0.000000,2.11,1.66,1.107445,0.000000,0.000000,1.881042,0.00,0.19,11.143745,0.000000,1.316072,1.88,1.287995,0.88,24.215292,5.100457,2.575988,1.700152,2.93,3.65,0,0,0,0,0

2,00:15-00:30,0.000000,52.099522,0.000000,0.000000,0.000000,48.549228,44.040679,0.000000,32.368278,5.695198,40.736119,91.160263,0.000000,0.764969,47.169066,0.000000,57.737237,116.646885,39.579192,34.599556,0.000000,0.000000,4.122219,0.000000,0.000000,9.815498,0.000000,134.894405,0.000000,25.673727,2.466002,0.000000,42.173383,0.000000,0.000000,18.540056,122.281677,119.427699,0.000000,0.000000,0.000000,1.039333,16.603562,0.000000,20.411048,9.921509,4.087237,3.370763,0.000000,0.44,0.00,94.204852,2.237146,0.000000,0.000000,7.56,0.24,1.860319,0.000000,1.864989,1.274256,267.478875,1.93,0.85,0.000000,0.000000,2.700883,0.000000,0.78,0.41,1.795171,1.700152,0.000000,2.11,1.67,1.107445,0.000000,0.000000,1.881042,0.00,0.19,11.143745,0.000000,1.316072,1.88,1.287995,0.88,21.055782,5.100457,2.575988,1.700152,2.93,3.65,0,0,0,0,0

3,00:30-00:45,0.000000,52.099522,0.000000,0.000000,0.000000,48.549228,44.040679,0.000000,32.368278,5.695198,40.736119,91.160263,0.000000,0.764969,80.861256,0.000000,57.737237,116.646885,39.579192,34.599556,0.000000,0.000000,4.122219,0.000000,0.000000,11.504633,0.000000,134.894405,0.000000,25.673727,2.466002,0.000000,42.173383,0.000000,0.000000,20.688023,122.281677,119.427699,0.000000,0.000000,0.000000,1.039333,16.603562,0.000000,20.411048,9.921509,4.087237,3.370763,0.000000,0.62,0.00,94.204852,2.237146,0.000000,0.000000,7.56,0.24,1.860319,0.000000,1.864989,1.274256,267.478875,1.93,0.85,0.000000,0.000000,2.700883,0.000000,0.78,0.41,1.795171,1.700152,0.000000,2.11,1.67,1.107445,0.000000,0.000000,1.881042,0.00,0.19,11.265431,0.000000,1.316072,1.88,1.287995,0.88,21.055782,5.100457,2.575988,1.700152,2.93,3.65,0,0,0,0,0

4,00:45-01:00,0.000000,52.099522,0.000000,0.000000,0.000000,51.216768,44.040679,0.000000,32.368278,5.695198,40.736119,91.160263,0.000000,0.764969,80.861256,0.000000,57.737237,116.646885,39.579192,34.599556,0.000000,0.000000,4.122219,0.000000,0.000000,11.504633,0.000000,134.894405,0.000000,25.673727,2.466002,0.000000,42.173383,0.000000,0.000000,20.688023,122.281677,119.427699,0.000000,0.000000,0.000000,1.039333,16.603562,0.000000,20.411048,9.921509,4.087237,3.370763,0.000000,3.45,0.00,70.042352,2.237146,0.000000,0.000000,7.56,0.24,1.860319,0.000000,1.864989,1.274256,267.478875,1.93,0.85,0.000000,0.000000,2.700883,0.000000,0.78,0.41,1.795171,1.700152,0.000000,2.11,1.67,1.107445,0.000000,0.000000,1.881042,0.00,0.19,11.503422,0.000000,1.316072,1.88,1.287995,0.88,21.055782,5.100457,2.575988,1.700152,2.93,3.65,0,0,0,0,0

5,01:00-01:15,0.000000,52.099522,0.000000,0.000000,0.000000,51.216768,44.040679,0.000000,32.368278,1.485704,40.736119,91.160263,0.000000,0.764969,80.861256,0.000000,57.737237,116.646885,39.579192,33.893442,0.000000,0.000000,4.122219,0.000000,0.000000,13.659241,0.000000,134.894405,0.000000,16.841964,2.466002,0.000000,42.173383,0.000000,0.000000,22.093791,122.281677,119.427699,0.000000,0.000000,0.000000,1.039333,16.603562,0.000000,20.411048,9.921509,4.087237,3.370763,0.000000,3.45,0.00,70.042352,2.237146,0.000000,0.000000,6.77,0.24,1.860319,0.000000,1.864989,1.274256,267.478875,1.93,0.85,0.000000,0.000000,2.700883,0.000000,0.78,0.41,1.795171,1.700152,0.000000,2.11,1.67,1.107445,0.000000,0.000000,1.881042,0.00,0.19,12.378514,0.000000,1.316072,1.88,1.287995,0.88,21.055782,5.100457,2.575988,1.700152,2.93,3.65,0,0,0,0,0

