Time,Block,WR/2023/20254/A/959,WR/2023/20256/A/960,NR/2023/17905/A/914,WR/2023/18560/A,NR/2023/17990/C,NR/2023/17901/A/912,WR/2023/18560/A/II,NR/2023/17984/C,NR/2023/17985/C,NR/2023/16187/A,NR/2023/17064/A,Total
,,APPCPL,MANIKARAN,IEXL,MANIKARAN,SJVNL,ITCLH,MANIKARAN,TPDDL,NVVNL,APPCPL,GMRETL,Total

,,DELHI,DELHI,HIMACHAL PRADESH,DELHI,NA,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,NA,DELHI,DELHI,
,,BRPL,BRPL,BSHP,BYPL,RSRPL_BKN,ITCWIND,BYPL,CHANJUII,SOLAPUR_SOLAR,BYPL,BYPL,
,,GOA,GOA,DELHI,MAHARASHTRA,DELHI,DELHI,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,RAJASTHAN,
,,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),AEML,NDMC,ITCLH,AEML,TPDDL,MES (Delhi),HP,RUVNL,
,,North-West,North-West,North-North,North-East-West,North-North,South-West-North,North-West,North-North,West-North,North-North,North-North,
1,00:00-00:15,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

2,00:15-00:30,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

3,00:30-00:45,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

4,00:45-01:00,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

5,01:00-01:15,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

6,01:15-01:30,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

7,01:30-01:45,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

8,01:45-02:00,0.000000,0.000000,1.930000,0.000000,0,0.480000,100.000000,3.410000,0,17.080000,0.000000,122.9

9,02:00-02:15,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

10,02:15-02:30,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

11,02:30-02:45,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

12,02:45-03:00,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

13,03:00-03:15,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

14,03:15-03:30,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

15,03:30-03:45,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

16,03:45-04:00,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

17,04:00-04:15,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

18,04:15-04:30,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

19,04:30-04:45,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

20,04:45-05:00,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

21,05:00-05:15,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

22,05:15-05:30,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

23,05:30-05:45,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

24,05:45-06:00,0.000000,0.000000,1.930000,0.000000,0,0.430000,100.000000,3.410000,0,17.080000,0.000000,122.85

25,06:00-06:15,0.000000,0.000000,1.930000,100.000000,0,0.430000,0.000000,3.410000,0,0.000000,100.000000,205.77

26,06:15-06:30,0.000000,0.000000,1.930000,100.000000,0,0.430000,0.000000,3.410000,0,0.000000,100.000000,205.77

27,06:30-06:45,0.000000,0.000000,1.930000,100.000000,0,0.430000,0.000000,3.410000,0,0.000000,100.000000,205.77

28,06:45-07:00,0.000000,0.000000,1.930000,100.000000,0,0.430000,0.000000,3.410000,0,0.000000,100.000000,205.77

29,07:00-07:15,0.000000,0.000000,1.930000,100.000000,0,0.580000,0.000000,3.320000,0,0.000000,100.000000,205.83

30,07:15-07:30,0.000000,0.000000,1.930000,100.000000,0,0.580000,0.000000,3.320000,0,0.000000,100.000000,205.83

31,07:30-07:45,0.000000,0.000000,1.930000,100.000000,0,0.580000,0.000000,3.320000,0,0.000000,100.000000,205.83

32,07:45:08:00,0.000000,0.000000,1.930000,100.000000,0,0.580000,0.000000,3.320000,0,0.000000,100.000000,205.83

33,08:00-08:15,0.000000,0.000000,1.930000,100.000000,0,0.970000,0.000000,3.320000,0.14,0.000000,50.000000,156.36

34,08:15-08:30,0.000000,0.000000,1.930000,100.000000,0,0.970000,0.000000,3.320000,0.46,0.000000,50.000000,156.68

35,08:30-08:45,0.000000,0.000000,1.930000,100.000000,0,0.970000,0.000000,3.320000,0.65,0.000000,50.000000,156.87

36,08:45:09:00,0.000000,0.000000,1.930000,100.000000,0,0.970000,0.000000,3.320000,0.79,0.000000,50.000000,157.01

37,09:00:09:15,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,1.08,0.000000,50.000000,181.46

38,09:15-09:30,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,1.4,0.000000,50.000000,181.78

39,09:30-09:45,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,1.76,0.000000,50.000000,182.14

40,09:45-10:00,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,2.08,0.000000,50.000000,182.46

41,10:00-10:15,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,2.23,0.000000,50.000000,182.61

42,10:15-10:30,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,2.8,0.000000,50.000000,183.18

43,10:30-10:45,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,3.46,0.000000,50.000000,183.84

44,10:45-11:00,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,2.46,0.000000,50.000000,182.84

45,11:00-11:15,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,2.32,0.000000,100.000000,232.7

46,11:15-11:30,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,2.43,0.000000,100.000000,232.81

47,11:30-11:45,0.000000,0.000000,1.930000,100.000000,24.16,0.970000,0.000000,3.320000,4.36,0.000000,100.000000,234.74

