Time,Block,NR/2024/21087/A/25104,NR/2024/21183/A/25319,NR/2024/21243/A/25052,NR/2024/21329/C,NR/2024/21328/C,NR/2024/21152/A/25037,NR/2024/21108/A/25285,NR/2024/21144/A/25198,NR/2024/20877/A/25282,NR/2024/21159/A/25055,NR/2024/21150/A/25054,NR/2024/21227/A/25287,NR/2024/21103/A/25288,NR/2024/20930/A/25227,NR/01102023/02012046/L_NR_2021_17,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21148/A/25058,NR/2024/21158/A/25069,NR/2024/21199/A/25085,NR/2024/21186/A/25281,NR/2024/21141/A/25001,NR/30092023/26122029/SH-06,NR/2024/21279/A/25080,NR/2024/20688/A/25105,NR/2024/20711/A/25264,NR/2024/21156/A/25068,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20573/A/25251,NR/2024/20574/A/25250,NR/2024/21153/A/25067,NR/2024/21160/A/25064,NR/2024/21072/A/25272,NR/2024/21104/A/25286,NR/2024/21210/A/24994,NR/2024/21326/C,NR/01102023/23072042/L_NR_2012_04,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/2024/21113/A/25270,NR/2024/21324/C,NR/2024/21173/A/25102,NR/01072024/31072024/R2,NR/2024/21323/C,NR/2024/21076/A/25310,NR/2024/19779/A/24971,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21023/A/25086,NR/2024/20966/A/25038,NR/2024/21089/A/25271,NR/2024/21099/A/25008,NR/30092023/31122025/SH-07,NR/2024/21075/A/25320,NR/2024/21142/A/24997,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21340/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21096/A/25289,NR/2024/21062/A/25246,NR/2024/21146/A/25062,NR/2024/21336/C,NR/2024/21238/A/25321,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,Total
,,GMRETL,MANIKARAN,BRPL,NVVNL,NVVNL,IEXL,APPCPL,DTCP,NVVNL,MHIL,BAL234,APPCPL,APPCPL,AEL,SECI_Trader,TPDDL,BAL224,MSSH,INSTINCT,NVVNL,TPTCL,PUNJAB,TPTCL,GMRETL,TPDDL,UHL,NDMC,NDMC,PTC,PTC,JHPL-DL,BMDRC,NVVNL,APPCPL,TPTCL,NVVNL,TPTCL,TPTCL,NVVNL,TPDDL,GMRETL,PTC,DIAPL,MANIKARAN,ITCLH,APPCPL,DELHI,MEJA,INSTINCT,IEXL,NVVNL,TPTCL,BAWANA_GAS,MANIKARAN,TPTCL,SECI_Trader,AEL,IEXL,INSTINCT,APPCPL,PTC,BAL184,PXIL,MANIKARAN,INSTINCT,Total

,,HIMACHAL PRADESH,MP,NA,NA,NA,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,UTTARAKHAND,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,MP,MAHARASHTRA,DELHI,NA,RAJASTHAN,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,NA,NA,NA,NA,NA,NA,ODISHA,NA,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,ARUNACHAL PRADESH,MAHARASHTRA,UTTAR PRADESH,NA,MAHARASHTRA,NA,NA,DELHI,GOA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,KERALA,NA,HIMACHAL PRADESH,HARYANA,TAMIL NADU,MAHARASHTRA,
,,GBHHPL,BLAPOWER_MP,DADRT2,SORANG_HEP,KAMENG,NHCPL_HP,Manipur_Ben,SHPPBPL,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,Nagaland_Ben,UTTARAKHAND,APL_Raigarh TPP,SBSRPC11PL_BKN,CHANJUII,SHPPBPL,SHPPBPL,JPL_DHULE,JP BINA,TPC MSEB,BAWANA_GAS,JITPL,RUVNL,JPL-2,SHPPBPL,JITPL,SKS Raigarh,HP,HP,SHPPBPL,SHPPBPL,RKM_POWER,TANGEDCO,SIMHAPURI,SOLAPUR_SOLAR,MPL,JITPL,JPL-2,JHAJJAR,GMRKEL (STU),SEILP2,GBHHPL,AEML,ITCWIND,Arunachal_Ben,MSEB_Beneficiary,MEJA,JPL,A_A_Energy_MH_Bio,RKM_POWER,ACBIL,BAWANA_GAS,GOA_Beneficiary,HP-GOVT,SBSRPC11PL_BKN,APL_Raigarh TPP,HP-GOVT,JPL,KSEB,SEILP2,SHPPBPL,HARYANA,MMS STEEL TN,JPL_DHULE,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,TPDDL,TPDDL,MES (Delhi),BRPL,DTCP,TPDDL,MHIL,BAL234,BYPL,BYPL,BRPL,BYPL,TPDDL,BAL224,MSSH,BRPL,TPDDL,BYPL,PUNJAB,BRPL,BYPL,TPDDL,UHL,NDMC,NDMC,BRPL,BYPL,JHPL-DL,BMDRC,NDMC,BYPL,BRPL,MES (Delhi),TPDDL,BRPL,NDMC,TPDDL,BRPL,BRPL,DIAPL,BYPL,ITCLH,BRPL,TPDDL,DELHI,BRPL,MES (Delhi),NDMC,BRPL,HARYANA,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BYPL,BRPL,BAL184,BRPL,BRPL,BRPL,
,,North-North,West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,East-North,North-North,West-North,North-North,East-North,West-North,North-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,East-North,East-North,West-North,North-North,East-North,South-West-North,North-North,West-North,South-West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,South-West-North,South-East-North,North-North,North-North,South-West-North,West-North,
1,00:00-00:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,32.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.870000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,32.000000,11.710000,48.200000,0,192.780000,96.390000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2679.51

2,00:15-00:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,32.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.870000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,32.000000,11.710000,48.200000,0,192.780000,96.390000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2679.51

3,00:30-00:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.870000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,32.000000,11.710000,48.200000,0,192.780000,96.390000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2678.51

4,00:45-01:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.870000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,32.000000,11.710000,48.200000,0,192.780000,96.390000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2678.51

5,01:00-01:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2580.88

6,01:15-01:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2580.88

7,01:30-01:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2580.88

8,01:45-02:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,12.190000,84.030000,0.000000,0,18.680000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2580.88

