Block,Time,L_NR_2012_01,L_NR_2012_04,LT-59,LT-05,L_NR_2021_15,L_NR_2023_04,LT_MEJA_Delhi,L_NR_2021_14,SH-07,L_NR_2019_11,LT-31,L_NR_2020_05,L_NR_2019_19,L_NR_2021_17,LT-36,SH-06,L_NR_2019_06,L_NR_2019_05,L_NR_2019_07,L_NR_2022_09,L_NR_2022_08,L_NR_2020_06,L_NR_2012_07,LT-35,L_NR_2020_02,L_NR_2022_10,L_NR_2020_07,L_NR_2012_02,L_NR_2018_61,L_NR_2021_13,L_NR_2021_16,L_NR_2021_12
1,00:00-00:15,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,30.980000,10.790000,0.000000,40.36,0,0,0.000000,30.980000,0,0,0,25.26,11.12,13.45,78.620000,0.000000,11.920000,25.26,13.46,261.990000,19.49,0,0,0

2,00:15-00:30,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,30.980000,10.790000,0.000000,40.4,0,0,0.000000,30.980000,0,0,0,25.29,11.19,13.47,78.620000,0.000000,11.920000,25.29,13.46,261.990000,19.87,0,0,0

3,00:30-00:45,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,30.980000,10.790000,0.000000,27.94,0,0,0.000000,19.600000,0,0,0,25.3,9.11,9.31,78.620000,0.000000,11.920000,25.3,9.32,261.990000,23.31,0,0,0

4,00:45-01:00,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,30.980000,10.790000,0.000000,28.08,0,0,0.000000,19.600000,0,0,0,25.45,9,9.36,78.620000,0.000000,11.920000,25.45,9.36,261.990000,23.63,0,0,0

5,01:00-01:15,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,19.600000,10.790000,0.000000,28.18,0,0,0.000000,19.600000,0,0,0,25.96,9.07,9.39,78.620000,0.000000,11.920000,25.96,9.4,261.990000,24.09,0,0,0

6,01:15-01:30,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,19.600000,10.790000,0.000000,28.33,0,0,0.000000,19.600000,0,0,0,26.32,9.25,9.44,78.620000,0.000000,11.920000,26.32,9.46,261.990000,24.51,0,0,0

7,01:30-01:45,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,19.600000,10.790000,0.000000,28.8,0,0,0.000000,19.600000,0,0,0,25.99,9.44,9.6,78.620000,0.000000,11.920000,25.99,9.59,261.990000,24.84,0,0,0

8,01:45-02:00,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,19.600000,10.790000,0.000000,32.72,0,0,0.000000,19.600000,0,0,0,31.1,9.57,10.91,78.620000,0.000000,11.920000,31.1,10.9,261.990000,19.21,0,0,0

9,02:00-02:15,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,30.980000,10.790000,0.000000,32.74,0,0,0.000000,19.600000,0,0,0,31.52,9,10.91,78.620000,0.000000,11.920000,31.52,10.92,261.990000,18.6,0,0,0

10,02:15-02:30,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,30.980000,10.790000,0.000000,32.84,0,0,0.000000,19.600000,0,0,0,31.53,9.07,10.95,63.460000,0.000000,11.920000,31.53,10.94,261.990000,18,0,0,0

11,02:30-02:45,101.420000,272.310000,10.280000,116.220000,0,0.000000,3.930000,0,20.850000,10.790000,0.000000,33.22,0,0,0.000000,20.850000,0,0,0,31.91,9.25,11.07,78.620000,0.000000,11.920000,31.91,11.09,261.990000,17.73,0,0,0

12,02:45-03:00,101.420000,272.310000,10.280000,116.220000,0,0.000000,2.110000,0,20.850000,10.790000,0.000000,33.47,0,0,0.000000,20.850000,0,0,0,32.01,9.44,11.16,58.610000,0.000000,11.920000,32.01,11.15,261.990000,17.47,0,0,0

13,03:00-03:15,101.420000,272.310000,10.280000,94.950000,0,0.000000,2.110000,0,21.780000,10.790000,0.000000,33.21,0,0,0.000000,21.780000,0,0,0,32.45,9.57,11.07,58.610000,0.000000,11.920000,32.45,11.06,230.790000,16.65,0,0,0

14,03:15-03:30,101.420000,272.310000,10.280000,94.950000,0,0.000000,2.110000,0,21.780000,10.790000,0.000000,32.7,0,0,0.000000,21.780000,0,0,0,32.61,9.67,10.9,58.610000,0.000000,11.920000,32.61,10.9,201.740000,16.53,0,0,0

15,03:30-03:45,101.420000,272.310000,10.280000,94.950000,0,0.000000,2.110000,0,21.780000,10.790000,0.000000,27.72,0,0,0.000000,21.780000,0,0,0,28.1,9.83,9.24,58.610000,0.000000,11.920000,28.1,9.24,201.740000,10.53,0,0,0

16,03:45-04:00,101.420000,272.310000,10.280000,94.950000,0,0.000000,2.110000,0,21.780000,10.790000,0.000000,27.9,0,0,0.000000,21.780000,0,0,0,28.49,10.2,9.3,58.610000,0.000000,11.920000,28.49,9.3,201.740000,10.65,0,0,0

