Block,Time,URI2,RIHAND2,ANTA_CRF,DADRI_CRF,DULHASTI,URI,PARBATI3,KOTESHWR,ANTA_GF,TANAKPUR,RAPPC,UNCHAHAR3,AURY_GF,BSIUL,DHAULIGNGA,DADRI_RF,CHAMERA3,RIHAND1,KOLDAM,DADRI_GF,SALAL,UNCHAHAR4,AURY_CRF,NJPC,JHAJJAR,ANTA_RF,SINGRAULI,UNCHAHAR2,ANTA_LF,DADRT2,RIHAND3,NAPP,AURY_LF,UNCHAHAR1,TANDA2,RAPPB,KISHANGANGA,SEWA2,RAMPUR,DADRI_LF,SINGRAULI_HYDRO,CHAMERA2,TEHRI,CHAMERA1,AURY_RF,FSTPP I & II,KHSTPP-II,TALA,SASAN,KUDGI,BRBCL,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,23.863095,113.884312,0.000000,0.000000,15.887261,38.317190,0.000000,0.000000,0.000000,3.087530,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,12.323126,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,74.235700,0.000000,403.736157,69.42,19.281969,35.061714,0,0,0,0,0

2,00:15-00:30,23.863095,113.884312,0.000000,0.000000,15.887261,38.317190,0.000000,0.000000,0.000000,3.087530,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,12.323126,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,50.133200,0.000000,403.736157,88.29,19.281969,35.061714,0,0,0,0,0

3,00:30-00:45,23.863095,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,3.087530,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,17.924547,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,16.396027,14.461500,0,0,0,0,0

4,00:45-01:00,23.863095,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,3.087530,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,13.744252,14.461500,0,0,0,0,0

5,01:00-01:15,23.863095,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,11.494258,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,13.146430,14.461500,0,0,0,0,0

6,01:15-01:30,23.863095,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,11.494258,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,9.945039,14.461500,0,0,0,0,0

7,01:30-01:45,9.078351,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,11.494258,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,10.995462,14.461500,0,0,0,0,0

8,01:45-02:00,7.132990,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,11.494258,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,3.360853,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,10.263715,14.461500,0,0,0,0,0

9,02:00-02:15,7.132990,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,2.470024,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,2.240568,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,10.248286,14.461500,0,0,0,0,0

10,02:15-02:30,7.132990,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,2.470024,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,2.240568,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,89.66,10.529851,14.461500,0,0,0,0,0

11,02:30-02:45,7.132990,113.884312,0.000000,0.000000,15.887261,6.386198,0.000000,0.000000,0.000000,2.470024,52.118668,8.474439,0.000000,0.000000,0.000000,0.000000,0.000000,88.697200,0.000000,0.000000,2.240568,0.000000,0.000000,0.000000,233.721942,0.000000,118.945838,13.497400,0.000000,176.430300,119.226029,0.000000,0.000000,7.712800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,4.820500,46.276800,0.000000,403.736157,54.95,10.228924,14.461500,0,0,0,0,0

