Block,Time,NR/01012024/31032024/ ChanjuII,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/23032024/30032024/HP-64,NR/01102023/06022042/L_NR_2012_07,NR/01032024/31032024/NVVN/OA/16997,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/30092023/26122029/SH-06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/23032024/30032024/HP-60,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/13082046/L_NR_2021_12,NR/01032024/31032024/SJVN010324NR1588,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,NR/23032024/30032024/HP-57,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,0.000000,27.030000,0.000000,0.000000,26.060000,2.380000,2.720000,261.260000,0.000000,0.000000,29.540000,76.550000,48.280000,193.100000,25.84,0,26.060000,60,20.66,48.28,74.090000,2.000000,0,0,48.28,100.050000,60,25.83,0,134.010000,77.5,0,0,0,0,7.01,0,0,0,53.650000,173.020000,0,0,0,0,0,0

2,00:15-00:30,0.000000,27.030000,0.000000,0.000000,26.060000,2.380000,2.720000,261.260000,0.000000,0.000000,29.540000,76.550000,48.280000,193.100000,26.84,0,26.060000,60,20.34,48.28,74.090000,2.000000,0,0,48.28,100.050000,60,26.83,0,134.010000,80.5,0,0,0,0,7.01,0,0,0,49.390000,173.020000,0,0,0,0,0,0

3,00:30-00:45,0.000000,27.030000,0.000000,0.000000,26.060000,2.380000,2.720000,261.260000,0.000000,0.000000,29.540000,76.550000,48.280000,193.100000,27.66,0,26.060000,60,20,48.28,74.090000,2.000000,0,0,48.28,71.080000,60,27.67,0,134.010000,83,0,0,0,0,7.01,0,0,0,45.140000,173.020000,0,0,0,0,0,0

4,00:45-01:00,0.000000,27.030000,0.000000,0.000000,26.060000,2.380000,2.720000,261.260000,0.000000,0.000000,29.540000,57.560000,48.280000,193.100000,27.84,0,26.060000,60,19.66,48.28,74.090000,2.000000,0,0,48.28,48.280000,60,27.83,0,134.010000,83.5,0,0,0,0,7.01,0,0,0,40.880000,173.020000,0,0,0,0,0,0

5,01:00-01:15,0.000000,27.030000,0.000000,0.000000,26.060000,2.380000,2.720000,226.820000,0.000000,0.000000,29.540000,57.560000,48.280000,193.100000,27.66,0,26.060000,60,19.34,48.28,74.090000,2.000000,0,0,48.28,48.280000,60,27.67,0,134.010000,83,0,0,0,0,7.01,0,0,0,36.620000,173.020000,0,0,0,0,0,0

