Column1,Time,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/6101,NR/01102023/06022042/L_NR_2012_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,GNA/NR/2024/10/01/9582,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.45,272.57,30.28,5.79,3.34,261.73

2,00:15-00:30,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.45,272.57,30.28,5.79,3.34,261.73

3,00:30-00:45,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.45,272.57,30.28,5.79,3.06,261.73

4,00:45-01:00,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.45,272.57,30.28,5.79,3.06,261.73

5,01:00-01:15,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.3,272.57,30.28,5.79,3.06,231.36

6,01:15-01:30,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.3,272.57,30.28,5.79,3.06,231.36

7,01:30-01:45,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.3,272.57,30.28,5.79,3.06,231.36

8,01:45-02:00,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,83.56,0,12.42,3.57,24.8,24.8,192.8,3.3,272.57,30.28,5.79,3.06,231.36

9,02:00-02:15,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.49,26.87,26.87,0,3.22,272.57,29.78,5.79,3.06,231.36

10,02:15-02:30,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.49,26.87,26.87,0,3.22,272.57,29.78,5.79,3.06,214.31

11,02:30-02:45,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.49,26.87,26.87,0,3.22,272.57,29.78,5.79,3.06,204.67

12,02:45-03:00,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.49,26.87,26.87,0,3.22,272.57,29.78,5.79,3.06,204.67

13,03:00-03:15,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.41,26.87,26.87,0,3.22,272.57,29.78,5.71,3.06,110.86

14,03:15-03:30,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.41,26.87,26.87,0,3.22,272.57,29.78,5.71,3.06,110.86

15,03:30-03:45,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.41,26.87,26.87,0,3.22,272.57,29.27,5.71,3.06,110.86

16,03:45-04:00,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.41,26.87,26.87,0,3.22,272.57,29.27,5.71,3.06,110.86

17,04:00-04:15,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.34,26.87,26.87,0,3.22,272.57,29.27,5.71,2.97,110.86

18,04:15-04:30,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.34,26.87,26.87,0,3.22,272.57,29.27,5.71,2.97,110.86

19,04:30-04:45,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.34,26.87,26.87,0,3.22,272.57,28.77,5.71,2.97,110.86

20,04:45-05:00,37.24,37.24,12.42,37.24,0,0,0,0,7,0,6.85,6.66,20.55,6.86,0,0,0,12.86,0,0,12.86,0,0,0,0,0,70.29,53.02,0,12.42,3.34,26.87,26.87,0,3.22,272.57,28.77,5.71,2.97,110.86

