Time,Block,NR/2023/12167/A,NR/2023/12052/A,NR/2023/16004/C,NR/2023/16013/C,NR/2023/15993/D,NR/2023/12148/A,NR/2023/14898/A,NR/2023/12431/A,NR/2023/12347/A,NR/2023/13635/A,NR/2023/15309/F,NR/2023/12168/A,NR/2023/15402/F,NR/2023/12592/A,NR/2023/14745/A,NR/2023/12591/A,NR/2023/14737/A,NR/2023/12422/A,NR/2023/15057/F,NR/2023/14746/A,NR/2023/16003/C,NR/2023/15694/F,NR/2023/15998/C,NR/2023/13862/A,NR/2023/14895/A,NR/2023/12053/A,NR/2023/16017/C,NR/2023/15991/D,Total
,,APPCPL,KEIPL,SJVNL,HPXL,KEIPL,GMRETL,MANIKARAN,TPTCL,STATKRAFT,NVVNL,IEXL,APPCPL,SJVNL,NVVNL,APPCPL,NVVNL,NVVNL,APPCPL,ITCLH,APPCPL,TPDDL,NVVNL,GBHHPL,MANIKARAN,MANIKARAN,KEIPL,SJVNL,NVVNL,Total

,,MEGHALAYA,MEGHALAYA,NA,DELHI,UTTAR PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,TAMIL NADU,NA,JAMMU AND KASHMIR,UTTARAKHAND,UTTAR PRADESH,NA,GOA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,NA,NA,
,,Meghalaya_Ben,Meghalaya_Ben,DIKCHU,BYPL,LAPL-UP,Meghalaya_Ben,HP,JPL-2,TANGEDCO,KAMENG,SAPU1234,UTTARAKHAND,BCMLB001,JPNIGRIE_JNSTPP,GOA_Beneficiary,JPNIGRIE_JNSTPP,SKS Raigarh,HP,ITCWIND,HP,CHANJUII,KAMENG,GBHHPL,TANGEDCO,HP,Meghalaya_Ben,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,NDMC,NPCL(UP),BYPL,BYPL,BRPL,BRPL,BYPL,BRPL,MES (Delhi),BYPL,NDMC,BRPL,BRPL,BRPL,NDMC,BYPL,ITCLH,BRPL,TPDDL,TPDDL,DIAPL,BRPL,BRPL,BYPL,NDMC,MES (Delhi),
,,North East-East-North,North East-East-North,East-North,North-North,North-North,North East-East-North,North-North,West-North,South-West-North,North East-East-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,South-East-North,North-North,North East-East-North,North-North,West-North,
1,00:00-00:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.870000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219.19

2,00:15-00:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.870000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219.19

3,00:30-00:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.870000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219.19

4,00:45-01:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.870000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219.19

5,01:00-01:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.680000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219

6,01:15-01:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.680000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219

7,01:30-01:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.680000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219

8,01:45-02:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.680000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1219

9,02:00-02:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.580000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1218.9

10,02:15-02:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.580000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1218.9

