Block,Time,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01022024/29022024/79,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31032024/ ChanjuII,NR/01022024/15022024/HP-35,NR/30092023/31122025/SH-07,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01022024/15022024/HP-39,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/14022024/14022024/IEX_240213_06360,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01022024/15022024/HP-44,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01022024/15022024/HP-37,NR/01102023/30042040/GNA_LT_35,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023
1,00:00-00:15,33.81,0,0,0,0,0,0,0,23.66,17.76,0,0,0,33.81,0,14.14,0,0,0,53.28,0,0,17.77,0,6.740000,18.290000,5.780000,0.000000,0.990000,1.560000,18.950000,25.890000,8.180000,0.000000,25.890000,23.100000,0.000000,52.940000,231.020000,0.000000,0.000000,1.390000,43.320000,8.090000,6.740000,152.550000,0.000000,11.550000,120.320000,0.690000,4.810000,0.000000,33.020000,96.260000

2,00:15-00:30,33.21,0,0,0,0,0,0,0,23.24,17.42,0,0,0,33.21,0,13.72,0,0,0,52.26,0,0,17.43,0,6.740000,18.290000,5.780000,0.000000,0.990000,1.560000,18.950000,25.890000,8.180000,0.000000,25.890000,23.100000,0.000000,52.940000,192.520000,0.000000,0.000000,1.390000,43.320000,8.090000,6.740000,152.550000,0.000000,11.550000,120.320000,0.690000,4.810000,0.000000,33.020000,96.260000

3,00:30-00:45,32.52,0,0,0,0,0,0,0,22.23,17.04,0,0,0,32.52,0,13.24,0,0,0,51.11,0,0,17.03,0,6.740000,18.290000,5.780000,0.000000,0.990000,1.560000,18.950000,25.890000,8.180000,0.000000,25.890000,23.100000,0.000000,52.940000,148.890000,0.000000,0.000000,1.390000,43.320000,8.090000,6.740000,152.550000,0.000000,11.550000,120.320000,0.690000,4.810000,0.000000,33.020000,96.260000

4,00:45-01:00,31.38,0,0,0,0,0,0,0,21.41,17,0,0,0,31.38,0,12.38,0,0,0,50.99,0,0,17,0,6.740000,18.290000,5.780000,0.000000,0.990000,1.560000,18.950000,25.890000,8.180000,0.000000,25.890000,23.100000,0.000000,52.940000,148.890000,0.000000,0.000000,1.390000,43.320000,8.090000,6.740000,152.550000,0.000000,11.550000,120.320000,0.690000,4.810000,0.000000,33.020000,96.260000

5,01:00-01:15,29.19,0,0,0,0,0,0,0,20.36,16.77,0,0,0,29.19,0,11.18,0,0,0,50.31,0,0,16.76,0,6.740000,18.290000,5.780000,0.000000,0.950000,1.560000,18.950000,25.780000,8.180000,0.000000,25.780000,23.100000,0.000000,52.940000,148.890000,0.000000,0.000000,1.390000,43.320000,8.090000,6.740000,152.550000,0.000000,11.550000,120.320000,0.690000,4.810000,0.000000,33.020000,96.260000

