Block,Time,DULHASTI,KKNPPU2,SEWA2,TALA,UNCHAHAR2,AURY_LF,CHAMERA1,CHAMERA3,NAPP,NLCIIST2,RSTPSU1TO6,SIMHST1,SIMHST2,SINGRAULI,URI,DHAULIGNGA,KGSU3AND4,RAMPUR,RAPPD,RIHAND2,RIHAND3,SINGRAULI_HYDRO,DADRI_GF,NJPC,TALST2,URI2,ANTA_CRF,DADRI_CRF,BSIUL,DADRT2,JHAJJAR,KUDGI,NLCIIST1,RAPPB,RAPPC,RSTPSU7,SALAL,UNCHAHAR1,ANTA_GF,ANTA_RF,AURY_GF,AURY_RF,BRBCL,CHAMERA2,FSTPP I & II,KGSU1AND2,KHSTPP-I,KHSTPP-II,KKNP,NLCTS2EXP,NNTPP,NTPL,SASAN,UNCHAHAR3,UNCHAHAR4,AURY_CRF,KISHANGANGA,MAPS,NLCEXP,PARBATI2,PARBATI3,TANAKPUR,TelanganaSTPP,VALLURNTECL,KOLDAM,KOTESHWR,RIHAND1,TANDA2,TEHRI,ANTA_LF,DADRI_LF,DADRI_RF
1,00:00-00:15,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,6.23,21.66,124.58,130.79,1.06,0,156.81,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,6.27,0,0,9.59,10.43,97.23,2.8,29.13,0,0,98.41

2,00:15-00:30,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,6.23,21.66,124.58,130.79,1.06,0,156.81,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,6.27,0,0,9.59,10.43,97.23,2.8,29.13,0,0,98.41

3,00:30-00:45,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,6.23,21.66,124.58,130.79,1.06,0,156.81,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,6.27,0,0,9.59,10.43,97.23,2.8,29.13,0,0,98.41

4,00:45-01:00,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,6.23,21.66,124.58,130.79,1.06,0,156.81,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,6.27,0,0,9.59,10.43,97.23,2.8,29.13,0,0,98.41

5,01:00-01:15,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,6.23,21.66,124.58,130.79,1.06,0,156.81,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,6.27,0,0,9.59,10.43,97.23,2.8,29.13,0,0,98.4

