Block,Time Block,KOTESHWR,KUDGI,MAPS,SASAN,RAPPC,RSTPSU1TO6,RAPPD,RSTPSU7,RIHAND3,SALAL,RAPPB,RIHAND2,RAMPUR,RIHAND1,KHSTPP-II,KHSTPP-I,KKNP,KOLDAM,KISHANGANGA,KKNPPU2,NAPP,NJPC,NLCTS2EXP,NLCIIST2,NLCEXP,NLCIIST1,SINGRAULI_HYDRO,SIMHST1,SINGRAULI,SEWA2,SIMHST2,PARBATI3,NTPL,PARBATI2,DADRI_LF,DADRI_GF,AURY_RF,AURY_LF,DADRI_CRF,DADRI_RF,KGSU3AND4,NNTPP,AURY_GF,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,JHAJJAR,KGSU1AND2,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR1,DHAULIGNGA,FSTPP I & II,DULHASTI,TEHRIPSP,TEHRI,TelanganaSTPP,DADRT2,CHAMERA3,CHAMERA2,TANAKPUR,TANDA2,TALA,TALST2,CHAMERA1,BSIUL,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,12.19,0,71.28,0,51,0,0,75.58,0,0,74.1,0,0,0,0,41.72,0,0,0,432.05,0,2.31,0,36.87,27.05,43.58,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,532.29,33.91,47.25,2.97,3.26,1.7,0,40.73,12.6,18.35,0,0,0,0,0

2,00:15-00:30,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,6.1,0,71.28,0,51,0,0,0,0,0,74.1,0,0,0,0,40.84,0,0,0,432.05,0,2.31,0,36.87,27.05,43.58,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,532.29,33.91,47.25,2.97,3.26,1.7,0,40.73,12.6,14.8,0,0,0,0,0

3,00:30-00:45,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,6.1,0,75.75,0,51,0,0,38.03,0,0,74.1,0,0,0,0,40.84,0,0,0,432.05,0,2.01,0,36.87,27.05,43.11,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,532.29,33.91,47.25,2.97,3.26,2.27,0,40.73,12.6,13.22,0,0,0,0,0

4,00:45-01:00,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,6.1,0,75.75,0,51,0,0,28.37,0,0,74.1,0,0,0,0,21.51,0,0,0,432.05,0,2.01,0,36.87,27.05,43.11,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,532.29,33.91,47.25,2.97,3.26,2.27,0,40.73,12.6,14.09,0,0,0,0,0

5,01:00-01:15,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,6.1,0,75.75,0,51,0,0,18.71,0,0,4.37,0,0,0,0,12.17,0,0,0,432.05,0,2.01,0,36.87,27.05,43.11,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,532.29,33.91,47.25,2.36,3.26,2.27,0,40.73,12.6,14.33,0,0,0,0,0

6,01:15-01:30,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,6.1,0,75.75,0,51,0,0,18.71,0,0,0,0,0,0,0,12.17,0,0,0,432.05,0,2.01,0,36.87,27.05,43.11,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,532.29,33.91,47.25,2.36,3.26,2.27,0,40.73,12.6,11.92,0,0,0,0,0

7,01:30-01:45,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,6.1,0,74.26,0,51,0,0,18.71,0,0,0,0,0,0,0,12.17,0,0,0,432.05,0,2.01,0,36.87,27.05,43.11,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,519.38,33.91,47.25,2.36,3.26,2.27,0,40.73,12.6,10.8,0,0,0,0,0

8,01:45-02:00,7.29,0,0,399.51,65.92,0,24.78,0,89.26,82.53,0,93.2,6.8,62.24,143.3,44.29,0,10.29,8.42,0,23.93,175.05,0,0,0,0,1.12,0,148.9,5.4,0,74.26,0,51,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,432.05,0,2.01,0,36.87,27.05,43.11,49.61,21.09,42.37,15.07,56.81,48.23,18.19,0,471.06,33.91,47.25,2.36,3.26,2.27,0,40.73,12.6,10.13,0,0,0,0,0

